А;;;;;;;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.322;https://evroplast.ru/uglovye-jelementy/1-52-322/;8 138,000;3 051 492,00;"ширина 110 мм
высота 110 мм
толщина 12 мм";classic;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.301;https://evroplast.ru/uglovye-jelementy/1-52-301/;4 267,000;1 730 487,00;"ширина 210 мм
высота 210 мм
толщина 16 мм";classic;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.290;https://evroplast.ru/uglovye-jelementy/1-52-290/;3 414,000;1 435 646,00;"ширина 213 мм
высота 395 мм
толщина 23 мм";classic;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.293;https://evroplast.ru/uglovye-jelementy/1-52-293/;3 379,000;1 428 832,00;"ширина 213 мм
высота 395 мм
толщина 23 мм";classic;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
classic;;;;;;;;;;;;;;;;;;;;;;;;;
;молдинг 1.51.318;https://evroplast.ru/moldingi/1-51-318/;;;"высота по стене 65 мм
толщина 32 мм";;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.318;https://evroplast.ru/uglovye-jelementy/1-52-318/;;;"ширина174 мм
высота174 мм
толщина32 мм";;;;;;;;;;;;;;;;;;;;
;молдинг 1.51.361;https://evroplast.ru/moldingi/1-51-361/;;;"высота по стене 51 мм
толщина 28 мм";;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.361;https://evroplast.ru/uglovye-jelementy/1-52-361/;;;"ширина 290 мм
высота 290 мм
толщина 28 мм";;;;;;;;;;;;;;;;;;;;
;молдинг  1.51.400, шт;https://evroplast.ru/moldingi/1-51-400/;28 190,000;12 753 670,00;"высота по стене 45 мм
толщина 16 мм";;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.400;https://evroplast.ru/uglovye-jelementy/1-52-400/;10 149,000;4 234 900,00;"ширина 294 мм
высотаб294 мм
толщина 26 мм";;;;;;;;;;;;;;;;;;;;
;молдинг  1.51.312, шт;https://evroplast.ru/moldingi/1-51-312/;2 599,000;1 328 514,00;"высота по стене 40 мм
толщина 18 мм";;;;;;;;;;;;;;;;;;;;
;угловой элемент 1.52.312;https://evroplast.ru/uglovye-jelementy/1-52-312/;;;"ширина 208 мм
высота 210 мм
толщина 18 мм";;;;;;;;;;;;;;;;;;;;
