МОЛДИНГ 1.51.301;14,65;124,230;5 990,00;5 990,00
МОЛДИНГ 1.51.322;12,63;124,060;5 164,00;5 164,00
МОЛДИНГ 1.51.378;6,15;128,400;2 517,00;2 517,00
МОЛДИНГ 1.51.379;6,09;125,950;2 491,00;2 491,00
МОЛДИНГ 1.51.400;5,40;123,860;2 209,00;2 209,00
МОЛДИНГ 1.51.401;5,25;122,480;2 146,00;2 146,00
МОЛДИНГ 1.51.321;4,58;122,620;1 872,00;1 872,00
МОЛДИНГ 1.51.308;4,18;122,590;1 709,00;1 709,00
МОЛДИНГ 1.51.377;4,12;123,320;1 686,00;1 686,00
МОЛДИНГ 1.51.302;2,63;126,300;1 075,00;1 075,00
МОЛДИНГ 1.51.363;2,18;125,080;893,00;893,00
МОЛДИНГ 1.51.362;2,18;129,840;892,00;892,00
МОЛДИНГ 1.51.346;1,91;122,680;781,00;781,00
МОЛДИНГ 1.51.323;1,89;124,830;771,00;771,00
МОЛДИНГ 1.51.386;1,80;122,660;737,00;737,00
МОЛДИНГ 1.51.307;1,74;122,480;713,00;713,00
МОЛДИНГ 1.51.357;1,69;134,920;692,00;692,00
МОЛДИНГ 1.51.383;1,55;125,060;635,00;635,00
B - класс;;;;6 012,00
Z - класс;;;;6 012,00
МОЛДИНГ 1.51.304;1,54;125,040;628,00;628,00
МОЛДИНГ 1.51.303;1,50;124,960;613,00;613,00
МОЛДИНГ 1.51.305;1,41;126,400;577,00;577,00
МОЛДИНГ 1.51.342;1,34;122,530;546,00;546,00
МОЛДИНГ 1.51.384;1,08;123,740;440,00;440,00
МОЛДИНГ 1.51.347;0,98;130,080;400,00;400,00
МОЛДИНГ 1.51.385;0,93;124,090;379,00;379,00
МОЛДИНГ 1.51.306;0,91;124,530;373,00;373,00
МОЛДИНГ 1.51.355;0,81;123,610;330,00;330,00
МОЛДИНГ 1.51.354;0,77;123,030;316,00;316,00
МОЛДИНГ 1.51.367;0,70;129,080;288,00;288,00
МОЛДИНГ 1.51.344;0,66;126,710;270,00;270,00
МОЛДИНГ 1.51.375;0,63;128,640;257,00;257,00
МОЛДИНГ 1.51.343;0,56;125,350;228,00;228,00
МОЛДИНГ 1.51.315;0,48;123,590;196,00;196,00
МОЛДИНГ 1.51.381;0,42;122,560;171,00;171,00
C - класс;;;;1 910,00
Z - класс;;;;1 910,00
МОЛДИНГ 1.51.345;0,35;125,180;142,00;142,00
МОЛДИНГ 1.51.374;0,29;131,450;117,00;117,00
МОЛДИНГ 1.51.310;0,27;132,000;112,00;112,00
МОЛДИНГ 1.51.327;0,27;122,640;110,00;110,00
МОЛДИНГ 1.51.317;0,27;124,560;109,00;109,00
МОЛДИНГ 1.51.353;0,25;132,930;104,00;104,00
МОЛДИНГ 1.51.334;0,25;133,880;102,00;102,00
МОЛДИНГ 1.51.360;0,23;132,240;95,00;95,00
МОЛДИНГ 1.51.312;0,22;127,150;89,00;89,00
МОЛДИНГ 1.51.370;0,17;122,510;69,00;69,00
МОЛДИНГ 1.51.356;0,15;122,480;61,00;61,00
МОЛДИНГ 1.51.605;0,11;123,220;47,00;47,00
МОЛДИНГ 1.51.387;0,11;139,840;44,00;44,00
МОЛДИНГ 1.51.701;0,10;141,420;42,00;42,00
МОЛДИНГ 1.51.340;0,09;128,350;35,00;35,00
МОЛДИНГ 1.51.320;0,08;145,760;34,00;34,00
МОЛДИНГ 1.51.359;0,08;141,420;34,00;34,00
МОЛДИНГ 1.51.337;0,08;123,190;32,00;32,00
МОЛДИНГ 1.51.388;0,08;123,740;32,00;32,00
МОЛДИНГ 1.51.329;0,07;124,720;30,00;30,00
МОЛДИНГ 1.51.332;0,07;122,890;28,00;28,00
МОЛДИНГ 1.51.326;0,07;141,420;27,00;27,00
МОЛДИНГ 1.51.711;0,06;133,750;25,00;25,00
МОЛДИНГ 1.51.318;0,06;122,510;25,00;25,00
МОЛДИНГ 1.51.348;0,06;124,350;23,00;23,00
