ПЛИНТУС 1.53.108;24,08;123,420;2 347,00;2 347,00
ПЛИНТУС 1.53.103;17,69;124,050;1 724,00;1 724,00
ПЛИНТУС 1.53.112;17,09;127,160;1 666,00;1 666,00
ПЛИНТУС 1.53.109;9,46;126,640;922,00;922,00
ПЛИНТУС 1.53.102;7,35;131,050;716,00;716,00
ПЛИНТУС 1.53.110;6,64;129,290;647,00;647,00
B - класс;;;;1 379,00
Z - класс;;;;1 379,00
ПЛИНТУС 1.53.101;5,86;126,480;571,00;571,00
ПЛИНТУС 1.53.106;5,83;133,560;568,00;568,00
ПЛИНТУС 1.53.105;2,46;132,540;240,00;240,00
C - класс;;;;346,00
Z - класс;;;;346,00
ПЛИНТУС 1.53.104;2,09;124,850;204,00;204,00
ПЛИНТУС 1.53.107;0,83;135,720;81,00;81,00
ПЛИНТУС 1.53.111;0,52;135,020;51,00;51,00
ПЛИНТУС 1.53.501;0,10;141,420;10,00;10,00
