IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;IC_GROUP0;IC_GROUP1;IC_GROUP2
4819;карниз;2000;;;;1.50.147;127;173;;;;;Нет;ВР000001182;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4820;карниз;2000;;;;1.50.148;120;117;;;;;Нет;ВР000006025;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4821;карниз;2000;;;;1.50.149;188;185;;;;;Нет;ВР001021963;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4822;карниз;2000;;;;1.50.150;40;41;;;;;Нет;ВР000001054;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4823;карниз;2000;;;;1.50.151;144;170;;;;;Нет;ВР001021964;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4824;карниз;2000;;;;1.50.152;155;172;;;;;Нет;ВР001021965;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4825;карниз;2000;;;;1.50.153;160;170;;;;;Нет;ВР001021966;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4826;карниз;2000;;;;1.50.154;23;23;;;;;Нет;ВР001022849;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4827;карниз;2000;;;;1.50.155;17;26;;;;;Нет;ВР001022850;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4828;карниз;2000;;;;1.50.156;30;30;;;;;Нет;ВР001022851;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4829;карниз;2000;;;;1.50.157;31;33;;;;;Нет;ВР001022852;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4830;карниз;2000;;;;1.50.158;33;33;;;;;Нет;ВР001022853;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4831;карниз;2000;;;;1.50.159;22;45;;;;;Нет;ВР001022854;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4832;карниз;2000;;;;1.50.160;70;51;;;;;Нет;ВР000001055;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4833;карниз;2000;;;;1.50.162;61;84;;;;;Нет;ВР000002855;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4834;карниз;2000;;;;1.50.163;68;148;;;;;Нет;ВР000002934;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4835;карниз;2000;;;;1.50.164;123;130;;;;;Нет;ВР000002936;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4836;карниз;2000;;;;1.50.165;81;83;;;;;Нет;ВР000001056;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4837;карниз;2000;;;;1.50.166;86;142;;;;;Нет;ВР000004078;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4838;карниз;2000;;;;1.50.167;120;119;;;;;Нет;ВР000004319;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4839;карниз;2000;;;;1.50.168;120;119;;;;;Нет;ВР000004036;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4840;карниз;2000;;;;1.50.169;95;102;;;;;Нет;ВР000005325;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4841;карниз;2000;;;;1.50.170;113;80;;;;;Нет;ВР000001057;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4842;карниз;2000;;;;1.50.171;30;45;;;;;Нет;ВР001022855;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4843;карниз;2000;;;;1.50.172;48;47;;;;;Нет;ВР001022856;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4844;карниз;2000;;;;1.50.173;40;55;;;;;Нет;ВР001022857;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4845;карниз;2000;;;;1.50.174;36;61;;;;;Нет;ВР001022858;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4846;карниз;2000;;;;1.50.175;119;133;;;;;Нет;ВР000001355;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4847;карниз;2000;;;;1.50.176;67;131;;;;;Нет;ВР000005000;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4848;карниз;2000;;;;1.50.177;55;120;;;;;Нет;ВР000006024;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4849;карниз;2000;;;;1.50.180;94;120;;;;;Нет;ВР000001451;;4,00;103,00;;;;;Интерьерный декор;карнизы;
4850;карниз;2000;;;;1.50.181;38;75;;;;;Нет;ВР001023412;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4851;карниз;2000;;;;1.50.182;40;67;;;;;Нет;ВР001023413;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4852;карниз;2000;;;;1.50.183;84;96;;;;;Нет;ВР001023414;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4853;карниз;2000;;;;1.50.184;72;74;;;;;Нет;ВР001023415;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4854;карниз;2000;;;;1.50.185;98;115;;;;;Нет;ВР001023416;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4855;карниз;2000;;;;1.50.186;56;83;;;;;Нет;ВР001023417;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4856;карниз;2000;;;;1.50.187;51;51;;;;;Нет;ВР001023418;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4857;карниз;2000;;;;1.50.188;50;53;;;;;Нет;ВР001023693;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4858;карниз;2000;;;;1.50.190;25;40;;;;;Нет;ВР001024050;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4859;карниз;2000;;;;1.50.191;25;40;;;;;Нет;ВР001024053;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4860;карниз;2000;;;;1.50.192;40;70;;;;;Нет;ВР002025145;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4861;карниз;2000;;;;1.50.193;55;91;;;;;Нет;ВР002025144;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4862;карниз;2000;;;;1.50.194;51;52;;;;;Нет;ВР002025137;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4863;карниз;2000;;;;1.50.195;51;55;;;;;Нет;ВР002025296;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4864;карниз;2000;;;;1.50.196;55;70;;;;;Нет;ВР002025293;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4865;карниз;2000;;;;1.50.197;73;76;;;;;Нет;ВР002025291;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4866;карниз;2000;;;;1.50.198;92;88;;;;;Нет;ВР002025290;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4867;карниз;2000;;;;1.50.200;55;55;;;;;Нет;ВР002025307;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4868;карниз;2000;;;;1.50.201;130;170;;;;;Нет;ВР002025337;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4869;карниз;2000;;;;1.50.202;97;103;;;;;Нет;ВР002025339;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4870;карниз;2000;;;;1.50.203;115;129;;;;;Нет;ВР002025341;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4871;карниз;2000;;;;1.50.204;40;36;;;;;Нет;ВР002025428;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4872;карниз;2000;;;;1.50.208;70;70;;;;;Нет;ВР002025426;;4,00;103,00;;;;;Интерьерный декор;карнизы;
4873;карниз;2000;;;;1.50.209;118;150;;;;;Нет;ВР000001058;;4,00;103,00;;;;;Интерьерный декор;карнизы;
4874;карниз;2000;;;;1.50.210;121;155;;;;;Нет;ВР000001077;;4,00;103,00;;;;;Интерьерный декор;карнизы;
4875;карниз;2000;;;;1.50.211;177;74;;;;;Нет;ВР000004385;;4,00;103,00;;;;;Интерьерный декор;карнизы;
4876;карниз;2000;;;;1.50.212;171;74;;;;;Нет;ВР000004386;;4,50;93,00;;;;;Интерьерный декор;карнизы;
4877;карниз;2000;;;;1.50.220;122;126;;;;;Нет;ВР000001281;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4878;карниз;2000;;;;1.50.221;140;150;;;;;Нет;ВР000001338;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4879;карниз;2000;;;;1.50.222;162;170;;;;;Нет;ВР000001612;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4880;карниз;2000;;;;1.50.250;73;164;;;;;Нет;ВР000005486;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4881;карниз;2000;;;;1.50.251;55;70;;;;;Нет;ВР000005602;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4882;карниз;2000;;;;1.50.252;120;119;;;;;Нет;ВР000004035;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4883;карниз;2000;;;;1.50.253;66;108;;;;;Нет;ВР000005501;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4884;карниз;2000;;;;1.50.254;93;130;;;;;Нет;ВР000005595;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4885;карниз;2000;;;;1.50.255;82;127;;;;;Нет;ВР000005644;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4886;карниз;2000;;;;1.50.256;132;175;;;;;Нет;ВР000005750;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4887;карниз;2000;;;;1.50.257;38;38;;;;;Нет;ВР000005752;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4888;карниз;2000;;;;1.50.258;25;27;;;;;Нет;ВР000005754;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4889;карниз;2000;;;;1.50.259;36;81;;;;;Нет;ВР000005756;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4890;карниз;2000;;;;1.50.260;133;166;;;;;Нет;ВР000006884;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4891;карниз;1980;;;;1.50.261;102;101;;;;;Нет;ВР001000006;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4892;карниз;2000;;;;1.50.262;50;120;;;;;Нет;ВР001000028;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4893;карниз;2000;;;;1.50.264;170;170;;;;;Нет;ВР001002926;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4894;карниз;2000;;;;1.50.265;115;21;;;;;Нет;ВР001007508;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4895;карниз;2000;;;;1.50.266;76;21;;;;;Нет;ВР001007509;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4896;карниз;2000;;;;1.50.267;171;33;;;;;Нет;ВР001007510;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4897;карниз;2000;;;;1.50.268;170;33;;;;;Нет;ВР001007511;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4898;карниз;2000;;;;1.50.269;220;47;;;;;Нет;ВР001007512;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4899;карниз;2000;;;;1.50.270;220;47;;;;;Нет;ВР001007513;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4900;карниз;2000;;;;1.50.271;165;226;;;;;Нет;ВР002025312;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4901;карниз;2000;;;;1.50.273;130;198;;;;;Нет;ВР002025512;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4902;карниз FLEX;2000;;;;1.50.114;30;66;;;;;Да;ВР000005865;;4,00;72,50;;1500;1000;;Интерьерный декор;гибкие карнизы;
4903;карниз FLEX;2000;;;;1.50.115;46;49;;;;;Да;ВР000005846;;4,00;72,50;;2500;2000;;Интерьерный декор;гибкие карнизы;
4904;карниз FLEX;2000;;;;1.50.116;100;99;;;;;Да;ВР000005863;;4,00;93,00;;4000;3000;;Интерьерный декор;гибкие карнизы;
4905;карниз FLEX;2000;;;;1.50.117;105;156;;;;;Да;ВР000005856;;4,50;103,00;;3000;2500;;Интерьерный декор;гибкие карнизы;
4906;карниз FLEX;2000;;;;1.50.118;132;130;;;;;Да;ВР000005875;;4,00;93,00;;3500;2500;;Интерьерный декор;гибкие карнизы;
4907;карниз FLEX;2000;;;;1.50.119;50;117;;;;;Да;ВР000005873;;4,00;93,00;;2500;2000;;Интерьерный декор;гибкие карнизы;
4908;карниз FLEX;2000;;;;1.50.120;122;143;;;;;Да;ВР000005874;;4,00;93,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4909;карниз FLEX;2000;;;;1.50.121;50;100;;;;;Да;ВР000005853;;4,00;93,00;;1000;1000;;Интерьерный декор;гибкие карнизы;
4910;карниз FLEX;2000;;;;1.50.122;40;50;;;;;Да;ВР000005847;;4,00;72,50;;1500;1000;;Интерьерный декор;гибкие карнизы;
4911;карниз FLEX;2000;;;;1.50.100;55;64;;;;;Да;ВР000005843;;4,00;93,00;;3000;2500;;Интерьерный декор;гибкие карнизы;
4912;карниз FLEX;2000;;;;1.50.102;75;72;;;;;Да;ВР000005914;;4,00;72,50;;3500;3500;;Интерьерный декор;гибкие карнизы;
4913;карниз FLEX;2000;;;;1.50.103;50;50;;;;;Да;ВР000005908;;4,00;72,50;;1500;1000;;Интерьерный декор;гибкие карнизы;
4914;карниз FLEX;2000;;;;1.50.104;77;114;;;;;Да;ВР000005862;;4,00;72,50;;2500;1500;;Интерьерный декор;гибкие карнизы;
4915;карниз FLEX;2000;;;;1.50.105;63;60;;;;;Да;ВР000005897;;4,00;72,50;;3000;2500;;Интерьерный декор;гибкие карнизы;
4916;карниз FLEX;2000;;;;1.50.106;90;72;;;;;Да;ВР000006081;;4,00;93,00;;3000;2500;;Интерьерный декор;гибкие карнизы;
4917;карниз FLEX;2000;;;;1.50.107;108;148;;;;;Да;ВР000005909;;4,00;93,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4918;карниз FLEX;2000;;;;1.50.109;188;84;;;;;Да;ВР000005883;;4,00;93,00;;5000;4500;;Интерьерный декор;гибкие карнизы;
4919;карниз FLEX;2000;;;;1.50.110;192;162;;;;;Да;ВР000005887;;4,50;103,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4920;карниз FLEX;2000;;;;1.50.111;113;116;;;;;Да;ВР000005864;;4,50;82,80;;3500;2500;;Интерьерный декор;гибкие карнизы;
4921;карниз FLEX;2000;;;;1.50.112;38;76;;;;;Да;ВР000005861;;4,00;72,50;;1500;1000;;Интерьерный декор;гибкие карнизы;
4922;карниз FLEX;2000;;;;1.50.113;80;84;;;;;Да;ВР000005851;;4,00;93,00;;4000;3000;;Интерьерный декор;гибкие карнизы;
4923;карниз FLEX;2000;;;;1.50.123;30;30;;;;;Да;ВР000005872;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4924;карниз FLEX;2000;;;;1.50.124;57;115;;;;;Да;ВР000005877;;4,00;93,00;;1500;1500;;Интерьерный декор;гибкие карнизы;
4925;карниз FLEX;2000;;;;1.50.125;87;91;;;;;Да;ВР000005878;;4,00;72,50;;2500;2000;;Интерьерный декор;гибкие карнизы;
4926;карниз FLEX;2000;;;;1.50.126;95;91;;;;;Да;ВР000005907;;4,00;72,50;;2000;1500;;Интерьерный декор;гибкие карнизы;
4927;карниз FLEX;2000;;;;1.50.127;47;90;;;;;Да;ВР000005882;;4,00;93,00;;2000;1500;;Интерьерный декор;гибкие карнизы;
4928;карниз FLEX;1970;;;;1.50.128;66;145;;;;;Да;ВР000005880;;4,00;93,00;;1500;2000;;Интерьерный декор;гибкие карнизы;
4929;карниз FLEX;2000;;;;1.50.129;75;86;;;;;Да;ВР000005913;;4,00;93,00;;2500;1500;;Интерьерный декор;гибкие карнизы;
4930;карниз FLEX;2000;;;;1.50.130;30;32;;;;;Да;ВР000005845;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4931;карниз FLEX;2000;;;;1.50.131;135;60;;;;;Да;ВР000005854;;4,00;93,00;;3000;2500;;Интерьерный декор;гибкие карнизы;
4932;карниз FLEX;2000;;;;1.50.132;117;216;;;;;Да;ВР000005858;;4,50;103,00;;2500;3000;;Интерьерный декор;гибкие карнизы;
4933;карниз FLEX;2000;;;;1.50.133;115;120;;;;;Да;ВР000005855;;4,50;82,80;;3500;2500;;Интерьерный декор;гибкие карнизы;
4934;карниз FLEX;2000;;;;1.50.134;194;150;;;;;Да;ВР000005857;;4,00;93,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4935;карниз FLEX;2000;;;;1.50.135;161;41;;;;;Да;ВР000005871;;4,00;93,00;;3500;3500;;Интерьерный декор;гибкие карнизы;
4936;карниз FLEX;2000;;;;1.50.136;62;166;;;;;Да;ВР000005879;;4,50;103,00;;3500;2500;;Интерьерный декор;гибкие карнизы;
4937;карниз FLEX;2000;;;;1.50.137;183;190;;;;;Да;ВР000005876;;4,50;103,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4938;карниз FLEX;2000;;;;1.50.138;156;161;;;;;Да;ВР000005881;;4,50;103,00;;4000;3500;;Интерьерный декор;гибкие карнизы;
4939;карниз FLEX;2000;;;;1.50.139;98;98;;;;;Да;ВР000006252;;4,00;93,00;;2500;2000;;Интерьерный декор;гибкие карнизы;
4940;карниз FLEX;2000;;;;1.50.140;57;58;;;;;Да;ВР000005848;;4,00;93,00;;2000;1500;;Интерьерный декор;гибкие карнизы;
4941;карниз FLEX;2000;;;;1.50.141;70;70;;;;;Да;ВР000005911;;4,00;93,00;;2000;1500;;Интерьерный декор;гибкие карнизы;
4942;карниз FLEX;2000;;;;1.50.142;196;45;;;;;Да;ВР000005890;;4,00;93,00;;550;550;2500;Интерьерный декор;гибкие карнизы;
4943;карниз FLEX;2000;;;;1.50.143;70;73;;;;;Да;ВР000006083;;4,00;93,00;;2000;1500;;Интерьерный декор;гибкие карнизы;
4944;карниз FLEX;2000;;;;1.50.144;82;80;;;;;Да;ВР000005898;;4,00;93,00;;2500;1500;;Интерьерный декор;гибкие карнизы;
4945;карниз FLEX;2000;;;;1.50.145;264;90;;;;;Да;ВР000005891;;4,50;103,00;;1500;550;4500;Интерьерный декор;гибкие карнизы;
4946;карниз FLEX;2000;;;;1.50.146;74;148;;;;;Да;ВР000005915;;4,00;93,00;;1500;1500;;Интерьерный декор;гибкие карнизы;
4947;карниз FLEX;2000;;;;1.50.147;127;173;;;;;Да;ВР000005892;;4,50;103,00;;4500;4500;;Интерьерный декор;гибкие карнизы;
4948;карниз FLEX;2000;;;;1.50.148;120;117;;;;;Да;ВР000006277;;4,00;93,00;;3500;3000;;Интерьерный декор;гибкие карнизы;
4949;карниз FLEX;2000;;;;1.50.149;188;185;;;;;Да;ВР001022450;;4,50;103,00;;4500;4000;;Интерьерный декор;гибкие карнизы;
4950;карниз FLEX;2000;;;;1.50.150;40;41;;;;;Да;ВР000005844;;4,00;72,50;;1500;1000;;Интерьерный декор;гибкие карнизы;
4951;карниз FLEX;2000;;;;1.50.151;144;170;;;;;Да;ВР001022119;;4,50;103,00;;3500;3500;;Интерьерный декор;гибкие карнизы;
4952;карниз FLEX;2000;;;;1.50.152;155;172;;;;;Да;ВР001022120;;4,50;103,00;;3500;3500;;Интерьерный декор;гибкие карнизы;
4953;карниз FLEX;2000;;;;1.50.153;160;170;;;;;Да;ВР001022121;;4,50;103,00;;3000;2500;;Интерьерный декор;гибкие карнизы;
4954;карниз FLEX;2000;;;;1.50.154;23;23;;;;;Да;ВР001022868;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4955;карниз FLEX;2000;;;;1.50.155;17;26;;;;;Да;ВР001022867;;4,00;93,00;;1000;1000;;Интерьерный декор;гибкие карнизы;
4956;карниз FLEX;2000;;;;1.50.156;30;30;;;;;Да;ВР001022866;;4,00;93,00;;1000;1000;;Интерьерный декор;гибкие карнизы;
4957;карниз FLEX;2000;;;;1.50.157;31;33;;;;;Да;ВР001022865;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4958;карниз FLEX;2000;;;;1.50.158;33;33;;;;;Да;ВР001022864;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4959;карниз FLEX;2000;;;;1.50.159;22;45;;;;;Да;ВР001022863;;4,00;93,00;;1000;550;;Интерьерный декор;гибкие карнизы;
4960;карниз FLEX;2000;;;;1.50.160;70;51;;;;;Да;ВР000005849;;4,00;93,00;;2000;1500;;Интерьерный декор;гибкие карнизы;
4961;карниз FLEX;2000;;;;1.50.162;61;84;;;;;Да;ВР000005884;;4,00;72,50;;2000;1500;;Интерьерный декор;гибкие карнизы;
4962;карниз FLEX;2000;;;;1.50.163;68;148;;;;;Да;ВР000005889;;4,00;93,00;;2000;2000;;Интерьерный декор;гибкие карнизы;
4963;карниз FLEX;2000;;;;1.50.164;123;130;;;;;Да;ВР000005886;;4,00;93,00;;3500;3000;;Интерьерный декор;гибкие карнизы;
4964;карниз FLEX;2000;;;;1.50.165;81;83;;;;;Да;ВР000005850;;4,00;93,00;;2500;2000;;Интерьерный декор;гибкие карнизы;
4965;карниз FLEX;2000;;;;1.50.166;86;142;;;;;Да;ВР000005888;;4,00;72,50;;2500;2500;;Интерьерный декор;гибкие карнизы;
