IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
4928;карниз FLEX;1.50.128;Да;1426,88
4929;карниз FLEX;1.50.129;Да;822
4930;карниз FLEX;1.50.130;Да;575
4931;карниз FLEX;1.50.131;Да;1404
4932;карниз FLEX;1.50.132;Да;2094
4933;карниз FLEX;1.50.133;Да;1426,88
4934;карниз FLEX;1.50.134;Да;2025
4935;карниз FLEX;1.50.135;Да;1473
4936;карниз FLEX;1.50.136;Да;1635
4937;карниз FLEX;1.50.137;Да;2142,4
4938;карниз FLEX;1.50.138;Да;1796
4939;карниз FLEX;1.50.139;Да;1390,48
4940;карниз FLEX;1.50.140;Да;800,8
4941;карниз FLEX;1.50.141;Да;800,8
4942;карниз FLEX;1.50.142;Да;1796
4943;карниз FLEX;1.50.143;Да;785
4944;карниз FLEX;1.50.144;Да;857
4945;карниз FLEX;1.50.145;Да;2277
4946;карниз FLEX;1.50.146;Да;1451,84
4947;карниз FLEX;1.50.147;Да;1796
4948;карниз FLEX;1.50.148;Да;1526
4949;карниз FLEX;1.50.149;Да;2142
4950;карниз FLEX;1.50.150;Да;588,64
4951;карниз FLEX;1.50.151;Да;2318
4952;карниз FLEX;1.50.152;Да;2318
4953;карниз FLEX;1.50.153;Да;2318
4954;карниз FLEX;1.50.154;Да;534
4955;карниз FLEX;1.50.155;Да;529
4956;карниз FLEX;1.50.156;Да;589
4957;карниз FLEX;1.50.157;Да;549,12
4958;карниз FLEX;1.50.158;Да;536
4959;карниз FLEX;1.50.159;Да;568
4960;карниз FLEX;1.50.160;Да;755,04
4961;карниз FLEX;1.50.162;Да;785
4962;карниз FLEX;1.50.163;Да;1506
4963;карниз FLEX;1.50.164;Да;1658
4964;карниз FLEX;1.50.165;Да;789
4965;карниз FLEX;1.50.166;Да;1598
4966;карниз FLEX;1.50.168;Да;1619
4967;карниз FLEX;1.50.169;Да;1526
4968;карниз FLEX;1.50.170;Да;868
4969;карниз FLEX;1.50.171;Да;566,8
4970;карниз FLEX;1.50.172;Да;587,6
4971;карниз FLEX;1.50.173;Да;590,72
4972;карниз FLEX;1.50.174;Да;603,2
4973;карниз FLEX;1.50.175;Да;1612
4974;карниз FLEX;1.50.176;Да;1473
4975;карниз FLEX;1.50.177;Да;877
4976;карниз FLEX;1.50.180;Да;1494
4977;карниз FLEX;1.50.181;Да;841
4978;карниз FLEX;1.50.182;Да;826
4979;карниз FLEX;1.50.183;Да;899,6
4980;карниз FLEX;1.50.184;Да;899,6
4981;карниз FLEX;1.50.185;Да;1575
4982;карниз FLEX;1.50.186;Да;899,6
4983;карниз FLEX;1.50.187;Да;797
4984;карниз FLEX;1.50.188;Да;797
4985;карниз FLEX;1.50.190;Да;596
4986;карниз FLEX;1.50.191;Да;584
4987;карниз FLEX;1.50.192;Да;813
4988;карниз FLEX;1.50.193;Да;839,28
4989;карниз FLEX;1.50.194;Да;775
4990;карниз FLEX;1.50.195;Да;841
4991;карниз FLEX;1.50.197;Да;899,6
4992;карниз FLEX;1.50.200;Да;798,72
4993;карниз FLEX;1.50.202;Да;1436
4994;карниз FLEX;1.50.203;Да;1621
4995;карниз FLEX;1.50.209;Да;1863
4996;карниз FLEX;1.50.210;Да;1947
4997;карниз FLEX;1.50.220;Да;1727,44
4998;карниз FLEX;1.50.221;Да;2023
4999;карниз FLEX;1.50.222;Да;2232,88
5000;карниз FLEX;1.50.250;Да;1480
5001;карниз FLEX;1.50.251;Да;563
5002;карниз FLEX;1.50.252;Да;1702
5003;карниз FLEX;1.50.253;Да;841
5004;карниз FLEX;1.50.254;Да;1271,92
5005;карниз FLEX;1.50.255;Да;1430
5006;карниз FLEX;1.50.256;Да;1644
5007;карниз FLEX;1.50.257;Да;582
5008;карниз FLEX;1.50.258;Да;540
5009;карниз FLEX;1.50.259;Да;771
5010;карниз FLEX;1.50.260;Да;1994,72
5011;карниз FLEX;1.50.261;Да;1478,88
5012;карниз FLEX;1.50.262;Да;1662
5013;карниз FLEX;1.50.264;Да;2041
5014;карниз FLEX;1.50.265;Да;873
5015;карниз FLEX;1.50.266;Да;785,2
5016;карниз FLEX;1.50.267;Да;1666
5017;карниз FLEX;1.50.268;Да;1720
5018;карниз FLEX;1.50.269;Да;1812
5019;карниз FLEX;1.50.270;Да;1944
5020;молдинг;1.51.311;Нет;557
5021;молдинг;1.51.314;Нет;337
5022;молдинг;1.51.327;Нет;461,76
5023;молдинг;1.51.301;Нет;296
5024;молдинг;1.51.305;Нет;278,72
5025;молдинг;1.51.321;Нет;261
5026;молдинг;1.51.400;Нет;279,76
5027;молдинг;1.51.302;Нет;356
5028;молдинг;1.51.303;Нет;362
5029;молдинг;1.51.304;Нет;346
5030;молдинг;1.51.306;Нет;286
5031;молдинг;1.51.307;Нет;542
5032;молдинг;1.51.324;Нет;261
5033;молдинг;1.51.352;Нет;323
5034;молдинг;1.51.325;Нет;577,2
5035;молдинг;1.51.312;Нет;318,76
5036;молдинг;1.51.332;Нет;336,44
5037;молдинг;1.51.350;Нет;582
5038;молдинг;1.51.326;Нет;333
5039;молдинг;1.51.308;Нет;296
5040;молдинг;1.51.309;Нет;356,72
5041;молдинг;1.51.310;Нет;542
5042;молдинг;1.51.313;Нет;337
5043;молдинг;1.51.315;Нет;349
5044;молдинг;1.51.316;Нет;323
5045;молдинг;1.51.317;Нет;512,72
5046;молдинг;1.51.318;Нет;362
5047;молдинг;1.51.319;Нет;586,56
5048;молдинг;1.51.320;Нет;557
5049;молдинг;1.51.322;Нет;233
5050;молдинг;1.51.328;Нет;333
5051;молдинг;1.51.330;Нет;352,04
5052;молдинг;1.51.333;Нет;345,75
5053;молдинг;1.51.340;Нет;328
5054;молдинг;1.51.341;Нет;363,48
5055;молдинг;1.51.342;Нет;349,96
5056;молдинг;1.51.343;Нет;343,2
5057;молдинг;1.51.344;Нет;349,96
5058;молдинг;1.51.351;Нет;342
5059;молдинг;1.51.380;Нет;769
5060;молдинг;1.51.401;Нет;263,12
5061;молдинг;1.51.323;Нет;236
5062;молдинг;1.51.339;Нет;343,2
5063;молдинг;1.51.331;Нет;360
5064;молдинг;1.51.336;Нет;336,44
5065;молдинг;1.51.334;Нет;324,48
5066;молдинг;1.51.335;Нет;357,76
5067;молдинг;1.51.337;Нет;349,96
5068;молдинг;1.51.348;Нет;338,52
5069;молдинг;1.51.349;Нет;568,36
5070;молдинг;1.51.329;Нет;277,16
5071;молдинг;1.51.347;Нет;531,96
5072;молдинг;1.51.355;Нет;550,68
5073;молдинг;1.51.354;Нет;351
5074;молдинг FLEX;1.51.311;Да;1117
5075;молдинг FLEX;1.51.314;Да;676
5076;молдинг FLEX;1.51.327;Да;923
5077;молдинг FLEX;1.51.301;Да;594
5078;молдинг FLEX;1.51.305;Да;556
5079;молдинг FLEX;1.51.321;Да;522
5080;молдинг FLEX;1.51.400;Да;557
5081;молдинг FLEX;1.51.302;Да;714
5082;молдинг FLEX;1.51.303;Да;723
5083;молдинг FLEX;1.51.304;Да;690
5084;молдинг FLEX;1.51.306;Да;570
5085;молдинг FLEX;1.51.307;Да;1082,64
5086;молдинг FLEX;1.51.324;Да;522
5087;молдинг FLEX;1.51.352;Да;647
5088;молдинг FLEX;1.51.325;Да;1152
5089;молдинг FLEX;1.51.312;Да;637
5090;молдинг FLEX;1.51.332;Да;672,88
5091;молдинг FLEX;1.51.350;Да;1162
5092;молдинг FLEX;1.51.326;Да;665
5093;молдинг FLEX;1.51.308;Да;591
5094;молдинг FLEX;1.51.309;Да;713,44
5095;молдинг FLEX;1.51.310;Да;1082,64
5096;молдинг FLEX;1.51.313;Да;676
5097;молдинг FLEX;1.51.315;Да;699
5098;молдинг FLEX;1.51.316;Да;647
5099;молдинг FLEX;1.51.317;Да;1025,44
5100;молдинг FLEX;1.51.318;Да;723
5101;молдинг FLEX;1.51.319;Да;1171
5102;молдинг FLEX;1.51.320;Да;1117
5103;молдинг FLEX;1.51.322;Да;464
5104;молдинг FLEX;1.51.328;Да;665
5105;молдинг FLEX;1.51.330;Да;702
5106;молдинг FLEX;1.51.333;Да;689,73
5107;молдинг FLEX;1.51.340;Да;658
5108;молдинг FLEX;1.51.341;Да;726,96
5109;молдинг FLEX;1.51.342;Да;699,92
5110;молдинг FLEX;1.51.343;Да;686,4
5111;молдинг FLEX;1.51.344;Да;699,92
5112;молдинг FLEX;1.51.351;Да;684
5113;молдинг FLEX;1.51.380;Да;1540,24
5114;молдинг FLEX;1.51.401;Да;527
5115;молдинг FLEX;1.51.323;Да;475
5116;молдинг FLEX;1.51.339;Да;686,4
5117;молдинг FLEX;1.51.331;Да;718
5118;молдинг FLEX;1.51.336;Да;672,88
5119;молдинг FLEX;1.51.334;Да;648,96
5120;молдинг FLEX;1.51.335;Да;715,52
5121;молдинг FLEX;1.51.337;Да;699,92
5122;молдинг FLEX;1.51.348;Да;677,04
5123;молдинг FLEX;1.51.349;Да;1136,72
5124;молдинг FLEX;1.51.329;Да;554,32
5125;молдинг FLEX;1.51.347;Да;1063,92
5126;молдинг FLEX;1.51.355;Да;1101,36
5127;молдинг FLEX;1.51.354;Да;702
5128;плинтус;1.53.102;Нет;614,12
5129;плинтус;1.53.103;Нет;563
5130;плинтус;1.53.104;Нет;575
5131;плинтус;1.53.105;Нет;631,8
5132;плинтус;1.53.106;Нет;512
5133;плинтус;1.53.107;Нет;492
5134;плинтус;1.53.109;Нет;552
5135;плинтус;1.53.101;Нет;593
5136;плинтус FLEX;1.53.102;Да;1228
5137;плинтус FLEX;1.53.103;Да;1127,36
5138;плинтус FLEX;1.53.104;Да;1150
5139;плинтус FLEX;1.53.105;Да;1265
5140;плинтус FLEX;1.53.106;Да;1023
5141;плинтус FLEX;1.53.107;Да;986
5142;плинтус FLEX;1.53.109;Да;1106
5143;плинтус FLEX;1.53.101;Да;1187
5144;угловой элемент;1.52.326;Нет;291
5145;угловой элемент;1.52.301;Нет;250
5146;угловой элемент;1.52.302;Нет;256
5147;угловой элемент;1.52.290;Нет;271,96
5148;угловой элемент;1.52.293;Нет;271,96
5149;угловой элемент;1.52.292;Нет;277
5150;угловой элемент;1.52.288;Нет;284,44
5151;угловой элемент;1.52.294;Нет;284,44
5152;угловой элемент;1.52.291;Нет;258
5153;угловой элемент;1.52.295;Нет;258
5154;угловой элемент;1.52.328;Нет;258
5155;угловой элемент;1.52.400;Нет;272
5156;угловой элемент;1.52.289;Нет;251,68
5157;угловой элемент;1.52.296;Нет;312
5158;угловой элемент;1.52.297;Нет;252
5159;угловой элемент;1.52.298;Нет;252
5160;угловой элемент;1.52.300;Нет;258
5161;угловой элемент;1.52.303;Нет;258
5162;угловой элемент;1.52.308;Нет;247
5163;угловой элемент;1.52.312;Нет;250
5164;угловой элемент;1.52.313;Нет;536
5165;угловой элемент;1.52.314;Нет;312
5166;угловой элемент;1.52.318;Нет;265
5167;кронштейн;1.19.001;Нет;725
5168;кронштейн;1.19.137;Нет;106
5169;кронштейн;1.19.002;Нет;542
5170;кронштейн;1.19.005;Нет;600,08
5171;кронштейн;1.19.003;Нет;543
5172;кронштейн;1.19.004;Нет;545,48
5173;кронштейн;1.19.006;Нет;1947
5174;розетка;1.56.017;Нет;765,44
5175;розетка;1.56.001;Нет;1042,6
5176;розетка;1.56.002;Нет;741
5177;розетка;1.56.004;Нет;604,24
5178;розетка;1.56.007;Нет;626,6
5179;розетка;1.56.013;Нет;413,4
5180;розетка;1.56.014;Нет;431,08
5181;розетка;1.56.015;Нет;814,84
5182;розетка;1.56.016;Нет;741
5183;розетка;1.56.018;Нет;1449,24
5184;розетка;1.56.019;Нет;790,92
5185;розетка;1.56.020;Нет;790,92
5186;розетка;1.56.022;Нет;741
5187;розетка;1.56.023;Нет;1015,56
5188;розетка;1.56.024;Нет;765,44
5189;розетка;1.56.025;Нет;1908,92
5190;розетка;1.56.005;Нет;1014,52
5191;розетка;1.56.010;Нет;251,68
5192;розетка;1.56.028;Нет;1415,44
5193;розетка;1.56.029;Нет;1042,6
5194;розетка;1.56.030;Нет;443,56
5195;розетка;1.56.003;Нет;790,92
5196;розетка;1.56.031;Нет;1015,56
5197;розетка;1.56.021;Нет;814,84
5198;розетка;1.56.026;Нет;1382,16
5199;розетка;1.56.006;Нет;421,72
5200;розетка;1.56.009;Нет;431,08
5201;розетка;1.56.032;Нет;439,4
5202;розетка;1.56.011;Нет;248,56
5203;розетка;1.56.037;Нет;431,6
5204;розетка;1.56.034;Нет;765,96
5205;розетка;1.56.033;Нет;741
5206;розетка;1.56.038;Нет;456,56
5207;розетка;1.56.012;Нет;790,92
5208;розетка;1.56.027;Нет;421,2
5209;розетка;1.56.039;Нет;1056,12
5210;розетка;1.56.035;Нет;765,44
5211;розетка;1.56.042;Нет;251,68
5212;орнамент;1.60.114;Нет;312
5213;орнамент;1.60.014;Нет;312
5214;орнамент;1.60.011;Нет;135,72
5215;орнамент;1.60.111;Нет;135,72
5216;орнамент;1.60.007;Нет;125
5217;орнамент;1.60.005;Нет;125
5218;орнамент;1.60.012;Нет;339,04
5219;орнамент;1.60.008;Нет;118
5220;орнамент;1.60.010;Нет;120
5221;орнамент;1.60.002;Нет;136,24
5222;орнамент;1.60.003;Нет;118
5223;орнамент;1.60.004;Нет;120
5224;орнамент;1.60.006;Нет;122
5225;орнамент;1.60.009;Нет;120
5226;орнамент;1.60.015;Нет;125
5227;орнамент;1.60.017;Нет;136
5228;орнамент;1.60.018;Нет;139
5229;орнамент;1.60.019;Нет;339,04
5230;орнамент;1.60.108;Нет;118
5231;орнамент;1.60.109;Нет;120
5232;орнамент;1.60.110;Нет;120
5233;орнамент;1.60.001;Нет;123
5234;кессон;1.57.002;Нет;952,64
5235;кессон;1.57.003;Нет;1003,08
5236;кессон;1.57.001;Нет;877,76
5237;кессон;1.57.004;Нет;1301,56
5238;купол;1.58.001;Нет;4803
5239;капитель;1.11.001;Нет;4190
5240;капитель;1.11.010;Нет;2273,96
5241;капитель;1.11.003;Нет;3255
5242;капитель;1.11.002;Нет;2417
5243;капитель;1.11.004;Нет;3255
5244;капитель;1.11.005;Нет;1675,44
5245;капитель;1.11.006;Нет;3146
5246;капитель;1.11.008;Нет;1891,24
5247;капитель;1.11.009;Нет;1882,92
5248;капитель;1.15.002;Нет;1030
5249;капитель;1.15.003;Нет;1449,76
5250;капитель;1.15.004;Нет;1449,76
5251;капитель;1.15.005;Нет;751
5252;капитель;1.15.006;Нет;1397
5253;капитель;1.15.008;Нет;946,4
5254;капитель;1.15.001;Нет;1773
5255;капитель;1.15.009;Нет;941,2
5256;капитель;1.15.010;Нет;1137,76
5257;капитель;1.21.003;Нет;646,36
5258;капитель;1.21.001;Нет;580
5259;капитель;1.21.002;Нет;738,92
5260;капитель;1.21.004;Нет;676
5261;капитель;1.21.005;Нет;729
5262;капитель;1.21.006;Нет;690,56
5263;капитель;1.21.007;Нет;654,16
5264;ствол;1.12.020;Нет;6123
5265;ствол;1.12.010;Нет;6123
5266;ствол;1.12.030;Нет;7799
5267;ствол;1.12.050;Нет;3631
5268;ствол;1.12.060;Нет;3289
5269;ствол;1.12.061;Нет;4442,36
5270;ствол;1.12.080;Нет;3289
5271;ствол;1.12.081;Нет;4442,36
5272;ствол;1.12.070;Нет;3289
5273;ствол;1.12.071;Нет;4442,36
5274;ствол;1.16.080;Нет;1644,76
5275;ствол;1.16.081;Нет;2221,44
5276;ствол;1.16.030;Нет;3577
5277;ствол;1.16.070;Нет;1644,76
5278;ствол;1.16.050;Нет;1611
5279;ствол;1.16.060;Нет;1644,76
5280;ствол;1.16.071;Нет;2221,44
5281;ствол;1.16.010;Нет;2740
5282;ствол;1.16.011;Нет;2836
5283;ствол;1.16.020;Нет;2740
5284;ствол;1.16.061;Нет;2221,44
5285;ствол;1.22.010;Нет;843,44
5286;ствол;1.22.020;Нет;1331,72
5287;ствол;1.22.030;Нет;1015,56
5288;ствол;1.22.200;Нет;1528,28
5289;ствол;1.22.040;Нет;1080,04
5290;кольцо;1.11.100;Нет;101
5291;кольцо;1.11.200;Нет;101
5292;кольцо;1.11.300;Нет;146
5293;кольцо;1.15.100;Нет;49
5294;кольцо;1.15.200;Нет;49
5295;кольцо;1.15.300;Нет;75,92
5296;база;1.13.900;Нет;1495
5297;база;1.13.300;Нет;5640
5298;база;1.13.400;Нет;2498
5299;база;1.13.800;Нет;1495
5300;база;1.13.500;Нет;1675,44
5301;база;1.13.100;Нет;4350
5302;база;1.13.200;Нет;2158,52
5303;база;1.13.700;Нет;1465,36
5304;база;1.17.900;Нет;747,76
5305;база;1.17.300;Нет;2579
5306;база;1.17.400;Нет;1127
5307;база;1.17.100;Нет;1932,84
5308;база;1.17.800;Нет;747,76
5309;база;1.17.500;Нет;751
5310;база;1.17.600;Нет;1409,2
5311;база;1.17.700;Нет;733,2
5312;база;1.17.200;Нет;838,24
