IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP165;IP_PROP620;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4831;карниз 1.50.159;2000;;;;1.50.159;28;44;;;;;Нет;ВР001022854;;Нет;;;;;
4832;карниз 1.50.160;2000;;;;1.50.160;70;50;;;;;Нет;ВР000001055;;Нет;;;;;
4833;карниз 1.50.162;2000;;;;1.50.162;60;85;;;;;Нет;ВР000002855;;Нет;;;;;
4834;карниз 1.50.163;2000;;;;1.50.163;65;151;;;;;Нет;ВР000002934;;Нет;;;;;
4835;карниз 1.50.164;2000;;;;1.50.164;126;126;;;;;Нет;ВР000002936;;Нет;;;;;
4836;карниз 1.50.165;2000;;;;1.50.165;80;82;;;;;Нет;ВР000001056;;Нет;;;;;
4837;карниз 1.50.166;2000;;;;1.50.166;87;142;;;;;Нет;ВР000004078;;Нет;;;;;
4838;карниз 1.50.167;2000;;;;1.50.167;120;119;;;;;Нет;ВР000004319;;Нет;;;;;
4839;карниз 1.50.168;2000;;;;1.50.168;120;119;;;;;Нет;ВР000004036;;Нет;;;;;
4840;карниз 1.50.169;2000;;;;1.50.169;96;99;;;;;Нет;ВР000005325;;Нет;;;;;
4841;карниз 1.50.170;2000;;;;1.50.170;113;79;;;;;Нет;ВР000001057;;Нет;;;;;
4842;карниз 1.50.171;2000;;;;1.50.171;30;45;;;;;Нет;ВР001022855;;Нет;;;;;
4843;карниз 1.50.172;2000;;;;1.50.172;48;47;;;;;Нет;ВР001022856;;Нет;;;;;
4844;карниз 1.50.173;2000;;;;1.50.173;40;55;;;;;Нет;ВР001022857;;Нет;;;;;
4845;карниз 1.50.174;2000;;;;1.50.174;36;62;;;;;Нет;ВР001022858;;Нет;;;;;
4846;карниз 1.50.175;2000;;;;1.50.175;117;135;;;;;Нет;ВР000001355;;Нет;;;;;
4847;карниз 1.50.176;2000;;;;1.50.176;68;131;;;;;Нет;ВР000005000;;Нет;;;;;
4848;карниз 1.50.177;2000;;;;1.50.177;56;119;;;;;Нет;ВР000006024;;Нет;;;;;
4849;карниз 1.50.180;2000;;;;1.50.180;91;121;;;;;Нет;ВР000001451;;Нет;;;;;
4850;карниз 1.50.181;2000;;;;1.50.181;39;75;;;;;Нет;ВР001023412;;Нет;;;;;
4851;карниз 1.50.182;2000;;;;1.50.182;41;69;;;;;Нет;ВР001023413;;Нет;;;;;
4852;карниз 1.50.183;2000;;;;1.50.183;84;96;;;;;Нет;ВР001023414;;Нет;;;;;
4853;карниз 1.50.184;2000;;;;1.50.184;73;73;;;;;Нет;ВР001023415;;Нет;;;;;
4854;карниз 1.50.185;2000;;;;1.50.185;98;115;;;;;Нет;ВР001023416;;Нет;;;;;
4855;карниз 1.50.186;2000;;;;1.50.186;55;82;;;;;Нет;ВР001023417;;Нет;;;;;
4856;карниз 1.50.187;2000;;;;1.50.187;50;52;;;;;Нет;ВР001023418;;Нет;;;;;
4857;карниз 1.50.188;2000;;;;1.50.188;50;53;;;;;Нет;ВР001023693;;Нет;;;;;
4858;карниз 1.50.190;2000;;;;1.50.190;25;40;;;;;Нет;ВР001024050;;Нет;;;;;
4859;карниз 1.50.191;2000;;;;1.50.191;25;40;;;;;Нет;ВР001024053;;Нет;;;;;
4860;карниз 1.50.192;2000;;;;1.50.192;40;70;;;;;Нет;ВР002025145;;Нет;;;;;
4861;карниз 1.50.193;2000;;;;1.50.193;57;90;;;;;Нет;ВР002025144;;Нет;;;;;
4862;карниз 1.50.194;2000;;;;1.50.194;50;50;;;;;Нет;ВР002025137;;Нет;;;;;
4863;карниз 1.50.195;2000;;;;1.50.195;53;53;;;;;Нет;ВР002025296;;Нет;;;;;
4864;карниз 1.50.196;2000;;;;1.50.196;53;70;;;;;Нет;ВР002025293;;Нет;;;;;
4865;карниз 1.50.197;2000;;;;1.50.197;73;77;;;;;Нет;ВР002025291;;Нет;;;;;
4866;карниз 1.50.198;2000;;;;1.50.198;92;87;;;;;Нет;ВР002025290;;Нет;;;;;
4867;карниз 1.50.200;2000;;;;1.50.200;55;55;;;;;Нет;ВР002025307;;Нет;;;;;
4868;карниз 1.50.201;2000;;;;1.50.201;130;171;;;;;Нет;ВР002025337;;Нет;;;;;
4870;карниз 1.50.203;2000;;;;1.50.203;128;116;;;;;Нет;ВР002025341;;Нет;;;;;
4871;карниз 1.50.204;2000;;;;1.50.204;40;36;;;;;Нет;ВР002025428;;Нет;;;;;
4872;карниз 1.50.208;2000;;;;1.50.208;71;71;;;;;Нет;ВР002025426;;Нет;;;;;
4873;карниз 1.50.209;2000;;;;1.50.209;117;152;;;;;Нет;ВР000001058;;Нет;;;;;
4874;карниз 1.50.210;2000;;;;1.50.210;121;156;;;;;Нет;ВР000001077;;Нет;;;;;
4875;карниз 1.50.211;2000;;;;1.50.211;176;72;;;;;Нет;ВР000004385;;Нет;;;;;
4876;карниз 1.50.212;2000;;;;1.50.212;169;74;;;;;Нет;ВР000004386;;Нет;;;;;
4877;карниз 1.50.220;2000;;;;1.50.220;122;127;;;;;Нет;ВР000001281;;Нет;;;;;
4878;карниз 1.50.221;2000;;;;1.50.221;143;150;;;;;Нет;ВР000001338;;Нет;;;;;
4879;карниз 1.50.222;2000;;;;1.50.222;164;166;;;;;Нет;ВР000001612;;Нет;;;;;
4880;карниз 1.50.250;2000;;;;1.50.250;72;164;;;;;Нет;ВР000005486;;Нет;;;;;
4881;карниз 1.50.251;2000;;;;1.50.251;55;70;;;;;Нет;ВР000005602;;Нет;;;;;
4882;карниз 1.50.252;2000;;;;1.50.252;120;119;;;;;Нет;ВР000004035;;Нет;;;;;
4883;карниз 1.50.253;2000;;;;1.50.253;64;109;;;;;Нет;ВР000005501;;Нет;;;;;
4884;карниз 1.50.254;2000;;;;1.50.254;93;130;;;;;Нет;ВР000005595;;Нет;;;;;
4885;карниз 1.50.255;2000;;;;1.50.255;81;127;;;;;Нет;ВР000005644;;Нет;;;;;
4886;карниз 1.50.256;2000;;;;1.50.256;133;173;;;;;Нет;ВР000005750;;Нет;;;;;
4887;карниз 1.50.257;2000;;;;1.50.257;39;39;;;;;Нет;ВР000005752;;Нет;;;;;
4888;карниз 1.50.258;2000;;;;1.50.258;25;27;;;;;Нет;ВР000005754;;Нет;;;;;
4889;карниз 1.50.259;2000;;;;1.50.259;37;81;;;;;Нет;ВР000005756;;Нет;;;;;
4890;карниз 1.50.260;2000;;;;1.50.260;133;166;;;;;Нет;ВР000006884;;Нет;;;;;
4891;карниз 1.50.261;2000;;;;1.50.261;103;100;;;;;Нет;ВР001000006;;Нет;;;;;
4892;карниз 1.50.262;2000;;;;1.50.262;50;120;;;;;Нет;ВР001000028;;Нет;;;;;
4893;карниз 1.50.264;2000;;;;1.50.264;170;170;;;;;Нет;ВР001002926;;Нет;;;;;
4894;карниз 1.50.265;2000;;;;1.50.265;21;114;;;;;Нет;ВР001007508;;Нет;;;;;
4895;карниз 1.50.266;2000;;;;1.50.266;75;21;;;;;Нет;ВР001007509;;Нет;;;;;
4896;карниз 1.50.267;2000;;;;1.50.267;171;32;;;;;Нет;ВР001007510;;Нет;;;;;
4897;карниз 1.50.268;2000;;;;1.50.268;170;32;;;;;Нет;ВР001007511;;Нет;;;;;
4898;карниз 1.50.269;2000;;;;1.50.269;220;47;;;;;Нет;ВР001007512;;Нет;;;;;
4899;карниз 1.50.270;2000;;;;1.50.270;220;46;;;;;Нет;ВР001007513;;Нет;;;;;
4900;карниз 1.50.271;2000;;;;1.50.271;165;226;;;;;Нет;ВР002025312;;Нет;;;;;
4901;карниз 1.50.273;2000;;;;1.50.273;130;198;;;;;Нет;ВР002025512;;Нет;;;;;
4902;карниз 1.50.114 гибкий;2000;;;;1.50.114;32;65;;;;;Да;ВР002028331;;Нет;;;1500;1000;
4903;карниз 1.50.115 гибкий;2000;;;;1.50.115;46;49;;;;;Да;ВР002028332;;Нет;;;2500;2000;
4904;карниз 1.50.116 гибкий;2000;;;;1.50.116;99;100;;;;;Да;ВР002028333;;Нет;;;4000;3000;
4905;карниз 1.50.117 гибкий;2000;;;;1.50.117;104;154;;;;;Да;ВР002028334;;Нет;;;3000;2500;
4906;карниз 1.50.118 гибкий;2000;;;;1.50.118;131;130;;;;;Да;ВР002028335;;Нет;;;3500;2500;
4907;карниз 1.50.119 гибкий;2000;;;;1.50.119;56;113;;;;;Да;ВР002028336;;Нет;;;2500;2000;
4908;карниз 1.50.120 гибкий;2000;;;;1.50.120;112;142;;;;;Да;ВР002028337;;Нет;;;4500;4000;
4909;карниз 1.50.121 гибкий;2000;;;;1.50.121;50;101;;;;;Да;ВР002028338;;Нет;;;1000;1000;
4910;карниз 1.50.122 гибкий;2000;;;;1.50.122;40;50;;;;;Да;ВР002028339;;Нет;;;1500;1000;
4911;карниз 1.50.100 гибкий;2000;;;;1.50.100;55;64;;;;;Да;ВР002028318;;Нет;;;3000;2500;
4912;карниз 1.50.102 гибкий;2000;;;;1.50.102;76;69;;;;;Да;ВР002028319;;Нет;;;3500;3500;
4913;карниз 1.50.103 гибкий;2000;;;;1.50.103;50;50;;;;;Да;ВР002028320;;Нет;;;1500;1000;
4914;карниз 1.50.104 гибкий;2000;;;;1.50.104;73;116;;;;;Да;ВР002028321;;Нет;;;2500;1500;
4915;карниз 1.50.105 гибкий;2000;;;;1.50.105;63;60;;;;;Да;ВР002028322;;Нет;;;2000;1500;
4916;карниз 1.50.106 гибкий;2000;;;;1.50.106;90;71;;;;;Да;ВР002028323;;Нет;;;3000;2500;
4917;карниз 1.50.107 гибкий;2000;;;;1.50.107;107;148;;;;;Да;ВР002028324;;Нет;;;4500;4000;
4918;карниз 1.50.109 гибкий;2000;;;;1.50.109;190;78;;;;;Да;ВР002028326;;Нет;;;5000;4500;
