IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP148
5019;2000;;;;;;;
5020;2000;;;;;;20;
5021;2000;;;;;;19;
5022;2000;;;;;;21;
5023;2000;;;;;;16;
5024;2000;;;;;;15;
5025;2000;;;;;;9;
5026;2000;;;;;;16;
5027;2000;;;;;;25;
5028;2000;;;;;;19;
5029;2000;;;;;;24;
5030;2000;;;;;;10;
5031;2000;;;;;;25;
5032;2000;;;;;;12;
5033;2000;;;;;;21;
5034;2000;;;;;;15;
5035;2000;;;;;;18;
5036;2000;;;;;;16;
5037;2000;;;;;;37;
5038;2000;;;;;;28;
5039;2000;;;;;;20;
5040;2000;;;;;;21;
5041;2000;;;;;;19;
5042;2000;;;;;;20;
5043;2000;;;;;;22;
5044;2000;;;;;;19;
5045;2000;;;;;;20;
5046;2000;;;;;;32;
5047;2000;;;;;;30;
5048;2000;;;;;;20;
5049;2000;;;;;;12;
5050;2000;;;;;;30;
5051;2000;;;;;;28;
5053;2000;;;;;;26;
5054;2000;;;;;;20;
5055;2000;;;;;;15;
5056;2000;;;;;;12;
5057;2000;;;;;;18;
5058;2000;;;;;;29;
5059;2000;;;;;;35;
5060;2000;;;;;;12;
5061;2000;;;;;;10;
5062;2000;;;;;;16;
5063;2000;;;;;;20;
5064;2000;;;;;;12;
5065;2000;;;;;;14;
5066;2000;;;;;;16;
5067;2000;;;;;;12;
5068;2000;;;;;;25;
5069;2000;;;;;;20;
5070;2000;;;;;;12;
5071;2000;;;;;;27;
5072;2000;;;;;;38;
5073;2000;;;;;;26;
5074;2000;;;;;;20;1500
5075;2000;;;;;;19;1500
5076;2000;;;;;;21;1000
5077;2000;;;;;;16;550
5078;2000;;;;;;15;550
5079;2000;;;;;;9;550
5080;2000;;;;;;16;550
5081;2000;;;;;;25;1000
5082;2000;;;;;;19;1500
5083;2000;;;;;;24;550
5084;2000;;;;;;10;550
5085;2000;;;;;;25;1500
5086;2000;;;;;;12;1500
5087;2000;;;;;;21;550
5088;2000;;;;;;15;2500
5089;2000;;;;;;18;1500
5090;2000;;;;;;16;1000
5091;2000;;;;;;37;2500
