IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP149;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;2000;30;67;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;558.00
4775;карниз;1.50.115;2000;47;49;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;450.00
4776;карниз;1.50.116;2000;100;100;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1137.00
4777;карниз;1.50.117;2000;105;155;;;;;;;;;;;;Нет;;5;82,8;;Интерьерный декор;карнизы;;1196.00
4778;карниз;1.50.118;2000;132;131;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1262.00
4779;карниз;1.50.119;2000;50;118;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;620.00
4780;карниз;1.50.120;2000;122;143;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1296.00
4781;карниз;1.50.121;2000;51;101;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;608.00
4782;карниз;1.50.122;2000;40;50;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;398.00
4783;карниз;1.50.100;2000;55;64;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;559.00
4784;карниз;1.50.102;2000;74;72;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;443.00
4785;карниз;1.50.103;2000;50;50;;;;;;;;;;;;Нет;;4;93;;Интерьерный декор;карнизы;;446.00
4786;карниз;1.50.104;2000;76;114;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1106.00
4787;карниз;1.50.105;2000;63;60;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;545.00
4788;карниз;1.50.106;2000;90;72;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;588.00
4789;карниз;1.50.107;2000;108;148;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1163.00
4790;карниз;1.50.109;2000;188;84;;;;;;;;;;;;Нет;;4;72,5;;Интерьерный декор;карнизы;;1262.00
4791;карниз;1.50.110;2000;162;192;;;;;;;;;;;;Нет;;5;82,8;;Интерьерный декор;карнизы;;1429.00
