IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;Нет;ВР000001360;Интерьерный декор;карнизы;;558.00
4775;карниз;1.50.115;Нет;ВР000001045;Интерьерный декор;карнизы;;450.00
4776;карниз;1.50.116;Нет;ВР000001487;Интерьерный декор;карнизы;;1137.00
4777;карниз;1.50.117;Нет;ВР000001046;Интерьерный декор;карнизы;;1196.00
4778;карниз;1.50.118;Нет;ВР000001868;Интерьерный декор;карнизы;;1262.00
4779;карниз;1.50.119;Нет;ВР000001858;Интерьерный декор;карнизы;;620.00
4780;карниз;1.50.120;Нет;ВР000001867;Интерьерный декор;карнизы;;1296.00
4781;карниз;1.50.121;Нет;ВР000001047;Интерьерный декор;карнизы;;608.00
4782;карниз;1.50.122;Нет;ВР000001048;Интерьерный декор;карнизы;;398.00
4783;карниз;1.50.100;Нет;ВР000001042;Интерьерный декор;карнизы;;559.00
4784;карниз;1.50.102;Нет;ВР000005632;Интерьерный декор;карнизы;;443.00
4785;карниз;1.50.103;Нет;ВР000005166;Интерьерный декор;карнизы;;446.00
4786;карниз;1.50.104;Нет;ВР000001293;Интерьерный декор;карнизы;;1106.00
4787;карниз;1.50.105;Нет;ВР000005167;Интерьерный декор;карнизы;;545.00
4788;карниз;1.50.106;Нет;ВР000005174;Интерьерный декор;карнизы;;588.00
4789;карниз;1.50.107;Нет;ВР000005326;Интерьерный декор;карнизы;;1163.00
4790;карниз;1.50.109;Нет;ВР000002930;Интерьерный декор;карнизы;;1262.00
4791;карниз;1.50.110;Нет;ВР000002931;Интерьерный декор;карнизы;;1429.00
4792;карниз;1.50.111;Нет;ВР000001285;Интерьерный декор;карнизы;;1170.00
4793;карниз;1.50.112;Нет;ВР000001043;Интерьерный декор;карнизы;;579.00
4794;карниз;1.50.113;Нет;ВР000001044;Интерьерный декор;карнизы;;614.00
4795;карниз;1.50.123;Нет;ВР000001718;Интерьерный декор;карнизы;;412.00
4796;карниз;1.50.124;Нет;ВР000001972;Интерьерный декор;карнизы;;1055.00
4797;карниз;1.50.125;Нет;ВР000002129;Интерьерный декор;карнизы;;866.00
4798;карниз;1.50.126;Нет;ВР001003726;Интерьерный декор;карнизы;;607.00
4799;карниз;1.50.127;Нет;ВР000002929;Интерьерный декор;карнизы;;588.00
4800;карниз;1.50.128;Нет;ВР000002329;Интерьерный декор;карнизы;;1030.00
4801;карниз;1.50.129;Нет;ВР000005168;Интерьерный декор;карнизы;;593.00
4802;карниз;1.50.130;Нет;ВР000001049;Интерьерный декор;карнизы;;415.00
4803;карниз;1.50.131;Нет;ВР000001081;Интерьерный декор;карнизы;;1014.00
4804;карниз;1.50.132;Нет;ВР000001050;Интерьерный декор;карнизы;;1512.00
4805;карниз;1.50.133;Нет;ВР000001076;Интерьерный декор;карнизы;;1030.00
4806;карниз;1.50.134;Нет;ВР000001051;Интерьерный декор;карнизы;;1462.00
4807;карниз;1.50.135;Нет;ВР000001303;Интерьерный декор;карнизы;;1064.00
4808;карниз;1.50.136;Нет;ВР000002167;Интерьерный декор;карнизы;;1181.00
4809;карниз;1.50.137;Нет;ВР000001827;Интерьерный декор;карнизы;;1546.00
4810;карниз;1.50.138;Нет;ВР000002343;Интерьерный декор;карнизы;;1296.00
4811;карниз;1.50.139;Нет;ВР000006023;Интерьерный декор;карнизы;;1003.00
4812;карниз;1.50.140;Нет;ВР000001052;Интерьерный декор;карнизы;;578.00
4813;карниз;1.50.141;Нет;ВР000005170;Интерьерный декор;карнизы;;578.00
4814;карниз;1.50.142;Нет;ВР000001544;Интерьерный декор;карнизы;;1296.00
4815;карниз;1.50.143;Нет;ВР000005171;Интерьерный декор;карнизы;;567.00
4816;карниз;1.50.144;Нет;ВР000005173;Интерьерный декор;карнизы;;620.00
4817;карниз;1.50.145;Нет;ВР000001586;Интерьерный декор;карнизы;;1645.00
4818;карниз;1.50.146;Нет;ВР000005175;Интерьерный декор;карнизы;;1048.00
4819;карниз;1.50.147;Нет;ВР000001182;Интерьерный декор;карнизы;;1296.00
4820;карниз;1.50.148;Нет;ВР000006025;Интерьерный декор;карнизы;;1102.00
4821;карниз;1.50.149;Нет;ВР001021963;Интерьерный декор;карнизы;;1670.00
4822;карниз;1.50.150;Нет;ВР000001054;Интерьерный декор;карнизы;;424.00
