IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP747;IP_PROP749
5087;молдинг FLEX;1.51.352;Y;Y;37
5088;молдинг FLEX;1.51.325;Y;Y;9
5089;молдинг FLEX;1.51.312;Y;;
5090;молдинг FLEX;1.51.332;Y;Y;21
5091;молдинг FLEX;1.51.350;Y;Y;24
5092;молдинг FLEX;1.51.326;Y;Y;29
5093;молдинг FLEX;1.51.308;Y;;
5094;молдинг FLEX;1.51.309;Y;Y;20
5095;молдинг FLEX;1.51.310;Y;;
5096;молдинг FLEX;1.51.313;Y;Y;9
5097;молдинг FLEX;1.51.315;Y;;
5098;молдинг FLEX;1.51.316;Y;;
5099;молдинг FLEX;1.51.317;Y;;
5100;молдинг FLEX;1.51.318;Y;Y;31
5101;молдинг FLEX;1.51.319;Y;Y;22
5102;молдинг FLEX;1.51.320;Y;Y;0
5103;молдинг FLEX;1.51.322;Y;;
5104;молдинг FLEX;1.51.328;Y;Y;20
5105;молдинг FLEX;1.51.330;Y;Y;0
5106;молдинг FLEX;1.51.333;Y;;
5107;молдинг FLEX;1.51.340;Y;Y;9
5108;молдинг FLEX;1.51.341;Y;Y;3
5109;молдинг FLEX;1.51.342;Y;;
5110;молдинг FLEX;1.51.343;Y;;
5111;молдинг FLEX;1.51.344;Y;;
5112;молдинг FLEX;1.51.351;Y;Y;29
5113;молдинг FLEX;1.51.380;Y;Y;19
5114;молдинг FLEX;1.51.401;Y;;
5115;молдинг FLEX;1.51.323;Y;;
5116;молдинг FLEX;1.51.339;Y;Y;5
5117;молдинг FLEX;1.51.331;Y;Y;7
5118;молдинг FLEX;1.51.336;Y;Y;2
5119;молдинг FLEX;1.51.334;Y;Y;31
5120;молдинг FLEX;1.51.335;Y;Y;19
5121;молдинг FLEX;1.51.337;Y;;
5122;молдинг FLEX;1.51.348;Y;;
5123;молдинг FLEX;1.51.349;Y;Y;21
5124;молдинг FLEX;1.51.329;Y;Y;82
5125;молдинг FLEX;1.51.347;Y;;
5126;молдинг FLEX;1.51.355;Y;;
5127;молдинг FLEX;1.51.354;Y;;
5128;плинтус;1.53.102;N;;
5129;плинтус;1.53.103;N;;
5130;плинтус;1.53.104;N;;
5131;плинтус;1.53.105;N;;
5132;плинтус;1.53.106;N;;
5133;плинтус;1.53.107;N;;
5134;плинтус;1.53.109;N;;
5135;плинтус;1.53.101;N;;
5136;плинтус FLEX;1.53.102;Y;;
5137;плинтус FLEX;1.53.103;Y;;
5138;плинтус FLEX;1.53.104;Y;;
5139;плинтус FLEX;1.53.105;Y;;
5140;плинтус FLEX;1.53.106;Y;;
5141;плинтус FLEX;1.53.107;Y;;
5142;плинтус FLEX;1.53.109;Y;;
5143;плинтус FLEX;1.53.101;Y;;
5144;угловой элемент;1.52.326;N;Y;4
5145;угловой элемент;1.52.301;N;;
5146;угловой элемент;1.52.302;N;;
5147;угловой элемент;1.52.290;N;;
5148;угловой элемент;1.52.293;N;;
5149;угловой элемент;1.52.292;N;;
5150;угловой элемент;1.52.288;N;;
5151;угловой элемент;1.52.294;N;;
5152;угловой элемент;1.52.291;N;;
5153;угловой элемент;1.52.295;N;;
5154;угловой элемент;1.52.328;N;Y;6
5155;угловой элемент;1.52.400;N;;
5156;угловой элемент;1.52.289;N;;
5157;угловой элемент;1.52.296;N;;
5158;угловой элемент;1.52.297;N;;
5159;угловой элемент;1.52.298;N;;
5160;угловой элемент;1.52.300;N;Y;0
5161;угловой элемент;1.52.303;N;Y;60
5162;угловой элемент;1.52.308;N;;
5163;угловой элемент;1.52.312;N;;
5164;угловой элемент;1.52.313;N;Y;0
5165;угловой элемент;1.52.314;N;;
5166;угловой элемент;1.52.318;N;Y;31
5167;кронштейн;1.19.001;N;Y;0
5168;кронштейн;1.19.137;N;;
5169;кронштейн;1.19.002;N;;
5170;кронштейн;1.19.005;N;;
5171;кронштейн;1.19.003;N;;
5172;кронштейн;1.19.004;N;;
5173;кронштейн;1.19.006;N;;
5174;розетка;1.56.017;N;Y;0
5175;розетка;1.56.001;N;;
5176;розетка;1.56.002;N;;
5177;розетка;1.56.004;N;;
5178;розетка;1.56.007;N;;
5179;розетка;1.56.013;N;;
5180;розетка;1.56.014;N;;
5181;розетка;1.56.015;N;;
5182;розетка;1.56.016;N;;
5183;розетка;1.56.018;N;;
5184;розетка;1.56.019;N;Y;0
5185;розетка;1.56.020;N;;
5186;розетка;1.56.022;N;;
5187;розетка;1.56.023;N;;
5188;розетка;1.56.024;N;Y;0
5189;розетка;1.56.025;N;;
5190;розетка;1.56.005;N;;
5191;розетка;1.56.010;N;;
5192;розетка;1.56.028;N;Y;4
5193;розетка;1.56.029;N;;
5194;розетка;1.56.030;N;;
5195;розетка;1.56.003;N;;
5196;розетка;1.56.031;N;;
5197;розетка;1.56.021;N;;
5198;розетка;1.56.026;N;;
5199;розетка;1.56.006;N;;
5200;розетка;1.56.009;N;;
5201;розетка;1.56.032;N;;
5202;розетка;1.56.011;N;;
5203;розетка;1.56.037;N;;
5204;розетка;1.56.034;N;;
5205;розетка;1.56.033;N;Y;0
5206;розетка;1.56.038;N;Y;0
5207;розетка;1.56.012;N;Y;0
5208;розетка;1.56.027;N;;
5209;розетка;1.56.039;N;;
5210;розетка;1.56.035;N;;
5211;розетка;1.56.042;N;Y;0
5212;орнамент;1.60.114;N;Y;17
5213;орнамент;1.60.014;N;Y;17
5214;орнамент;1.60.011;N;;
5215;орнамент;1.60.111;N;;
5216;орнамент;1.60.007;N;;
5217;орнамент;1.60.005;N;;
5218;орнамент;1.60.012;N;Y;5
5219;орнамент;1.60.008;N;;
5220;орнамент;1.60.010;N;;
5221;орнамент;1.60.002;N;Y;9
5222;орнамент;1.60.003;N;;
5223;орнамент;1.60.004;N;;
5224;орнамент;1.60.006;N;;
5225;орнамент;1.60.009;N;;
5226;орнамент;1.60.015;N;;
5227;орнамент;1.60.017;N;;
5228;орнамент;1.60.018;N;Y;46
5229;орнамент;1.60.019;N;;
5230;орнамент;1.60.108;N;;
5231;орнамент;1.60.109;N;;
5232;орнамент;1.60.110;N;;
5233;орнамент;1.60.001;N;Y;4
5234;кессон;1.57.002;N;;
5235;кессон;1.57.003;N;;
5236;кессон;1.57.001;N;;
5237;кессон;1.57.004;N;;
5238;купол;1.58.001;N;Y;7
5239;капитель;1.11.001;N;Y;15
5240;капитель;1.11.010;N;;
5241;капитель;1.11.003;N;;
5242;капитель;1.11.002;N;;
5243;капитель;1.11.004;N;;
5244;капитель;1.11.005;N;;
5245;капитель;1.11.006;N;Y;3
5246;капитель;1.11.008;N;;
5247;капитель;1.11.009;N;;
5248;капитель;1.15.002;N;;
5249;капитель;1.15.003;N;;
5250;капитель;1.15.004;N;;
5251;капитель;1.15.005;N;;
5252;капитель;1.15.006;N;Y;3
5253;капитель;1.15.008;N;;
5254;капитель;1.15.001;N;Y;14
5255;капитель;1.15.009;N;;
5256;капитель;1.15.010;N;;
5257;капитель;1.21.003;N;;
5258;капитель;1.21.001;N;;
5259;капитель;1.21.002;N;;
5260;капитель;1.21.004;N;;
5261;капитель;1.21.005;N;;
5262;капитель;1.21.006;N;;
5263;капитель;1.21.007;N;;
5264;ствол;1.12.020;N;;
5265;ствол;1.12.010;N;;
5266;ствол;1.12.030;N;Y;6
5267;ствол;1.12.050;N;;
5268;ствол;1.12.060;N;;
5269;ствол;1.12.061;N;;
5270;ствол;1.12.080;N;;
5271;ствол;1.12.081;N;;
5272;ствол;1.12.070;N;Y;3
5273;ствол;1.12.071;N;Y;7
5274;ствол;1.16.080;N;;
5275;ствол;1.16.081;N;;
5276;ствол;1.16.030;N;Y;0
5277;ствол;1.16.070;N;Y;10
5278;ствол;1.16.050;N;;
5279;ствол;1.16.060;N;;
5280;ствол;1.16.071;N;Y;4
5281;ствол;1.16.010;N;;
5282;ствол;1.16.011;N;;
5283;ствол;1.16.020;N;;
5284;ствол;1.16.061;N;;
5285;ствол;1.22.010;N;;
5286;ствол;1.22.020;N;;
5287;ствол;1.22.030;N;;
5288;ствол;1.22.200;N;;
5289;ствол;1.22.040;N;;
5290;кольцо;1.11.100;N;;
5291;кольцо;1.11.200;N;;
5292;кольцо;1.11.300;N;;
5293;кольцо;1.15.100;N;;
5294;кольцо;1.15.200;N;;
5295;кольцо;1.15.300;N;;
5296;база;1.13.900;N;;
5297;база;1.13.300;N;Y;7
5298;база;1.13.400;N;Y;5
5299;база;1.13.800;N;Y;10
5300;база;1.13.500;N;;
5301;база;1.13.100;N;;
5302;база;1.13.200;N;;
5303;база;1.13.700;N;;
5304;база;1.17.900;N;;
5305;база;1.17.300;N;Y;4
5306;база;1.17.400;N;Y;1
5307;база;1.17.100;N;;
5308;база;1.17.800;N;Y;1
5309;база;1.17.500;N;;
5310;база;1.17.600;N;;
5311;база;1.17.700;N;;
5312;база;1.17.200;N;;
5313;база;1.23.100;N;;
5314;база;1.23.200;N;;
5315;база;1.23.300;N;;
5316;база;1.23.400;N;;
5317;база;1.23.500;N;;
5318;пьедестал;1.14.001;N;;
5319;пьедестал;1.14.002;N;Y;3
5320;пьедестал;1.14.003;N;;
5321;пьедестал;1.18.001;N;;
5322;пьедестал;1.18.002;N;Y;3
5323;пьедестал;1.18.003;N;;
5324;база;1.54.010;N;;
5325;обрамление арок;1.55.003;N;;
5326;обрамление арок;1.55.004;N;;
5327;обрамление арок;1.55.001;N;;
5328;замковый камень;1.55.005;N;;
5329;обрамление арок;1.55.002;N;;
5330;база;1.54.020;N;Y;173
5331;боковой элемент;1.54.009;N;Y;37
5332;боковой элемент;1.54.019;N;Y;34
5333;квадрат;1.54.001;N;;
5334;квадрат;1.54.002;N;;
5335;наличник;1.54.003;N;;
5336;наличник;1.54.004;N;;
5337;элемент;1.54.008;N;Y;4
5338;элемент;1.54.006;N;Y;8
5339;элемент;1.54.005;N;Y;9
5340;элемент;1.54.007;N;Y;23
5341;элемент;1.54.012;N;Y;6
5342;элемент;1.54.011;N;Y;8
5343;ствол;1.12.011;N;;
5344;пилястра;1.20.301;N;;
5345;пилястра;1.20.302;N;;
5346;пилястра;1.20.303;N;;
5347;пилястра;1.20.201;N;;
5348;пилястра;1.20.202;N;;
5349;пилястра;1.20.101;N;;
5350;пилястра;1.20.102;N;;
5351;пилястра;1.20.001;N;;
5352;пилястра;1.20.002;N;;
5353;полуколонна;1.10.301;N;;
5354;полуколонна;1.10.302;N;;
5355;полуколонна;1.10.303;N;;
5356;полуколонна;1.10.304;N;;
5357;полуколонна;1.10.201;N;;
5358;полуколонна;1.10.202;N;;
5359;полуколонна;1.10.203;N;;
5360;полуколонна;1.10.204;N;;
5361;полуколонна;1.10.205;N;;
5362;полуколонна;1.10.206;N;;
5363;полуколонна;1.10.207;N;;
5364;полуколонна;1.10.208;N;;
5365;полуколонна;1.10.209;N;;
5366;полуколонна;1.10.210;N;;
5367;полуколонна;1.10.211;N;;
5368;полуколонна;1.10.212;N;;
5369;полуколонна;1.10.213;N;;
5370;полуколонна;1.10.214;N;;
5371;полуколонна;1.10.101;N;;
5372;полуколонна;1.10.102;N;;
5373;полуколонна;1.10.103;N;;
5374;полуколонна;1.10.104;N;;
5375;полуколонна;1.10.105;N;;
5376;полуколонна;1.10.106;N;;
5377;колонна;1.30.301;N;;
5378;колонна;1.30.302;N;;
5379;колонна;1.30.303;N;;
5380;колонна;1.30.304;N;;
5381;колонна;1.30.201;N;;
5382;колонна;1.30.202;N;;
5383;колонна;1.30.204;N;;
5384;колонна;1.30.205;N;;
5385;колонна;1.30.206;N;;
5386;колонна;1.30.207;N;;
5387;колонна;1.30.208;N;;
5388;колонна;1.30.209;N;;
5389;колонна;1.30.210;N;;
5390;колонна;1.30.211;N;;
5391;колонна;1.30.212;N;;
5392;колонна;1.30.213;N;;
5393;колонна;1.30.214;N;;
5394;колонна;1.30.101;N;;
5395;колонна;1.30.102;N;;
5396;колонна;1.30.104;N;;
5397;колонна;1.30.105;N;;
5398;колонна;1.30.106;N;;
5861;карниз;1.50.205;N;Y;152
5862;карниз FLEX;1.50.196;Y;;
5863;карниз FLEX;1.50.198;Y;;
5864;карниз FLEX;1.50.201;Y;;
5865;карниз FLEX;1.50.205;Y;Y;10
5866;молдинг;1.51.345;N;;
5867;молдинг;1.51.357;N;;
5868;молдинг;1.51.358;N;Y;29
5869;молдинг;1.51.361;N;Y;50
5870;молдинг;1.51.381;N;;
5871;молдинг FLEX;1.51.345;Y;;
5872;молдинг FLEX;1.51.357;Y;;
5873;молдинг FLEX;1.51.358;Y;Y;18
5874;молдинг FLEX;1.51.361;Y;Y;17
5875;молдинг FLEX;1.51.381;Y;;
5876;архитрав;1.26.001;N;Y;62
5877;архитрав;1.26.002;N;Y;13
5878;архитрав;1.26.003;N;Y;31
5879;розетка;1.56.036;N;;
5880;база;1.13.600;N;;
5881;ниша;1.61.101;N;Y;1
5882;ниша;1.61.102;N;Y;0
5883;ниша с полкой;1.61.110;N;Y;0
5884;ниша с полкой;1.61.120;N;Y;0
5885;сандрик;1.63.001;N;;
5886;сандрик;1.63.002;N;;
5887;карниз;4.02.201;N;;
5888;карниз;4.01.201;N;;
5889;карниз;4.01.101;N;;
5890;карниз;4.01.301;N;;
5891;карниз;4.32.202;N;;
5892;карниз;4.01.103;N;;
5893;карниз;4.31.301;N;;
5894;карниз;4.32.201;N;;
5895;карниз;4.81.002;N;;
5896;карниз;4.32.302;N;;
5897;карниз;4.01.202;N;;
5898;карниз;4.01.302;N;;
5899;карниз;4.02.101;N;;
5900;карниз;4.31.101;N;;
5901;карниз;4.31.201;N;;
5902;карниз;4.31.202;N;;
5903;карниз;4.31.302;N;;
5904;карниз;4.32.101;N;;
5905;карниз;4.32.301;N;;
5906;карниз;4.81.001;N;;
5907;карниз;4.02.301;N;;
5908;фриз;4.03.101;N;;
5909;фриз;4.03.102;N;;
5910;фриз;4.03.201;N;;
5911;фриз;4.03.202;N;;
5912;фриз;4.03.301;N;;
5913;фриз;4.33.301;N;;
5914;фриз;4.03.302;N;;
5915;фриз;4.33.101;N;;
5916;фриз;4.33.102;N;;
5917;фриз;4.33.201;N;;
5918;фриз;4.33.202;N;;
5919;архитрав;4.04.201;N;;
5920;архитрав;4.34.201;N;;
5921;архитрав;4.34.202;N;;
5922;архитрав;4.04.101;N;;
5923;архитрав;4.04.102;N;;
5924;архитрав;4.04.202;N;;
5925;архитрав;4.04.301;N;;
5926;архитрав;4.04.302;N;;
5927;архитрав;4.34.101;N;;
5928;архитрав;4.34.102;N;;
5929;архитрав;4.34.301;N;;
5930;архитрав;4.34.302;N;;
5931;балясина;4.71.101;N;;
5932;балясина;4.71.201;N;;
5933;столб;4.75.101;N;;
5934;столб;4.75.201;N;;
5935;крышка (пирамида);4.76.101;N;;
5936;крышка (пирамида);4.76.201;N;;
5937;крышка столба (плоская);4.73.101;N;;
5938;крышка столба (плоская);4.73.201;N;;
5939;крышка (шар);4.77.101;N;;
5940;крышка (шар);4.77.201;N;;
5941;основание;4.74.101;N;;
5942;основание;4.74.201;N;;
5943;поручень;4.72.101;N;;
5944;поручень;4.72.201;N;;
