IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4819;карниз;2000;1.50.147;127;173;;;;;;;;;;;;ВР000001182;;5;82,8;;Интерьерный декор;карнизы;;1426.00
4820;карниз;2000;1.50.148;120;116;;;;;;;;;;;;ВР000006025;;4;72,5;;Интерьерный декор;карнизы;;1213.00
4821;карниз;2000;1.50.149;188;185;;;;;;;;;;;;ВР001021963;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4822;карниз;2000;1.50.150;40;41;;;;;;;;;;;;ВР000001054;;4;72,5;;Интерьерный декор;карнизы;;467.00
4823;карниз;2000;1.50.151;172;144;;;;;;;;;;;;ВР001021964;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4824;карниз;2000;1.50.152;172;155;;;;;;;;;;;;ВР001021965;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4825;карниз;2000;1.50.153;170;160;;;;;;;;;;;;ВР001021966;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4826;карниз;2000;1.50.154;23;23;;;;;;;;;;;;ВР001022849;;4;72,5;;Интерьерный декор;карнизы;;426.00
4827;карниз;2000;1.50.155;17;26;;;;;;;;;;;;ВР001022850;;4;72,5;;Интерьерный декор;карнизы;;422.00
4828;карниз;2000;1.50.156;31;31;;;;;;;;;;;;ВР001022851;;4;72,5;;Интерьерный декор;карнизы;;469.00
4829;карниз;2000;1.50.157;31;33;;;;;;;;;;;;ВР001022852;;4;72,5;;Интерьерный декор;карнизы;;436.00
4830;карниз;2000;1.50.158;33;33;;;;;;;;;;;;ВР001022853;;4;72,5;;Интерьерный декор;карнизы;;440.00
4831;карниз;2000;1.50.159;22;45;;;;;;;;;;;;ВР001022854;;4;72,5;;Интерьерный декор;карнизы;;453.00
4832;карниз;2000;1.50.160;70;51;;;;;;;;;;;;ВР000001055;;4;72,5;;Интерьерный декор;карнизы;;600.00
4833;карниз;2000;1.50.162;61;84;;;;;;;;;;;;ВР000002855;;4;72,5;;Интерьерный декор;карнизы;;624.00
4834;карниз;2000;1.50.163;68;149;;;;;;;;;;;;ВР000002934;;4;72,5;;Интерьерный декор;карнизы;;1197.00
4835;карниз;2000;1.50.164;126;126;;;;;;;;;;;;ВР000002936;;4;72,5;;Интерьерный декор;карнизы;;1316.00
4836;карниз;2000;1.50.165;81;82;;;;;;;;;;;;ВР000001056;;4;72,5;;Интерьерный декор;карнизы;;626.00
4837;карниз;2000;1.50.166;87;142;;;;;;;;;;;;ВР000004078;;4;72,5;;Интерьерный декор;карнизы;;1269.00
4838;карниз;2000;1.50.167;120;119;;;;;;;;;;;;ВР000004319;;4;72,5;;Интерьерный декор;карнизы;;1287.00
