IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP158;IP_PROP159;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP446;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP580;IP_PROP596;IP_PROP612;IP_PROP616;IP_PROP617;IP_PROP619;IP_PROP620;IP_PROP659;IP_PROP660;IP_PROP661;IP_PROP662;IP_PROP670;IP_PROP705;IP_PROP732;IP_PROP733;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP749;IP_PROP408;IP_PROP618;IP_PROP149;IP_PROP180;IP_PROP183;IP_PROP181;IP_PROP182;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;IP_PROP565;IP_PROP600;IP_PROP706;IP_PROP707
4788;карниз;;;;2000;;;;1.50.106;90;71;;;;;N;N;;ВР000005174;КАРНИЗ 1.50.106;;2,96;63,75;N;;;N;Y;N;N;N;N;;Y;Y;N;N;;;;;;;;500;Y;;ВР099022317;1426;;;;;;;;N;Y;;;;;;;;;62,19;7867;548;395;9300;19,98;19,98;67,2;248161;457;13,2
4789;карниз;;;;2000;;;;1.50.107;107;148;;;;;N;N;;ВР000005326;КАРНИЗ 1.50.107;;6,4;78,75;N;;;Y;N;N;N;Y;N;;N;N;Y;N;;;;;;;;900;Y;;ВР099022403;2811;;;;;Y;;71;N;N;;;;;;;;;122,77;15542;1081;781;18400;41,13;41,13;132,6;489455;564;28,4
4790;карниз;;;;2000;;;;1.50.109;190;78;;;;;N;N;;ВР000002930;КАРНИЗ 1.50.109;;9,45;69,75;N;;;Y;N;N;N;N;Y;;Y;N;N;N;;;;;;;;1000;Y;;ВР099022404;3051;;;;;Y;;107;N;N;;;;;;;;;133,26;16866;1172;847;20000;44,6;44,6;144;531143;500;42
4791;карниз;;;;2000;;;;1.50.110;189;169;;;;;N;N;;ВР000002931;КАРНИЗ 1.50.110;;10,57;78,75;N;N;;Y;N;N;N;N;N;;Y;N;N;N;;;;;;;;1200;Y;;ВР099022405;3452;;;;;;;;N;N;;;;;;;;;150,86;19092;1327;958;22500;50,65;50,65;163;601275;564;47
4792;карниз;;;;2000;;;;1.50.111;118;112;;;;;N;N;;ВР000001285;КАРНИЗ 1.50.111;;6,78;78,75;N;N;;Y;N;N;N;N;Y;N;Y;N;N;N;;;;;;;;900;Y;;ВР099022359;2828;;;;;;;;N;N;;;N;N;N;;;;123,48;15638;1087;785;18400;41,13;41,13;133,4;491908;564;30,1
4793;карниз;;;;2000;;;;1.50.112;39;74;;;;;N;N;;ВР000001043;КАРНИЗ 1.50.112;;3,47;63,75;N;;;Y;N;Y;N;Y;N;;N;N;N;N;;;;;;;;500;Y;;ВР099022360;1403;;;;;;;;N;Y;;;;;;;;;61,25;7771;538;390;9200;20,78;20,78;66,2;244237;457;15,4
4794;карниз;;;;2000;;;;1.50.113;80;83;;;;;N;N;;ВР000001044;КАРНИЗ 1.50.113;;3,05;69,75;N;N;;N;Y;N;N;Y;N;;Y;N;N;N;;;;;;;;500;Y;;ВР099022319;1488;;;;;;;;N;N;;;N;N;N;;;;65,01;7407;572;414;9600;20,81;20,81;70,2;232957;500;13,6
4795;карниз;;;;2000;;;;1.50.123;30;30;;;;;N;N;;ВР000001718;КАРНИЗ 1.50.123;;0,78;60;N;;;N;Y;N;N;Y;N;;N;N;Y;N;;;;;;;;350;Y;;ВР099022409;1000;;;;;;;;N;N;;;;;;;;;43,7;5526;384;278;6500;14,71;14,71;47,2;174105;429;3,5
4796;карниз;;;;2000;;;;1.50.124;55;115;;;;;N;N;;ВР000001972;КАРНИЗ 1.50.124;;4,36;69,75;N;;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;900;Y;;ВР099022363;2547;;;;;;;;N;Y;;;;;;;;;111,25;13796;981;707;16700;37,22;37,22;120,3;434526;500;19,4
4797;карниз;;;;2000;;;;1.50.125;85;90;;;;;N;N;;ВР000002129;КАРНИЗ 1.50.125;;2,86;69,75;N;;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;700;Y;;ВР099022410;2095;;;;;;;;N;Y;;;;;;;;;91,49;11590;806;582;13600;30,73;30,73;98,9;364395;500;12,7
