IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;Нет;ВР000001360;Интерьерный декор;карнизы;;614.00
4775;карниз;1.50.115;Нет;ВР000001045;Интерьерный декор;карнизы;;495.00
4776;карниз;1.50.116;Нет;ВР000001487;Интерьерный декор;карнизы;;1251.00
4777;карниз;1.50.117;Нет;ВР000001046;Интерьерный декор;карнизы;;1316.00
4778;карниз;1.50.118;Нет;ВР000001868;Интерьерный декор;карнизы;;1389.00
4779;карниз;1.50.119;Нет;ВР000001858;Интерьерный декор;карнизы;;682.00
4780;карниз;1.50.120;Нет;ВР000001867;Интерьерный декор;карнизы;;1426.00
4781;карниз;1.50.121;Нет;ВР000001047;Интерьерный декор;карнизы;;669.00
4782;карниз;1.50.122;Нет;ВР000001048;Интерьерный декор;карнизы;;438.00
4783;карниз;1.50.100;Нет;ВР000001042;Интерьерный декор;карнизы;;615.00
4784;карниз;1.50.102;Нет;ВР000005632;Интерьерный декор;карнизы;;488.00
4785;карниз;1.50.103;Нет;ВР000005166;Интерьерный декор;карнизы;;491.00
4786;карниз;1.50.104;Нет;ВР000001293;Интерьерный декор;карнизы;;1217.00
4787;карниз;1.50.105;Нет;ВР000005167;Интерьерный декор;карнизы;;600.00
4788;карниз;1.50.106;Нет;ВР000005174;Интерьерный декор;карнизы;;647.00
4789;карниз;1.50.107;Нет;ВР000005326;Интерьерный декор;карнизы;;1280.00
4790;карниз;1.50.109;Нет;ВР000002930;Интерьерный декор;карнизы;;1389.00
4791;карниз;1.50.110;Нет;ВР000002931;Интерьерный декор;карнизы;;1572.00
4792;карниз;1.50.111;Нет;ВР000001285;Интерьерный декор;карнизы;;1287.00
4793;карниз;1.50.112;Нет;ВР000001043;Интерьерный декор;карнизы;;637.00
4794;карниз;1.50.113;Нет;ВР000001044;Интерьерный декор;карнизы;;676.00
4795;карниз;1.50.123;Нет;ВР000001718;Интерьерный декор;карнизы;;454.00
4796;карниз;1.50.124;Нет;ВР000001972;Интерьерный декор;карнизы;;1161.00
4797;карниз;1.50.125;Нет;ВР000002129;Интерьерный декор;карнизы;;953.00
4798;карниз;1.50.126;Нет;ВР001003726;Интерьерный декор;карнизы;;668.00
4799;карниз;1.50.127;Нет;ВР000002929;Интерьерный декор;карнизы;;647.00
4800;карниз;1.50.128;Нет;ВР000002329;Интерьерный декор;карнизы;;1133.00
4801;карниз;1.50.129;Нет;ВР000005168;Интерьерный декор;карнизы;;653.00
