IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;CV_PRICE_1
4918;карниз FLEX;1.50.109;Да;3056.00
4919;карниз FLEX;1.50.110;Да;3459.00
4920;карниз FLEX;1.50.111;Да;2830.00
4921;карниз FLEX;1.50.112;Да;1402.00
4922;карниз FLEX;1.50.113;Да;1485.00
4923;карниз FLEX;1.50.123;Да;997.00
4924;карниз FLEX;1.50.124;Да;2554.00
4925;карниз FLEX;1.50.125;Да;2096.00
4926;карниз FLEX;1.50.126;Да;1469.00
4927;карниз FLEX;1.50.127;Да;1422.00
4928;карниз FLEX;1.50.128;Да;2493.00
4929;карниз FLEX;1.50.129;Да;1436.00
4930;карниз FLEX;1.50.130;Да;1007.00
4931;карниз FLEX;1.50.131;Да;2452.00
4932;карниз FLEX;1.50.132;Да;3659.00
4933;карниз FLEX;1.50.133;Да;2493.00
4934;карниз FLEX;1.50.134;Да;3539.00
4935;карниз FLEX;1.50.135;Да;2576.00
4936;карниз FLEX;1.50.136;Да;2856.00
4937;карниз FLEX;1.50.137;Да;3739.00
4938;карниз FLEX;1.50.138;Да;3138.00
4939;карниз FLEX;1.50.139;Да;2427.00
4940;карниз FLEX;1.50.140;Да;1397.00
4941;карниз FLEX;1.50.141;Да;1397.00
4942;карниз FLEX;1.50.142;Да;3138.00
4943;карниз FLEX;1.50.143;Да;1372.00
4944;карниз FLEX;1.50.144;Да;1500.00
4945;карниз FLEX;1.50.145;Да;3980.00
4946;карниз FLEX;1.50.146;Да;2535.00
4947;карниз FLEX;1.50.147;Да;3138.00
4948;карниз FLEX;1.50.148;Да;2667.00
4949;карниз FLEX;1.50.149;Да;4042.00
4950;карниз FLEX;1.50.150;Да;1026.00
4951;карниз FLEX;1.50.151;Да;4042.00
4952;карниз FLEX;1.50.152;Да;4042.00
4953;карниз FLEX;1.50.153;Да;4042.00
4954;карниз FLEX;1.50.154;Да;937.00
4955;карниз FLEX;1.50.155;Да;928.00
4956;карниз FLEX;1.50.156;Да;1032.00
4957;карниз FLEX;1.50.157;Да;960.00
4958;карниз FLEX;1.50.158;Да;967.00
4959;карниз FLEX;1.50.159;Да;995.00
4960;карниз FLEX;1.50.160;Да;1318.00
4961;карниз FLEX;1.50.162;Да;1372.00
4962;карниз FLEX;1.50.163;Да;2634.00
4963;карниз FLEX;1.50.164;Да;2896.00
4964;карниз FLEX;1.50.165;Да;1378.00
4965;карниз FLEX;1.50.166;Да;2792.00
4966;карниз FLEX;1.50.168;Да;2830.00
4967;карниз FLEX;1.50.169;Да;2667.00
4968;карниз FLEX;1.50.170;Да;1515.00
4969;карниз FLEX;1.50.171;Да;989.00
4970;карниз FLEX;1.50.172;Да;1023.00
4971;карниз FLEX;1.50.173;Да;1032.00
4972;карниз FLEX;1.50.174;Да;1052.00
4973;карниз FLEX;1.50.175;Да;2815.00
4974;карниз FLEX;1.50.176;Да;2576.00
4975;карниз FLEX;1.50.177;Да;1534.00
4976;карниз FLEX;1.50.180;Да;2613.00
4977;карниз FLEX;1.50.181;Да;1471.00
4978;карниз FLEX;1.50.182;Да;1445.00
4979;карниз FLEX;1.50.183;Да;1571.00
4980;карниз FLEX;1.50.184;Да;1571.00
4981;карниз FLEX;1.50.185;Да;2752.00
4982;карниз FLEX;1.50.186;Да;1571.00
4983;карниз FLEX;1.50.187;Да;1394.00
4984;карниз FLEX;1.50.188;Да;1394.00
4985;карниз FLEX;1.50.190;Да;1043.00
4986;карниз FLEX;1.50.191;Да;1021.00
4987;карниз FLEX;1.50.192;Да;1421.00
4988;карниз FLEX;1.50.193;Да;2510.00
4989;карниз FLEX;1.50.194;Да;1353.00
4990;карниз FLEX;1.50.195;Да;1471.00
4991;карниз FLEX;1.50.197;Да;1571.00
4992;карниз FLEX;1.50.200;Да;1394.00
4993;карниз FLEX;1.50.202;Да;2510.00
4994;карниз FLEX;1.50.203;Да;2831.00
4995;карниз FLEX;1.50.209;Да;3258.00
4996;карниз FLEX;1.50.210;Да;3404.00
4997;карниз FLEX;1.50.220;Да;3018.00
4998;карниз FLEX;1.50.221;Да;3536.00
4999;карниз FLEX;1.50.222;Да;3899.00
5000;карниз FLEX;1.50.250;Да;2588.00
5001;карниз FLEX;1.50.251;Да;985.00
5002;карниз FLEX;1.50.252;Да;2976.00
5003;карниз FLEX;1.50.253;Да;1471.00
5004;карниз FLEX;1.50.254;Да;2221.00
5005;карниз FLEX;1.50.255;Да;2500.00
5006;карниз FLEX;1.50.256;Да;2871.00
5007;карниз FLEX;1.50.257;Да;1017.00
5008;карниз FLEX;1.50.258;Да;941.00
5009;карниз FLEX;1.50.259;Да;1349.00
5010;карниз FLEX;1.50.260;Да;3485.00
5011;карниз FLEX;1.50.261;Да;2583.00
5012;карниз FLEX;1.50.262;Да;2900.00
5013;карниз FLEX;1.50.264;Да;3557.00
5014;карниз FLEX;1.50.265;Да;1522.00
5015;карниз FLEX;1.50.266;Да;1368.00
5016;карниз FLEX;1.50.267;Да;2910.00
5017;карниз FLEX;1.50.268;Да;2994.00
5018;карниз FLEX;1.50.269;Да;3154.00
5019;карниз FLEX;1.50.270;Да;3395.00
5020;молдинг;1.51.311;Нет;977.00
5021;молдинг;1.51.314;Нет;591.00
5022;молдинг;1.51.327;Нет;807.00
5023;молдинг;1.51.301;Нет;559.00
5024;молдинг;1.51.305;Нет;487.00
5025;молдинг;1.51.321;Нет;458.00
5026;молдинг;1.51.400;Нет;489.00
5027;молдинг;1.51.302;Нет;625.00
5028;молдинг;1.51.303;Нет;634.00
5029;молдинг;1.51.304;Нет;603.00
5030;молдинг;1.51.306;Нет;500.00
5031;молдинг;1.51.307;Нет;946.00
5032;молдинг;1.51.324;Нет;458.00
5033;молдинг;1.51.352;Нет;566.00
5034;молдинг;1.51.325;Нет;1009.00
5035;молдинг;1.51.312;Нет;557.00
5036;молдинг;1.51.332;Нет;748.00
5037;молдинг;1.51.350;Нет;1016.00
5038;молдинг;1.51.326;Нет;583.00
5039;молдинг;1.51.308;Нет;557.00
5040;молдинг;1.51.309;Нет;796.00
5041;молдинг;1.51.310;Нет;946.00
5042;молдинг;1.51.313;Нет;591.00
5043;молдинг;1.51.315;Нет;612.00
5044;молдинг;1.51.316;Нет;566.00
5045;молдинг;1.51.317;Нет;896.00
5046;молдинг;1.51.318;Нет;634.00
5047;молдинг;1.51.319;Нет;1025.00
5048;молдинг;1.51.320;Нет;977.00
5049;молдинг;1.51.322;Нет;467.00
5050;молдинг;1.51.328;Нет;583.00
5051;молдинг;1.51.330;Нет;615.00
5052;молдинг;1.51.333;Нет;603.00
5053;молдинг;1.51.340;Нет;577.00
5054;молдинг;1.51.341;Нет;808.00
5055;молдинг;1.51.342;Нет;808.00
5056;молдинг;1.51.343;Нет;748.00
5057;молдинг;1.51.344;Нет;808.00
5058;молдинг;1.51.351;Нет;600.00
5059;молдинг;1.51.380;Нет;1346.00
5060;молдинг;1.51.401;Нет;460.00
5061;молдинг;1.51.323;Нет;475.00
5062;молдинг;1.51.339;Нет;765.00
5063;молдинг;1.51.331;Нет;722.00
5064;молдинг;1.51.336;Нет;748.00
5065;молдинг;1.51.334;Нет;567.00
5066;молдинг;1.51.335;Нет;625.00
5067;молдинг;1.51.337;Нет;882.00
5068;молдинг;1.51.348;Нет;591.00
5069;молдинг;1.51.349;Нет;993.00
5070;молдинг;1.51.329;Нет;484.00
5071;молдинг;1.51.347;Нет;930.00
5072;молдинг;1.51.355;Нет;962.00
5073;молдинг;1.51.354;Нет;613.00
5074;молдинг FLEX;1.51.311;Да;1952.00
5075;молдинг FLEX;1.51.314;Да;1182.00
5076;молдинг FLEX;1.51.327;Да;1612.00
5077;молдинг FLEX;1.51.301;Да;1117.00
5078;молдинг FLEX;1.51.305;Да;971.00
5079;молдинг FLEX;1.51.321;Да;915.00
5080;молдинг FLEX;1.51.400;Да;977.00
5081;молдинг FLEX;1.51.302;Да;1249.00
5082;молдинг FLEX;1.51.303;Да;1265.00
5083;молдинг FLEX;1.51.304;Да;1205.00
5084;молдинг FLEX;1.51.306;Да;997.00
5085;молдинг FLEX;1.51.307;Да;1890.00
5086;молдинг FLEX;1.51.324;Да;915.00
5087;молдинг FLEX;1.51.352;Да;1129.00
