IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4816;карниз;2000;;;;1.50.144;82;80;;;;;;;;Нет;;ВР000005173;;4;72,5;;;Интерьерный декор;карнизы;;751.00
4817;карниз;2000;;;;1.50.145;263;91;;;;;;;;Нет;;ВР000001586;;5;82,8;;;Интерьерный декор;карнизы;;1991.00
4818;карниз;2000;;;;1.50.146;74;148;;;;;;;;Нет;;ВР000005175;;4;72,5;;;Интерьерный декор;карнизы;;1269.00
4819;карниз;2000;;;;1.50.147;127;173;;;;;;;;Нет;;ВР000001182;;5;82,8;;;Интерьерный декор;карнизы;;1569.00
4820;карниз;2000;;;;1.50.148;120;116;;;;;;;;Нет;;ВР000006025;;4;72,5;;;Интерьерный декор;карнизы;;1335.00
4821;карниз;2000;;;;1.50.149;188;185;;;;;;;;Нет;;ВР001021963;;5;82,8;;;Интерьерный декор;карнизы;;2021.00
4822;карниз;2000;;;;1.50.150;40;41;;;;;;;;Нет;;ВР000001054;;4;72,5;;;Интерьерный декор;карнизы;;514.00
4823;карниз;2000;;;;1.50.151;172;144;;;;;;;;Нет;;ВР001021964;;5;82,8;;;Интерьерный декор;карнизы;;2021.00
4824;карниз;2000;;;;1.50.152;172;155;;;;;;;;Нет;;ВР001021965;;5;82,8;;;Интерьерный декор;карнизы;;2021.00
4825;карниз;2000;;;;1.50.153;170;160;;;;;;;;Нет;;ВР001021966;;5;82,8;;;Интерьерный декор;карнизы;;2021.00
4826;карниз;2000;;;;1.50.154;23;23;;;;;;;;Нет;;ВР001022849;;4;72,5;;;Интерьерный декор;карнизы;;469.00
