IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
4915;;2000;;;;1.50.105;63;60;;
4916;;2000;;;;1.50.106;90;71;;
4917;;2000;;;;1.50.107;107;148;;
4918;;2000;;;;1.50.109;190;78;;
4919;;2000;;;;1.50.110;189;169;;
4920;;2000;;;;1.50.111;118;112;;
4921;;2000;;;;1.50.112;39;74;;
4922;;2000;;;;1.50.113;80;83;;
4923;;2000;;;;1.50.123;30;30;;
4924;;2000;;;;1.50.124;55;115;;
4925;;2000;;;;1.50.125;85;90;;
4926;;2000;;;;1.50.126;90;93;;
4927;;2000;;;;1.50.127;46;89;;
4928;;2000;;;;1.50.128;66;144;;
4929;;2000;;;;1.50.129;74;85;;
4930;;2000;;;;1.50.130;30;32;;
4931;;2000;;;;1.50.131;136;63;;
4932;;2000;;;;1.50.132;117;218;;
4933;;2000;;;;1.50.133;115;120;;
4934;;2000;;;;1.50.134;193;150;;
4935;;2000;;;;1.50.135;159;40;;
4936;;2000;;;;1.50.136;61;165;;
4937;;2000;;;;1.50.137;185;190;;
4938;;2000;;;;1.50.138;151;165;;
4939;;2000;;;;1.50.139;99;100;;
4940;;2000;;;;1.50.140;56;56;;
4941;;2000;;;;1.50.141;68;72;;
4942;;2000;;;;1.50.142;195;45;;
4943;;2000;;;;1.50.143;69;73;;
4944;;2000;;;;1.50.144;82;81;;
4945;;2000;;;;1.50.145;262;92;;
4946;;2000;;;;1.50.146;76;149;;
4947;;2000;;;;1.50.147;125;173;;
4948;;2000;;;;1.50.148;120;117;;
4949;;2000;;;;1.50.149;188;185;;
4950;;2000;;;;1.50.150;40;41;;
4951;;2000;;;;1.50.151;144;171;;
4952;;2000;;;;1.50.152;155;172;;
4953;;2000;;;;1.50.153;159;170;;
4954;;2000;;;;1.50.154;23;23;;
4955;;2000;;;;1.50.155;16;25;;
4956;;2000;;;;1.50.156;30;30;;
4957;;2000;;;;1.50.157;31;33;;
4958;;2000;;;;1.50.158;34;33;;
4959;;2000;;;;1.50.159;28;44;;
4960;;2000;;;;1.50.160;70;50;;
4961;;2000;;;;1.50.162;60;85;;
4962;;2000;;;;1.50.163;65;151;;
4963;;2000;;;;1.50.164;126;126;;
4964;;2000;;;;1.50.165;80;82;;
4965;;2000;;;;1.50.166;87;142;;
4966;;2000;;;;1.50.168;120;119;;
4967;;2000;;;;1.50.169;96;99;;
4968;;2000;;;;1.50.170;113;79;;
4969;;2000;;;;1.50.171;30;45;;
4970;;2000;;;;1.50.172;48;47;;
4971;;2000;;;;1.50.173;40;55;;
4972;;2000;;;;1.50.174;36;62;;
4973;;2000;;;;1.50.175;117;135;;
4974;;2000;;;;1.50.176;68;131;;
4975;;2000;;;;1.50.177;56;119;;
4976;;2000;;;;1.50.180;91;121;;
4977;;2000;;;;1.50.181;39;75;;
4978;;2000;;;;1.50.182;41;69;;
4979;;2000;;;;1.50.183;84;96;;
4980;;2000;;;;1.50.184;73;73;;
4981;;2000;;;;1.50.185;98;115;;
4982;;2000;;;;1.50.186;55;82;;
4983;;2000;;;;1.50.187;50;52;;
4984;;2000;;;;1.50.188;50;53;;
4985;;2000;;;;1.50.190;25;40;;
4986;;2000;;;;1.50.191;25;40;;
4987;;2000;;;;1.50.192;40;70;;
