IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP149;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;2000;30;67;;;;;;;;;;;;Нет;;ВР000001360;;4;72,5;;Интерьерный декор;карнизы;;558.00
4775;карниз;1.50.115;2000;47;49;;;;;;;;;;;;Нет;;ВР000001045;;4;72,5;;Интерьерный декор;карнизы;;450.00
4776;карниз;1.50.116;2000;100;100;;;;;;;;;;;;Нет;;ВР000001487;;4;72,5;;Интерьерный декор;карнизы;;1137.00
4777;карниз;1.50.117;2000;105;155;;;;;;;;;;;;Нет;;ВР000001046;;5;82,8;;Интерьерный декор;карнизы;;1196.00
4778;карниз;1.50.118;2000;132;131;;;;;;;;;;;;Нет;;ВР000001868;;4;72,5;;Интерьерный декор;карнизы;;1262.00
4779;карниз;1.50.119;2000;50;118;;;;;;;;;;;;Нет;;ВР000001858;;4;72,5;;Интерьерный декор;карнизы;;620.00
4780;карниз;1.50.120;2000;122;143;;;;;;;;;;;;Нет;;ВР000001867;;4;72,5;;Интерьерный декор;карнизы;;1296.00
4781;карниз;1.50.121;2000;51;101;;;;;;;;;;;;Нет;;ВР000001047;;4;72,5;;Интерьерный декор;карнизы;;608.00
4782;карниз;1.50.122;2000;40;50;;;;;;;;;;;;Нет;;ВР000001048;;4;72,5;;Интерьерный декор;карнизы;;398.00
4783;карниз;1.50.100;2000;55;64;;;;;;;;;;;;Нет;;ВР000001042;;4;72,5;;Интерьерный декор;карнизы;;559.00
4784;карниз;1.50.102;2000;74;72;;;;;;;;;;;;Нет;;ВР000005632;;4;72,5;;Интерьерный декор;карнизы;;443.00
4785;карниз;1.50.103;2000;50;50;;;;;;;;;;;;Нет;;ВР000005166;;4;93;;Интерьерный декор;карнизы;;446.00
4786;карниз;1.50.104;2000;76;114;;;;;;;;;;;;Нет;;ВР000001293;;4;72,5;;Интерьерный декор;карнизы;;1106.00
4787;карниз;1.50.105;2000;63;60;;;;;;;;;;;;Нет;;ВР000005167;;4;72,5;;Интерьерный декор;карнизы;;545.00
4788;карниз;1.50.106;2000;90;72;;;;;;;;;;;;Нет;;ВР000005174;;4;72,5;;Интерьерный декор;карнизы;;588.00
4789;карниз;1.50.107;2000;108;148;;;;;;;;;;;;Нет;;ВР000005326;;4;72,5;;Интерьерный декор;карнизы;;1163.00
4790;карниз;1.50.109;2000;188;84;;;;;;;;;;;;Нет;;ВР000002930;;4;72,5;;Интерьерный декор;карнизы;;1262.00
4791;карниз;1.50.110;2000;192;162;;;;;;;;;;;;Нет;;ВР000002931;;5;82,8;;Интерьерный декор;карнизы;;1429.00
4792;карниз;1.50.111;2000;113;116;;;;;;;;;;;;Нет;;ВР000001285;;5;82,8;;Интерьерный декор;карнизы;;1170.00
4793;карниз;1.50.112;2000;39;75;;;;;;;;;;;;Нет;;ВР000001043;;4;72,5;;Интерьерный декор;карнизы;;579.00
4794;карниз;1.50.113;2000;81;84;;;;;;;;;;;;Нет;;ВР000001044;;4;72,5;;Интерьерный декор;карнизы;;614.00
4795;карниз;1.50.123;2000;30;30;;;;;;;;;;;;Нет;;ВР000001718;;4;72,5;;Интерьерный декор;карнизы;;412.00
4796;карниз;1.50.124;2000;57;115;;;;;;;;;;;;Нет;;ВР000001972;;4;72,5;;Интерьерный декор;карнизы;;1055.00
4797;карниз;1.50.125;2000;87;90;;;;;;;;;;;;Нет;;ВР000002129;;4;72,5;;Интерьерный декор;карнизы;;866.00
4798;карниз;1.50.126;2000;95;91;;;;;;;;;;;;Нет;;ВР001003726;;4;72,5;;Интерьерный декор;карнизы;;607.00
4799;карниз;1.50.127;2000;48;90;;;;;;;;;;;;Нет;;ВР000002929;;4;72,5;;Интерьерный декор;карнизы;;588.00
4800;карниз;1.50.128;1970;67;146;;;;;;;;;;;;Нет;;ВР000002329;;4;72,5;;Интерьерный декор;карнизы;;1030.00
4801;карниз;1.50.129;2000;75;86;;;;;;;;;;;;Нет;;ВР000005168;;4;72,5;;Интерьерный декор;карнизы;;593.00
4802;карниз;1.50.130;2000;30;32;;;;;;;;;;;;Нет;;ВР000001049;;4;72,5;;Интерьерный декор;карнизы;;415.00
4803;карниз;1.50.131;2000;135;60;;;;;;;;;;;;Нет;;ВР000001081;;4;72,5;;Интерьерный декор;карнизы;;1014.00
