IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4884;2000;;;;1.50.254;93;130;;;;;;;;;
4885;2000;;;;1.50.255;82;127;;;;;;;;;
4886;2000;;;;1.50.256;132;175;;;;;;;;;
4887;2000;;;;1.50.257;38;38;;;;;;;;;
4888;2000;;;;1.50.258;25;27;;;;;;;;;
4889;2000;;;;1.50.259;36;81;;;;;;;;;
4890;2000;;;;1.50.260;133;166;;;;;;;;;
4891;2000;;;;1.50.261;102;101;;;;;;;;;
4892;2000;;;;1.50.262;50;120;;;;;;;;;
4893;2000;;;;1.50.264;170;170;;;;;;;;;
4894;2000;;;;1.50.265;115;21;;;;;;;;;
4895;2000;;;;1.50.266;76;21;;;;;;;;;
4896;2000;;;;1.50.267;171;33;;;;;;;;;
4897;2000;;;;1.50.268;170;33;;;;;;;;;
4898;2000;;;;1.50.269;220;47;;;;;;;;;
4899;2000;;;;1.50.270;220;47;;;;;;;;;
4900;2000;;;;1.50.271;165;226;;;;;;;;;
4901;2000;;;;1.50.273;130;198;;;;;;;;;
4902;2000;;;;1.50.114;30;66;;;;;;;1500;1000;
4903;2000;;;;1.50.115;46;49;;;;;;;2500;2000;
4904;2000;;;;1.50.116;100;99;;;;;;;4000;3000;
4905;2000;;;;1.50.117;105;156;;;;;;;3000;2500;
4906;2000;;;;1.50.118;132;130;;;;;;;3500;2500;
4907;2000;;;;1.50.119;56;117;;;;;;;2500;2000;
4908;2000;;;;1.50.120;122;143;;;;;;;4500;4000;
4909;2000;;;;1.50.121;50;100;;;;;;;1000;1000;
4910;2000;;;;1.50.122;40;50;;;;;;;1500;1000;
4911;2000;;;;1.50.100;55;64;;;;;;;3000;2500;
4912;2000;;;;1.50.102;75;72;;;;;;;3500;3500;
4913;2000;;;;1.50.103;50;50;;;;;;;1500;1000;
4914;2000;;;;1.50.104;77;114;;;;;;;2500;1500;
4915;2000;;;;1.50.105;63;60;;;;;;;2000;1500;
4916;2000;;;;1.50.106;90;72;;;;;;;3000;2500;
4917;2000;;;;1.50.107;108;148;;;;;;;4500;4000;
4918;2000;;;;1.50.109;188;84;;;;;;;5000;4500;
4919;2000;;;;1.50.110;192;162;;;;;;;4500;4000;
4920;2000;;;;1.50.111;113;116;;;;;;;3500;2500;
4921;2000;;;;1.50.112;38;76;;;;;;;1500;1000;
4922;2000;;;;1.50.113;80;84;;;;;;;4000;3000;
4923;2000;;;;1.50.123;30;30;;;;;;;1000;550;
4924;2000;;;;1.50.124;57;115;;;;;;;1500;1500;
4925;2000;;;;1.50.125;87;91;;;;;;;2500;2000;
4926;2000;;;;1.50.126;95;91;;;;;;;2000;1500;
4927;2000;;;;1.50.127;47;90;;;;;;;2000;1500;
4928;1970;;;;1.50.128;66;145;;;;;;;1500;2000;
4929;2000;;;;1.50.129;75;86;;;;;;;2500;1500;
4930;2000;;;;1.50.130;30;32;;;;;;;1000;550;
4931;2000;;;;1.50.131;135;60;;;;;;;3000;2500;
4932;2000;;;;1.50.132;117;216;;;;;;;2500;3000;
4933;2000;;;;1.50.133;115;120;;;;;;;3500;2500;
4934;2000;;;;1.50.134;194;150;;;;;;;4500;4000;
4935;2000;;;;1.50.135;161;41;;;;;;;3500;3500;
4936;2000;;;;1.50.136;62;166;;;;;;;3500;2500;
4937;2000;;;;1.50.137;183;190;;;;;;;4500;4000;
4938;2000;;;;1.50.138;156;161;;;;;;;4000;3500;
4939;2000;;;;1.50.139;98;98;;;;;;;2500;2000;
4940;2000;;;;1.50.140;57;58;;;;;;;2000;1500;
4941;2000;;;;1.50.141;70;70;;;;;;;2000;1500;
4942;2000;;;;1.50.142;196;45;;;;;;;550;550;2500
