IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
4920;карниз FLEX;1.50.111;Да;1619,37
4921;карниз FLEX;1.50.112;Да;802,63
4922;карниз FLEX;1.50.113;Да;850,26
4923;карниз FLEX;1.50.123;Да;569,78
4924;карниз FLEX;1.50.124;Да;1460,61
4925;карниз FLEX;1.50.125;Да;1199,53
4926;карниз FLEX;1.50.126;Да;843,2
4927;карниз FLEX;1.50.127;Да;814,98
4928;карниз FLEX;1.50.128;Да;1427,09
4929;карниз FLEX;1.50.129;Да;822,03
4930;карниз FLEX;1.50.130;Да;575,07
4931;карниз FLEX;1.50.131;Да;1404,16
4932;карниз FLEX;1.50.132;Да;2093,89
4933;карниз FLEX;1.50.133;Да;1427,09
4934;карниз FLEX;1.50.134;Да;2026,86
4935;карниз FLEX;1.50.135;Да;1472,96
4936;карниз FLEX;1.50.136;Да;1635,25
4937;карниз FLEX;1.50.137;Да;2141,52
4938;карниз FLEX;1.50.138;Да;1795,77
4939;карниз FLEX;1.50.139;Да;1390,05
4940;карниз FLEX;1.50.140;Да;800,86
4941;карниз FLEX;1.50.141;Да;800,86
4942;карниз FLEX;1.50.142;Да;1795,77
4943;карниз FLEX;1.50.143;Да;784,99
4944;карниз FLEX;1.50.144;Да;857,31
4945;карниз FLEX;1.50.145;Да;2277,35
4946;карниз FLEX;1.50.146;Да;1451,79
4947;карниз FLEX;1.50.147;Да;1795,77
4948;карниз FLEX;1.50.148;Да;1525,88
4949;карниз FLEX;1.50.149;Да;2317,92
4950;карниз FLEX;1.50.150;Да;589,18
4951;карниз FLEX;1.50.151;Да;2317,92
4952;карниз FLEX;1.50.152;Да;2317,92
4953;карниз FLEX;1.50.153;Да;2317,92
4954;карниз FLEX;1.50.154;Да;534,5
4955;карниз FLEX;1.50.155;Да;529,21
4956;карниз FLEX;1.50.156;Да;589,18
4957;карниз FLEX;1.50.157;Да;548,61
4958;карниз FLEX;1.50.158;Да;536,26
4959;карниз FLEX;1.50.159;Да;568,01
4960;карниз FLEX;1.50.160;Да;755
4961;карниз FLEX;1.50.162;Да;784,99
4962;карниз FLEX;1.50.163;Да;1506,47
4963;карниз FLEX;1.50.164;Да;1658,18
4964;карниз FLEX;1.50.165;Да;788,52
4965;карниз FLEX;1.50.166;Да;1598,2
4966;карниз FLEX;1.50.168;Да;1619,37
4967;карниз FLEX;1.50.169;Да;1525,88
4968;карниз FLEX;1.50.170;Да;867,9
4969;карниз FLEX;1.50.171;Да;490,4
4970;карниз FLEX;1.50.172;Да;509,8
4971;карниз FLEX;1.50.173;Да;513,33
4972;карниз FLEX;1.50.174;Да;522,15
4973;карниз FLEX;1.50.175;Да;1612,31
4974;карниз FLEX;1.50.176;Да;1472,96
4975;карниз FLEX;1.50.177;Да;876,72
4976;карниз FLEX;1.50.180;Да;1494,12
4977;карниз FLEX;1.50.181;Да;841,44
4978;карниз FLEX;1.50.182;Да;825,56
4979;карниз FLEX;1.50.183;Да;899,65
4980;карниз FLEX;1.50.184;Да;899,65
4981;карниз FLEX;1.50.185;Да;1575,27
4982;карниз FLEX;1.50.186;Да;899,65
4983;карниз FLEX;1.50.187;Да;797,34
4984;карниз FLEX;1.50.188;Да;797,34
4985;карниз FLEX;1.50.190;Да;596,24
4986;карниз FLEX;1.50.191;Да;583,89
4987;карниз FLEX;1.50.192;Да;813,21
4988;карниз FLEX;1.50.193;Да;1435,91
4989;карниз FLEX;1.50.194;Да;774,4
4990;карниз FLEX;1.50.195;Да;841,44
4991;карниз FLEX;1.50.197;Да;899,65
4992;карниз FLEX;1.50.200;Да;799,1
4993;карниз FLEX;1.50.202;Да;1435,91
4994;карниз FLEX;1.50.203;Да;1621,13
4995;карниз FLEX;1.50.209;Да;1862,8
4996;карниз FLEX;1.50.210;Да;1947,48
4997;карниз FLEX;1.50.220;Да;1726,97
4998;карниз FLEX;1.50.221;Да;2023,33
4999;карниз FLEX;1.50.222;Да;2233,25
5000;карниз FLEX;1.50.250;Да;1480,01
5001;карниз FLEX;1.50.251;Да;562,72
5002;карниз FLEX;1.50.252;Да;1702,28
5003;карниз FLEX;1.50.253;Да;841,44
5004;карниз FLEX;1.50.254;Да;1271,86
5005;карниз FLEX;1.50.255;Да;1430,62
5006;карниз FLEX;1.50.256;Да;1644,07
5007;карниз FLEX;1.50.257;Да;582,13
5008;карниз FLEX;1.50.258;Да;538,03
5009;карниз FLEX;1.50.259;Да;770,88
5010;карниз FLEX;1.50.260;Да;2003,93
5011;карниз FLEX;1.50.261;Да;1862,8
5012;карниз FLEX;1.50.262;Да;1661,71
5013;карниз FLEX;1.50.264;Да;2040,97
5014;карниз FLEX;1.50.265;Да;871,43
5015;карниз FLEX;1.50.266;Да;784,99
5016;карниз FLEX;1.50.267;Да;1667
5017;карниз FLEX;1.50.268;Да;1719,92
5018;карниз FLEX;1.50.269;Да;1811,65
5019;карниз FLEX;1.50.270;Да;1949,24
5020;молдинг;1.51.311;Нет;557,43
5021;молдинг;1.51.314;Нет;336,93
5022;молдинг;1.51.327;Нет;462,17
5023;молдинг;1.51.301;Нет;296,36
