IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP180;IC_GROUP0;IC_GROUP1;IC_GROUP2
4774;карниз;1.50.114;Нет;ВР000001360;;Интерьерный декор;карнизы;
4775;карниз;1.50.115;Нет;ВР000001045;;Интерьерный декор;карнизы;
4776;карниз;1.50.116;Нет;ВР000001487;;Интерьерный декор;карнизы;
4777;карниз;1.50.117;Нет;ВР000001046;;Интерьерный декор;карнизы;
4778;карниз;1.50.118;Нет;ВР000001868;;Интерьерный декор;карнизы;
4779;карниз;1.50.119;Нет;ВР000001858;;Интерьерный декор;карнизы;
4780;карниз;1.50.120;Нет;ВР000001867;;Интерьерный декор;карнизы;
4781;карниз;1.50.121;Нет;ВР000001047;;Интерьерный декор;карнизы;
4782;карниз;1.50.122;Нет;ВР000001048;;Интерьерный декор;карнизы;
4783;карниз;1.50.100;Нет;ВР000001042;;Интерьерный декор;карнизы;
4784;карниз;1.50.102;Нет;ВР000005632;;Интерьерный декор;карнизы;
4785;карниз;1.50.103;Нет;ВР000005166;;Интерьерный декор;карнизы;
4786;карниз;1.50.104;Нет;ВР000001293;;Интерьерный декор;карнизы;
4787;карниз;1.50.105;Нет;ВР000005167;;Интерьерный декор;карнизы;
4788;карниз;1.50.106;Нет;ВР000005174;;Интерьерный декор;карнизы;
4789;карниз;1.50.107;Нет;ВР000005326;;Интерьерный декор;карнизы;
4790;карниз;1.50.109;Нет;ВР000002930;;Интерьерный декор;карнизы;
4791;карниз;1.50.110;Нет;ВР000002931;;Интерьерный декор;карнизы;
4792;карниз;1.50.111;Нет;ВР000001285;;Интерьерный декор;карнизы;
4793;карниз;1.50.112;Нет;ВР000001043;;Интерьерный декор;карнизы;
4794;карниз;1.50.113;Нет;ВР000001044;;Интерьерный декор;карнизы;
4795;карниз;1.50.123;Нет;ВР000001718;;Интерьерный декор;карнизы;
4796;карниз;1.50.124;Нет;ВР000001972;;Интерьерный декор;карнизы;
4797;карниз;1.50.125;Нет;ВР000002129;;Интерьерный декор;карнизы;
4798;карниз;1.50.126;Нет;ВР001003726;;Интерьерный декор;карнизы;
4799;карниз;1.50.127;Нет;ВР000002929;;Интерьерный декор;карнизы;
4800;карниз;1.50.128;Нет;ВР000002329;;Интерьерный декор;карнизы;
4801;карниз;1.50.129;Нет;ВР000005168;;Интерьерный декор;карнизы;
4802;карниз;1.50.130;Нет;ВР000001049;;Интерьерный декор;карнизы;
4803;карниз;1.50.131;Нет;ВР000001081;;Интерьерный декор;карнизы;
4804;карниз;1.50.132;Нет;ВР000001050;;Интерьерный декор;карнизы;
4805;карниз;1.50.133;Нет;ВР000001076;;Интерьерный декор;карнизы;
4806;карниз;1.50.134;Нет;ВР000001051;;Интерьерный декор;карнизы;
4807;карниз;1.50.135;Нет;ВР000001303;;Интерьерный декор;карнизы;
4808;карниз;1.50.136;Нет;ВР000002167;;Интерьерный декор;карнизы;
4809;карниз;1.50.137;Нет;ВР000001827;;Интерьерный декор;карнизы;
4810;карниз;1.50.138;Нет;ВР000002343;;Интерьерный декор;карнизы;
4811;карниз;1.50.139;Нет;ВР000006023;;Интерьерный декор;карнизы;
4812;карниз;1.50.140;Нет;ВР000001052;;Интерьерный декор;карнизы;
4813;карниз;1.50.141;Нет;ВР000005170;;Интерьерный декор;карнизы;
4814;карниз;1.50.142;Нет;ВР000001544;;Интерьерный декор;карнизы;
4815;карниз;1.50.143;Нет;ВР000005171;;Интерьерный декор;карнизы;
4816;карниз;1.50.144;Нет;ВР000005173;;Интерьерный декор;карнизы;
4817;карниз;1.50.145;Нет;ВР000001586;;Интерьерный декор;карнизы;
4818;карниз;1.50.146;Нет;ВР000005175;;Интерьерный декор;карнизы;
4819;карниз;1.50.147;Нет;ВР000001182;;Интерьерный декор;карнизы;
4820;карниз;1.50.148;Нет;ВР000006025;;Интерьерный декор;карнизы;
4821;карниз;1.50.149;Нет;ВР001021963;;Интерьерный декор;карнизы;
4822;карниз;1.50.150;Нет;ВР000001054;;Интерьерный декор;карнизы;
4823;карниз;1.50.151;Нет;ВР001021964;;Интерьерный декор;карнизы;
4824;карниз;1.50.152;Нет;ВР001021965;;Интерьерный декор;карнизы;
4825;карниз;1.50.153;Нет;ВР001021966;;Интерьерный декор;карнизы;
4826;карниз;1.50.154;Нет;ВР001022849;;Интерьерный декор;карнизы;
4827;карниз;1.50.155;Нет;ВР001022850;;Интерьерный декор;карнизы;
4828;карниз;1.50.156;Нет;ВР001022851;;Интерьерный декор;карнизы;
4829;карниз;1.50.157;Нет;ВР001022852;;Интерьерный декор;карнизы;
4830;карниз;1.50.158;Нет;ВР001022853;;Интерьерный декор;карнизы;
4831;карниз;1.50.159;Нет;ВР001022854;;Интерьерный декор;карнизы;
4832;карниз;1.50.160;Нет;ВР000001055;;Интерьерный декор;карнизы;
4833;карниз;1.50.162;Нет;ВР000002855;;Интерьерный декор;карнизы;
4834;карниз;1.50.163;Нет;ВР000002934;;Интерьерный декор;карнизы;
4835;карниз;1.50.164;Нет;ВР000002936;;Интерьерный декор;карнизы;
4836;карниз;1.50.165;Нет;ВР000001056;;Интерьерный декор;карнизы;
4837;карниз;1.50.166;Нет;ВР000004078;;Интерьерный декор;карнизы;
4838;карниз;1.50.167;Нет;ВР000004319;4839;Интерьерный декор;карнизы;
4839;карниз;1.50.168;Нет;ВР000004036;;Интерьерный декор;карнизы;
4840;карниз;1.50.169;Нет;ВР000005325;;Интерьерный декор;карнизы;
4841;карниз;1.50.170;Нет;ВР000001057;;Интерьерный декор;карнизы;
4842;карниз;1.50.171;Нет;ВР001022855;;Интерьерный декор;карнизы;
4843;карниз;1.50.172;Нет;ВР001022856;;Интерьерный декор;карнизы;
4844;карниз;1.50.173;Нет;ВР001022857;;Интерьерный декор;карнизы;
4845;карниз;1.50.174;Нет;ВР001022858;;Интерьерный декор;карнизы;
4846;карниз;1.50.175;Нет;ВР000001355;;Интерьерный декор;карнизы;
4847;карниз;1.50.176;Нет;ВР000005000;;Интерьерный декор;карнизы;
4848;карниз;1.50.177;Нет;ВР000006024;;Интерьерный декор;карнизы;
4849;карниз;1.50.180;Нет;ВР000001451;;Интерьерный декор;карнизы;
4850;карниз;1.50.181;Нет;ВР001023412;;Интерьерный декор;карнизы;
4851;карниз;1.50.182;Нет;ВР001023413;;Интерьерный декор;карнизы;
4852;карниз;1.50.183;Нет;ВР001023414;;Интерьерный декор;карнизы;
4853;карниз;1.50.184;Нет;ВР001023415;;Интерьерный декор;карнизы;
4854;карниз;1.50.185;Нет;ВР001023416;;Интерьерный декор;карнизы;
4855;карниз;1.50.186;Нет;ВР001023417;;Интерьерный декор;карнизы;
4856;карниз;1.50.187;Нет;ВР001023418;;Интерьерный декор;карнизы;
4857;карниз;1.50.188;Нет;ВР001023693;;Интерьерный декор;карнизы;
4858;карниз;1.50.190;Нет;ВР001024050;;Интерьерный декор;карнизы;
4859;карниз;1.50.191;Нет;ВР001024053;;Интерьерный декор;карнизы;
4860;карниз;1.50.192;Нет;ВР002025145;;Интерьерный декор;карнизы;
4861;карниз;1.50.193;Нет;ВР002025144;;Интерьерный декор;карнизы;
4862;карниз;1.50.194;Нет;ВР002025137;;Интерьерный декор;карнизы;
4863;карниз;1.50.195;Нет;ВР002025296;;Интерьерный декор;карнизы;
4864;карниз;1.50.196;Нет;ВР002025293;;Интерьерный декор;карнизы;
4865;карниз;1.50.197;Нет;ВР002025291;;Интерьерный декор;карнизы;
4866;карниз;1.50.198;Нет;ВР002025290;;Интерьерный декор;карнизы;
4867;карниз;1.50.200;Нет;ВР002025307;;Интерьерный декор;карнизы;
4868;карниз;1.50.201;Нет;ВР002025337;;Интерьерный декор;карнизы;
4869;карниз;1.50.202;Нет;ВР002025339;;Интерьерный декор;карнизы;
4870;карниз;1.50.203;Нет;ВР002025341;;Интерьерный декор;карнизы;
4871;карниз;1.50.204;Нет;ВР002025428;;Интерьерный декор;карнизы;
4872;карниз;1.50.208;Нет;ВР002025426;;Интерьерный декор;карнизы;
4873;карниз;1.50.209;Нет;ВР000001058;;Интерьерный декор;карнизы;
4874;карниз;1.50.210;Нет;ВР000001077;;Интерьерный декор;карнизы;
4875;карниз;1.50.211;Нет;ВР000004385;;Интерьерный декор;карнизы;
4876;карниз;1.50.212;Нет;ВР000004386;;Интерьерный декор;карнизы;
4877;карниз;1.50.220;Нет;ВР000001281;;Интерьерный декор;карнизы;
4878;карниз;1.50.221;Нет;ВР000001338;;Интерьерный декор;карнизы;
4879;карниз;1.50.222;Нет;ВР000001612;;Интерьерный декор;карнизы;
4880;карниз;1.50.250;Нет;ВР000005486;;Интерьерный декор;карнизы;
4881;карниз;1.50.251;Нет;ВР000005602;;Интерьерный декор;карнизы;
4882;карниз;1.50.252;Нет;ВР000004035;;Интерьерный декор;карнизы;
4883;карниз;1.50.253;Нет;ВР000005501;;Интерьерный декор;карнизы;
4884;карниз;1.50.254;Нет;ВР000005595;;Интерьерный декор;карнизы;
4885;карниз;1.50.255;Нет;ВР000005644;;Интерьерный декор;карнизы;
4886;карниз;1.50.256;Нет;ВР000005750;;Интерьерный декор;карнизы;
