IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
4869;карниз;1.50.202;2000;;;;97;103;;;;;;;;;
4870;карниз;1.50.203;2000;;;;115;129;;;;;;;;;
4871;карниз;1.50.204;2000;;;;40;36;;;;;;;;;
4872;карниз;1.50.208;2000;;;;70;70;;;;;;;;;
4873;карниз;1.50.209;2000;;;;118;150;;;;;;;;;
4874;карниз;1.50.210;2000;;;;121;155;;;;;;;;;
4875;карниз;1.50.211;2000;;;;177;74;;;;;;;;;
4876;карниз;1.50.212;2000;;;;171;74;;;;;;;;;
4877;карниз;1.50.220;2000;;;;122;126;;;;;;;;;
4878;карниз;1.50.221;2000;;;;140;150;;;;;;;;;
4879;карниз;1.50.222;2000;;;;162;170;;;;;;;;;
4880;карниз;1.50.250;2000;;;;73;164;;;;;;;;;
4881;карниз;1.50.251;2000;;;;55;70;;;;;;;;;
4882;карниз;1.50.252;2000;;;;120;119;;;;;;;;;
4883;карниз;1.50.253;2000;;;;66;108;;;;;;;;;
4884;карниз;1.50.254;2000;;;;93;130;;;;;;;;;
4885;карниз;1.50.255;2000;;;;82;127;;;;;;;;;
4886;карниз;1.50.256;2000;;;;132;175;;;;;;;;;
4887;карниз;1.50.257;2000;;;;38;38;;;;;;;;;
4888;карниз;1.50.258;2000;;;;25;27;;;;;;;;;
4889;карниз;1.50.259;2000;;;;36;81;;;;;;;;;
4890;карниз;1.50.260;2000;;;;133;166;;;;;;;;;
4891;карниз;1.50.261;1980;;;;102;101;;;;;;;;;
4892;карниз;1.50.262;2000;;;;50;120;;;;;;;;;
4893;карниз;1.50.264;2000;;;;170;170;;;;;;;;;
4894;карниз;1.50.265;2000;;;;115;21;;;;;;;;;
4895;карниз;1.50.266;2000;;;;76;21;;;;;;;;;
4896;карниз;1.50.267;2000;;;;171;33;;;;;;;;;
