IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142
4955;карниз FLEX;2010;1.50.155
4956;карниз FLEX;2010;1.50.156
4957;карниз FLEX;2010;1.50.157
4958;карниз FLEX;2010;1.50.158
4959;карниз FLEX;2010;1.50.159
4960;карниз FLEX;2010;1.50.160
4961;карниз FLEX;2010;1.50.162
4962;карниз FLEX;2000;1.50.163
4963;карниз FLEX;2000;1.50.164
4964;карниз FLEX;2010;1.50.165
4965;карниз FLEX;2010;1.50.166
4966;карниз FLEX;2000;1.50.168
4967;карниз FLEX;2000;1.50.169
4968;карниз FLEX;2010;1.50.170
4969;карниз FLEX;2010;1.50.171
4970;карниз FLEX;2010;1.50.172
4971;карниз FLEX;2010;1.50.173
4972;карниз FLEX;2010;1.50.174
4973;карниз FLEX;2010;1.50.175
4974;карниз FLEX;2010;1.50.176
4975;карниз FLEX;2010;1.50.177
4976;карниз FLEX;2010;1.50.180
4977;карниз FLEX;2010;1.50.181
4978;карниз FLEX;2010;1.50.182
4979;карниз FLEX;2010;1.50.183
4980;карниз FLEX;2010;1.50.184
4981;карниз FLEX;2010;1.50.185
4982;карниз FLEX;2010;1.50.186
4983;карниз FLEX;2010;1.50.187
4984;карниз FLEX;2010;1.50.188
4985;карниз FLEX;2010;1.50.190
4986;карниз FLEX;2010;1.50.191
4987;карниз FLEX;2010;1.50.192
4988;карниз FLEX;2010;1.50.193
4989;карниз FLEX;2010;1.50.194
4990;карниз FLEX;2010;1.50.195
4991;карниз FLEX;2010;1.50.197
4992;карниз FLEX;2010;1.50.200
4993;карниз FLEX;2010;1.50.202
4994;карниз FLEX;2010;1.50.203
4995;карниз FLEX;2010;1.50.209
4996;карниз FLEX;2010;1.50.210
4997;карниз FLEX;2010;1.50.220
4998;карниз FLEX;2010;1.50.221
4999;карниз FLEX;2010;1.50.222
5000;карниз FLEX;2010;1.50.250
5001;карниз FLEX;2010;1.50.251
5002;карниз FLEX;2000;1.50.252
5003;карниз FLEX;2010;1.50.253
5004;карниз FLEX;2010;1.50.254
5005;карниз FLEX;2010;1.50.255
5006;карниз FLEX;2000;1.50.256
5007;карниз FLEX;2010;1.50.257
5008;карниз FLEX;2010;1.50.258
5009;карниз FLEX;2010;1.50.259
5010;карниз FLEX;2010;1.50.260
5011;карниз FLEX;1980;1.50.261
5012;карниз FLEX;2010;1.50.262
5013;карниз FLEX;2010;1.50.264
5014;карниз FLEX;2010;1.50.265
5015;карниз FLEX;2010;1.50.266
5016;карниз FLEX;2010;1.50.267
5017;карниз FLEX;2010;1.50.268
5018;карниз FLEX;2010;1.50.269
5019;карниз FLEX;2010;1.50.270
5862;карниз FLEX;2010;1.50.196
5863;карниз FLEX;2010;1.50.198
5864;карниз FLEX;2010;1.50.201
5865;карниз FLEX;2010;1.50.205
6109;карниз FLEX;2010;1.50.101
6110;карниз FLEX;2010;1.50.199
5020;молдинг;2010;1.51.311
5021;молдинг;2010;1.51.314
5022;молдинг;2010;1.51.327
5023;молдинг;2010;1.51.301
5024;молдинг;2010;1.51.305
5025;молдинг;2010;1.51.321
5026;молдинг;2010;1.51.400
5027;молдинг;2010;1.51.302
5028;молдинг;2010;1.51.303
5029;молдинг;2010;1.51.304
5030;молдинг;2010;1.51.306
5031;молдинг;2010;1.51.307
5032;молдинг;2010;1.51.324
5033;молдинг;2010;1.51.352
5034;молдинг;2000;1.51.325
5035;молдинг;2010;1.51.312
5036;молдинг;2010;1.51.332
5037;молдинг;2010;1.51.350
5038;молдинг;2010;1.51.326
5039;молдинг;2010;1.51.308
5040;молдинг;2010;1.51.309
5041;молдинг;2010;1.51.310
5042;молдинг;2010;1.51.313
5043;молдинг;2010;1.51.315
5044;молдинг;2010;1.51.316
5045;молдинг;2010;1.51.317
5046;молдинг;2010;1.51.318
5047;молдинг;2010;1.51.319
5048;молдинг;2010;1.51.320
5049;молдинг;2010;1.51.322
5050;молдинг;2010;1.51.328
5051;молдинг;2010;1.51.330
5052;молдинг;2010;1.51.333
5053;молдинг;2010;1.51.340
5054;молдинг;2010;1.51.341
5055;молдинг;2010;1.51.342
5056;молдинг;2010;1.51.343
5057;молдинг;2010;1.51.344
5058;молдинг;2010;1.51.351
5059;молдинг;2010;1.51.380
5060;молдинг;2010;1.51.401
5061;молдинг;2010;1.51.323
5062;молдинг;2010;1.51.339
5063;молдинг;2010;1.51.331
5064;молдинг;2010;1.51.336
5065;молдинг;2010;1.51.334
5066;молдинг;2010;1.51.335
5067;молдинг;2010;1.51.337
5068;молдинг;2010;1.51.348
5069;молдинг;2010;1.51.349
5070;молдинг;2010;1.51.329
5071;молдинг;2010;1.51.347
5072;молдинг;2010;1.51.355
5073;молдинг;2010;1.51.354
5866;молдинг;2010;1.51.345
5867;молдинг;2010;1.51.357
5868;молдинг;2010;1.51.358
5869;молдинг;2010;1.51.361
5870;молдинг;2010;1.51.381
6112;молдинг;2010;1.51.353
6114;молдинг;2010;1.51.356
5074;молдинг FLEX;2010;1.51.311
5075;молдинг FLEX;2010;1.51.314
5076;молдинг FLEX;2010;1.51.327
5077;молдинг FLEX;2010;1.51.301
5078;молдинг FLEX;2010;1.51.305
5079;молдинг FLEX;2010;1.51.321
5080;молдинг FLEX;2010;1.51.400
5081;молдинг FLEX;2010;1.51.302
5082;молдинг FLEX;2010;1.51.303
5083;молдинг FLEX;2010;1.51.304
5084;молдинг FLEX;2010;1.51.306
5085;молдинг FLEX;2010;1.51.307
5086;молдинг FLEX;2010;1.51.324
5087;молдинг FLEX;2010;1.51.352
5088;молдинг FLEX;2000;1.51.325
5089;молдинг FLEX;2010;1.51.312
5090;молдинг FLEX;2010;1.51.332
5091;молдинг FLEX;2010;1.51.350
5092;молдинг FLEX;2010;1.51.326
5093;молдинг FLEX;2010;1.51.308
5094;молдинг FLEX;2010;1.51.309
5095;молдинг FLEX;2010;1.51.310
5096;молдинг FLEX;2010;1.51.313
5097;молдинг FLEX;2010;1.51.315
5098;молдинг FLEX;2010;1.51.316
5099;молдинг FLEX;2010;1.51.317
5100;молдинг FLEX;2010;1.51.318
5101;молдинг FLEX;2010;1.51.319
5102;молдинг FLEX;2010;1.51.320
5103;молдинг FLEX;2010;1.51.322
5104;молдинг FLEX;2010;1.51.328
5105;молдинг FLEX;2010;1.51.330
5106;молдинг FLEX;2010;1.51.333
5107;молдинг FLEX;2010;1.51.340
5108;молдинг FLEX;2010;1.51.341
5109;молдинг FLEX;2010;1.51.342
5110;молдинг FLEX;2010;1.51.343
5111;молдинг FLEX;2010;1.51.344
5112;молдинг FLEX;2010;1.51.351
5113;молдинг FLEX;2010;1.51.380
5114;молдинг FLEX;2010;1.51.401
5115;молдинг FLEX;2010;1.51.323
5116;молдинг FLEX;2010;1.51.339
5117;молдинг FLEX;2010;1.51.331
5118;молдинг FLEX;2010;1.51.336
5119;молдинг FLEX;2010;1.51.334
5120;молдинг FLEX;2010;1.51.335
5121;молдинг FLEX;2010;1.51.337
5122;молдинг FLEX;2010;1.51.348
5123;молдинг FLEX;2010;1.51.349
5124;молдинг FLEX;2010;1.51.329
5125;молдинг FLEX;2010;1.51.347
5126;молдинг FLEX;2010;1.51.355
5127;молдинг FLEX;2010;1.51.354
5871;молдинг FLEX;2010;1.51.345
5872;молдинг FLEX;2010;1.51.357
5873;молдинг FLEX;2010;1.51.358
5874;молдинг FLEX;2010;1.51.361
5875;молдинг FLEX;2010;1.51.381
6113;молдинг FLEX;2010;1.51.353
6115;молдинг FLEX;2010;1.51.356
5128;плинтус;2010;1.53.102
5129;плинтус;2010;1.53.103
5130;плинтус;2010;1.53.104
5131;плинтус;2010;1.53.105
5132;плинтус;2010;1.53.106
5133;плинтус;2011;1.53.107
5134;плинтус;2010;1.53.109
5135;плинтус;2010;1.53.101
5136;плинтус FLEX;2010;1.53.102
5137;плинтус FLEX;2010;1.53.103
5138;плинтус FLEX;2010;1.53.104
5139;плинтус FLEX;2010;1.53.105
5140;плинтус FLEX;2010;1.53.106
5141;плинтус FLEX;2010;1.53.107
5142;плинтус FLEX;2010;1.53.109
5143;плинтус FLEX;2010;1.53.101
5144;угловой элемент;;1.52.326
5145;угловой элемент;;1.52.301
5146;угловой элемент;;1.52.302
5147;угловой элемент;;1.52.290
5148;угловой элемент;;1.52.293
5149;угловой элемент;;1.52.292
5150;угловой элемент;;1.52.288
5151;угловой элемент;;1.52.294
5152;угловой элемент;;1.52.291
5153;угловой элемент;;1.52.295
5154;угловой элемент;;1.52.328
5155;угловой элемент;;1.52.400
5156;угловой элемент;;1.52.289
5157;угловой элемент;;1.52.296
5158;угловой элемент;;1.52.297
5159;угловой элемент;;1.52.298
5160;угловой элемент;;1.52.300
5161;угловой элемент;;1.52.303
5162;угловой элемент;;1.52.308
5163;угловой элемент;;1.52.312
5164;угловой элемент;;1.52.313
5165;угловой элемент;;1.52.314
5166;угловой элемент;;1.52.318
5982;угловой элемент;;1.52.361
5167;кронштейн;;1.19.001
5168;кронштейн;;1.19.137
5169;кронштейн;;1.19.002
5170;кронштейн;;1.19.005
5171;кронштейн;;1.19.003
5172;кронштейн;;1.19.004
5173;кронштейн;;1.19.006
5174;розетка;;1.56.017
5175;розетка;;1.56.001
5176;розетка;;1.56.002
5177;розетка;;1.56.004
5178;розетка;;1.56.007
5179;розетка;;1.56.013
5180;розетка;;1.56.014
5181;розетка;;1.56.015
5182;розетка;;1.56.016
5183;розетка;;1.56.018
5184;розетка;;1.56.019
5185;розетка;;1.56.020
5186;розетка;;1.56.022
5187;розетка;;1.56.023
5188;розетка;;1.56.024
5189;розетка;;1.56.025
5190;розетка;;1.56.005
5191;розетка;;1.56.010
5192;розетка;;1.56.028
5193;розетка;;1.56.029
5194;розетка;;1.56.030
5195;розетка;;1.56.003
5196;розетка;;1.56.031
5197;розетка;;1.56.021
5198;розетка;;1.56.026
5199;розетка;;1.56.006
5200;розетка;;1.56.009
5201;розетка;;1.56.032
5202;розетка;;1.56.011
5203;розетка;;1.56.037
5204;розетка;;1.56.034
5205;розетка;;1.56.033
5206;розетка;;1.56.038
5207;розетка;;1.56.012
5208;розетка;;1.56.027
5209;розетка;;1.56.039
5210;розетка;;1.56.035
5211;розетка;;1.56.042
5879;розетка;;1.56.036
5212;орнамент;;1.60.114
5213;орнамент;;1.60.014
5214;орнамент;;1.60.011
5215;орнамент;;1.60.111
5216;орнамент;;1.60.007
5217;орнамент;;1.60.005
5218;орнамент;;1.60.012
5219;орнамент;;1.60.008
5220;орнамент;;1.60.010
5221;орнамент;;1.60.002
5222;орнамент;;1.60.003
5223;орнамент;;1.60.004
5224;орнамент;;1.60.006
5225;орнамент;;1.60.009
5226;орнамент;;1.60.015
5227;орнамент;;1.60.017
5228;орнамент;;1.60.018
5229;орнамент;;1.60.019
5230;орнамент;;1.60.108
5231;орнамент;;1.60.109
5232;орнамент;;1.60.110
5233;орнамент;;1.60.001
5234;кессон;;1.57.002
5235;кессон;;1.57.003
5236;кессон;;1.57.001
5237;кессон;;1.57.004
5238;купол;;1.58.001
5239;капитель;;1.11.001
5240;капитель;;1.11.010
5241;капитель;;1.11.003
5242;капитель;;1.11.002
5243;капитель;;1.11.004
5244;капитель;;1.11.005
5245;капитель;;1.11.006
5246;капитель;;1.11.008
5247;капитель;;1.11.009
5248;капитель;;1.15.002
5249;капитель;;1.15.003
5250;капитель;;1.15.004
5251;капитель;;1.15.005
5252;капитель;;1.15.006
5253;капитель;;1.15.008
5254;капитель;;1.15.001
5255;капитель;;1.15.009
5256;капитель;;1.15.010
5257;капитель;;1.21.003
5258;капитель;;1.21.001
5259;капитель;;1.21.002
5260;капитель;;1.21.004
5261;капитель;;1.21.005
5262;капитель;;1.21.006
5263;капитель;;1.21.007
5264;ствол;;1.12.020
5265;ствол;;1.12.010
5266;ствол;;1.12.030
5267;ствол;;1.12.050
5268;ствол;;1.12.060
5269;ствол;;1.12.061
5270;ствол;;1.12.080
5271;ствол;;1.12.081
5272;ствол;;1.12.070
5273;ствол;;1.12.071
5274;ствол;;1.16.080
5275;ствол;;1.16.081
5276;ствол;;1.16.030
5277;ствол;;1.16.070
5278;ствол;;1.16.050
5279;ствол;;1.16.060
5280;ствол;;1.16.071
5281;ствол;;1.16.010
5282;ствол;;1.16.011
5283;ствол;;1.16.020
5284;ствол;;1.16.061
5285;ствол;;1.22.010
5286;ствол;;1.22.020
5287;ствол;;1.22.030
5288;ствол;;1.22.200
5289;ствол;;1.22.040
5290;кольцо;;1.11.100
5291;кольцо;;1.11.200
5292;кольцо;;1.11.300
5293;кольцо;;1.15.100
5294;кольцо;;1.15.200
5295;кольцо;;1.15.300
5296;база;;1.13.900
5297;база;;1.13.300
5298;база;;1.13.400
5299;база;;1.13.800
5300;база;;1.13.500
5301;база;;1.13.100
5302;база;;1.13.200
5303;база;;1.13.700
5304;база;;1.17.900
5305;база;;1.17.300
5306;база;;1.17.400
5307;база;;1.17.100
5308;база;;1.17.800
5309;база;;1.17.500
5310;база;;1.17.600
5311;база;;1.17.700
5312;база;;1.17.200
5313;база;;1.23.100
5314;база;;1.23.200
5315;база;;1.23.300
5316;база;;1.23.400
5317;база;;1.23.500
5318;пьедестал;;1.14.001
5319;пьедестал;;1.14.002
5320;пьедестал;;1.14.003
5321;пьедестал;;1.18.001
5322;пьедестал;;1.18.002
5323;пьедестал;;1.18.003
5343;ствол;;1.12.011
5880;база;;1.13.600
5324;база;;1.54.010
5325;обрамление арок;;1.55.003
5326;обрамление арок;;1.55.004
5327;обрамление арок;;1.55.001
5328;замковый камень;;1.55.005
5329;обрамление арок;;1.55.002
5330;база;;1.54.020
5331;боковой элемент;;1.54.009
5332;боковой элемент;;1.54.019
5333;квадрат;;1.54.001
5334;квадрат;;1.54.002
5335;наличник;1265;1.54.003
5336;наличник;2080;1.54.004
5337;элемент;;1.54.008
5338;элемент;;1.54.006
5339;элемент;;1.54.005
5340;элемент;;1.54.007
5341;элемент;;1.54.012
5342;элемент;;1.54.011
6136;база;;1.54.010
5344;пилястра;;1.20.301
5345;пилястра;;1.20.302
5346;пилястра;;1.20.303
5347;пилястра;;1.20.201
5348;пилястра;;1.20.202
5349;пилястра;;1.20.101
5350;пилястра;;1.20.102
5351;пилястра;;1.20.001
5352;пилястра;;1.20.002
5353;полуколонна;;1.10.301
5354;полуколонна;;1.10.302
5355;полуколонна;;1.10.303
5356;полуколонна;;1.10.304
5357;полуколонна;;1.10.201
5358;полуколонна;;1.10.202
5359;полуколонна;;1.10.203
5360;полуколонна;;1.10.204
5361;полуколонна;;1.10.205
5362;полуколонна;;1.10.206
5363;полуколонна;;1.10.207
5364;полуколонна;;1.10.208
5365;полуколонна;;1.10.209
5366;полуколонна;;1.10.210
5367;полуколонна;;1.10.211
5368;полуколонна;;1.10.212
5369;полуколонна;;1.10.213
5370;полуколонна;;1.10.214
5371;полуколонна;;1.10.101
5372;полуколонна;;1.10.102
5373;полуколонна;;1.10.103
5374;полуколонна;;1.10.104
5375;полуколонна;;1.10.105
5376;полуколонна;;1.10.106
5377;колонна;;1.30.301
5378;колонна;;1.30.302
5379;колонна;;1.30.303
5380;колонна;;1.30.304
5381;колонна;;1.30.201
5382;колонна;;1.30.202
5383;колонна;;1.30.204
5384;колонна;;1.30.205
5385;колонна;;1.30.206
5386;колонна;;1.30.207
5387;колонна;;1.30.208
5388;колонна;;1.30.209
5389;колонна;;1.30.210
5390;колонна;;1.30.211
5391;колонна;;1.30.212
5392;колонна;;1.30.213
5393;колонна;;1.30.214
5394;колонна;;1.30.101
5395;колонна;;1.30.102
5396;колонна;;1.30.104
5397;колонна;;1.30.105
5398;колонна;;1.30.106
5876;архитрав;2010;1.26.001
5877;архитрав;2010;1.26.002
5878;архитрав;2010;1.26.003
5881;ниша;;1.61.101
5882;ниша;;1.61.102
5883;ниша;;1.61.110
5884;ниша;;1.61.120
5887;карниз;2010;4.02.201
5888;карниз;2010;4.01.201
5889;карниз;2010;4.01.101
5890;карниз;2010;4.01.301
5891;карниз;2010;4.32.202
5892;карниз;2010;4.01.103
5893;карниз;2010;4.31.301
5894;карниз;2010;4.32.201
5895;карниз;2010;4.81.002
5896;карниз;2010;4.32.302
5897;карниз;2010;4.01.202
5898;карниз;2010;4.01.302
5899;карниз;2010;4.02.101
5900;карниз;2010;4.31.101
5901;карниз;2010;4.31.201
5902;карниз;2010;4.31.202
5903;карниз;2010;4.31.302
5904;карниз;2010;4.32.101
5905;карниз;2010;4.32.301
5906;карниз;2010;4.81.001
5907;карниз;2010;4.02.301
6135;карниз;2000;4.88.001
5908;фриз;2020;4.03.101
5909;фриз;2010;4.03.102
5910;фриз;2010;4.03.201
5911;фриз;2010;4.03.202
5912;фриз;2010;4.03.301
5913;фриз;2010;4.33.301
5914;фриз;2010;4.03.302
5915;фриз;2010;4.33.101
5916;фриз;2010;4.33.102
5917;фриз;2010;4.33.201
5918;фриз;2010;4.33.202
5919;архитрав;2010;4.04.201
5920;архитрав;2010;4.34.201
5921;архитрав;2010;4.34.202
5922;архитрав;2010;4.04.101
5923;архитрав;2010;4.04.102
5924;архитрав;2010;4.04.202
5925;архитрав;2010;4.04.301
5926;архитрав;2010;4.04.302
5927;архитрав;2010;4.34.101
5928;архитрав;2010;4.34.102
5929;архитрав;2010;4.34.301
5930;архитрав;2010;4.34.302
5931;балясина;;4.71.101
5932;балясина;;4.71.201
5933;столб;;4.75.101
5934;столб;;4.75.201
5935;крышка (пирамида);;4.76.101
5936;крышка (пирамида);;4.76.201
5937;крышка столба (плоская);;4.73.101
5938;крышка столба (плоская);;4.73.201
5939;крышка (шар);;4.77.101
5940;крышка (шар);;4.77.201
5941;основание;3010;4.74.101
5942;основание;3010;4.74.201
5943;поручень;3010;4.72.101
5944;поручень;3010;4.72.201
5945;наличник;2010;4.84.001
5946;наличник;2310;4.84.002
5947;наличник;2310;4.84.003
5948;наличник;2310;4.84.051
5949;наличник;2010;4.84.052
5950;наличник;2010;4.84.053
5951;арочное обрамление;;4.87.031
5952;арочное обрамление;;4.87.032
5953;арочное обрамление;;4.87.033
5954;замковый камень;;4.85.001
5955;замковый камень;;4.85.002
5956;замковый камень;;4.85.003
5957;подоконный элемент;2010;4.82.001
5958;подоконный элемент;2010;4.82.002
5959;подоконный элемент;2010;4.82.003
5960;подоконный элемент;2010;4.82.101
5961;подоконный элемент;2010;4.82.201
5962;подоконный элемент;2010;4.82.202
5963;подоконный элемент;2010;4.82.301
5964;подоконный элемент;2010;4.82.302
5965;кронштейн-пьедестал;;4.83.101
5966;кронштейн-пьедестал;;4.83.102
5967;кронштейн-пьедестал;;4.83.201
5968;кронштейн-пьедестал;;4.83.202
5969;кронштейн-пьедестал;;4.83.301
5970;кронштейн-пьедестал;;4.83.302
5971;руст;;4.86.003
5972;руст;;4.86.004
5973;руст;;4.86.005
5974;руст;;4.86.001
5975;руст;;4.86.002
5983;база;;4.17.302
5984;база;;4.53.201
5985;база;;4.53.301
5986;база;;4.17.101
5987;база;;4.17.201
5988;база;;4.17.202
5989;база;;4.17.301
5990;база;;4.23.101
5991;база;;4.23.201
5992;база;;4.23.301
5993;база;;4.43.101
5994;база;;4.43.201
5995;база;;4.43.202
5996;база;;4.43.301
5997;база;;4.43.302
5998;база;;4.47.101
5999;база;;4.47.201
6000;база;;4.47.202
6001;база;;4.47.301
6002;база;;4.47.302
6003;база;;4.53.101
6004;база;;4.53.302
6005;база;;4.13.101
6006;база;;4.13.201
6007;база;;4.13.202
6008;база;;4.13.301
6009;база;;4.13.302
6010;база;;4.17.002
6011;база;;4.17.001
6012;капитель;;4.51.301
6013;капитель;;4.15.101
6014;капитель;;4.15.201
6015;капитель;;4.15.301
6016;капитель;;4.21.101
6017;капитель;;4.21.201
6018;капитель;;4.21.301
6019;капитель;;4.41.101
6020;капитель;;4.41.201
6021;капитель;;4.41.301
6022;капитель;;4.45.101
6023;капитель;;4.45.201
6024;капитель;;4.45.301
6025;капитель;;4.51.101
6026;капитель;;4.51.201
6027;капитель;;4.11.101
6028;капитель;;4.11.201
6029;капитель;;4.11.301
6030;капитель;;4.15.102
6043;ствол;;4.52.102
6044;ствол;;4.52.301
6045;ствол;;4.16.101
6046;ствол;;4.16.102
6047;ствол;;4.16.201
6048;ствол;;4.16.202
6049;ствол;;4.16.301
6050;ствол;;4.22.101
6051;ствол;;4.22.102
6052;ствол;;4.22.201
6053;ствол;;4.22.202
6054;ствол;;4.22.301
6055;ствол;;4.22.302
6056;ствол;;4.42.101
6057;ствол;;4.42.201
6058;ствол;;4.42.301
6059;ствол;;4.46.101
6060;ствол;;4.46.201
6061;ствол;;4.46.301
6062;ствол;;4.52.101
6063;ствол;;4.52.201
6064;ствол;;4.52.202
6065;ствол;;4.52.302
6066;ствол;;4.16.001
6067;ствол;;4.16.002
6068;ствол;;4.12.301
6069;ствол;;4.12.101
6070;ствол;;4.12.102
6071;ствол;;4.12.202
6072;ствол;;4.12.201
6031;регул;120;4.37.101
6032;регул;164;4.07.101
6033;мутул;127;4.05.102
6034;мутул;;4.35.102
6035;мутул;132;4.35.101
6036;мутул;213;4.05.101
6037;модильон;;4.08.301
6038;модильон;;4.08.302
6039;модильон;;4.38.301
6040;модильон;;4.38.302
6041;триглиф;;4.36.101
6042;триглиф;;4.06.101
6073;колонна;;4.30.301
6074;колонна;;4.30.201
6075;колонна;;4.30.202
6076;колонна;;4.30.101
6077;колонна;;4.30.102
6078;колонна;;4.30.104
6079;колонна;;4.30.204
6080;колонна;;4.30.304
