IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;CV_PRICE_1
4849;карниз;1.50.180;Нет;2000;;;;94;120;;;;;;;;;;1307.00
4850;карниз;1.50.181;Нет;2000;;;;38;75;;;;;;;;;;736.00
4851;карниз;1.50.182;Нет;2000;;;;40;67;;;;;;;;;;723.00
4852;карниз;1.50.183;Нет;2000;;;;84;96;;;;;;;;;;786.00
4853;карниз;1.50.184;Нет;2000;;;;72;74;;;;;;;;;;786.00
4854;карниз;1.50.185;Нет;2000;;;;98;115;;;;;;;;;;1377.00
4855;карниз;1.50.186;Нет;2000;;;;56;83;;;;;;;;;;786.00
4856;карниз;1.50.187;Нет;2000;;;;51;51;;;;;;;;;;698.00
4857;карниз;1.50.188;Нет;2000;;;;50;53;;;;;;;;;;698.00
4858;карниз;1.50.190;Нет;2000;;;;25;40;;;;;;;;;;523.00
4859;карниз;1.50.191;Нет;2000;;;;25;40;;;;;;;;;;512.00
4860;карниз;1.50.192;Нет;2000;;;;40;70;;;;;;;;;;711.00
4861;карниз;1.50.193;Нет;2000;;;;55;91;;;;;;;;;;1256.00
4862;карниз;1.50.194;Нет;2000;;;;51;52;;;;;;;;;;677.00
4863;карниз;1.50.195;Нет;2000;;;;51;55;;;;;;;;;;736.00
4864;карниз;1.50.196;Нет;2000;;;;55;70;;;;;;;;;;711.00
4865;карниз;1.50.197;Нет;2000;;;;73;76;;;;;;;;;;786.00
4866;карниз;1.50.198;Нет;2000;;;;88;92;;;;;;;;;;1256.00
4867;карниз;1.50.200;Нет;2000;;;;55;55;;;;;;;;;;698.00
4868;карниз;1.50.201;Нет;2000;;;;130;170;;;;;;;;;;1740.00
4869;карниз;1.50.202;Нет;2000;;;;97;103;;;;;;;;;;1256.00
4870;карниз;1.50.203;Нет;2000;;;;115;129;;;;;;;;;;1416.00
4871;карниз;1.50.204;Нет;2000;;;;40;36;;;;;;;;;;686.00
4872;карниз;1.50.208;Нет;2000;;;;70;70;;;;;;;;;;762.00
4873;карниз;1.50.209;Нет;2000;;;;118;150;;;;;;;;;;1630.00
4874;карниз;1.50.210;Нет;2000;;;;121;155;;;;;;;;;;1702.00
4875;карниз;1.50.211;Нет;2000;;;;177;74;;;;;;;;;;1745.00
4876;карниз;1.50.212;Нет;2000;;;;171;74;;;;;;;;;;1745.00
4877;карниз;1.50.220;Нет;2000;;;;122;126;;;;;;;;;;1510.00
4878;карниз;1.50.221;Нет;2000;;;;140;150;;;;;;;;;;1769.00
4879;карниз;1.50.222;Нет;2000;;;;162;170;;;;;;;;;;1951.00
4880;карниз;1.50.250;Нет;2000;;;;73;164;;;;;;;;;;1294.00
4881;карниз;1.50.251;Нет;2000;;;;55;70;;;;;;;;;;493.00
4882;карниз;1.50.252;Нет;2000;;;;120;119;;;;;;;;;;1489.00
4883;карниз;1.50.253;Нет;2000;;;;66;108;;;;;;;;;;736.00
4884;карниз;1.50.254;Нет;2000;;;;93;130;;;;;;;;;;1111.00
4885;карниз;1.50.255;Нет;2000;;;;82;127;;;;;;;;;;1250.00
4886;карниз;1.50.256;Нет;2000;;;;132;175;;;;;;;;;;1436.00
4887;карниз;1.50.257;Нет;2000;;;;38;38;;;;;;;;;;511.00
4888;карниз;1.50.258;Нет;2000;;;;25;27;;;;;;;;;;471.00
4889;карниз;1.50.259;Нет;2000;;;;36;81;;;;;;;;;;675.00
4890;карниз;1.50.260;Нет;2000;;;;133;166;;;;;;;;;;1743.00
4891;карниз;1.50.261;Нет;1980;;;;102;101;;;;;;;;;;1292.00
4892;карниз;1.50.262;Нет;2000;;;;50;120;;;;;;;;;;1450.00
4893;карниз;1.50.264;Нет;2000;;;;170;170;;;;;;;;;;1778.00
4894;карниз;1.50.265;Нет;2000;;;;115;21;;;;;;;;;;762.00
4895;карниз;1.50.266;Нет;2000;;;;76;21;;;;;;;;;;686.00
4896;карниз;1.50.267;Нет;2000;;;;171;33;;;;;;;;;;1456.00
4897;карниз;1.50.268;Нет;2000;;;;170;33;;;;;;;;;;1498.00
4898;карниз;1.50.269;Нет;2000;;;;220;47;;;;;;;;;;1579.00
4899;карниз;1.50.270;Нет;2000;;;;220;47;;;;;;;;;;1699.00
4900;карниз;1.50.271;Нет;2000;;;;165;226;;;;;;;;;;2176.00
4901;карниз;1.50.273;Нет;2000;;;;130;198;;;;;;;;;;2507.00
4902;карниз FLEX;1.50.114;Да;2000;;;;30;66;1500;1000;;;;;;;;1351.00
4903;карниз FLEX;1.50.115;Да;2000;;;;46;49;2500;2000;;;;;;;;1089.00
4904;карниз FLEX;1.50.116;Да;2000;;;;100;99;4000;3000;;;;;;;;2752.00
4905;карниз FLEX;1.50.117;Да;2000;;;;105;156;3000;2500;;;;;;;;2896.00
4906;карниз FLEX;1.50.118;Да;2000;;;;132;130;3500;2500;;;;;;;;3056.00
4907;карниз FLEX;1.50.119;Да;2000;;;;50;117;2500;2000;;;;;;;;1500.00
4908;карниз FLEX;1.50.120;Да;2000;;;;122;143;4500;4000;;;;;;;;3138.00
4909;карниз FLEX;1.50.121;Да;2000;;;;50;100;1000;1000;;;;;;;;1471.00
4910;карниз FLEX;1.50.122;Да;2000;;;;40;50;1500;1000;;;;;;;;963.00
4911;карниз FLEX;1.50.100;Да;2000;;;;55;64;3000;2500;;;;;;;;1353.00
4912;карниз FLEX;1.50.102;Да;2000;;;;75;72;3500;3500;;;;;;;;1071.00
4913;карниз FLEX;1.50.103;Да;2000;;;;50;50;1500;1000;;;;;;;;1080.00
4914;карниз FLEX;1.50.104;Да;2000;;;;77;114;2500;1500;;;;;;;;2679.00
4915;карниз FLEX;1.50.105;Да;2000;;;;63;60;3000;2500;;;;;;;;1318.00
4916;карниз FLEX;1.50.106;Да;2000;;;;90;72;3000;2500;;;;;;;;1422.00
4917;карниз FLEX;1.50.107;Да;2000;;;;108;148;4500;4000;;;;;;;;2815.00
4918;карниз FLEX;1.50.109;Да;2000;;;;188;84;5000;4500;;;;;;;;3056.00
4919;карниз FLEX;1.50.110;Да;2000;;;;192;162;4500;4000;;;;;;;;3459.00
4920;карниз FLEX;1.50.111;Да;2000;;;;113;116;3500;2500;;;;;;;;2830.00
4921;карниз FLEX;1.50.112;Да;2000;;;;38;76;1500;1000;;;;;;;;1402.00
4922;карниз FLEX;1.50.113;Да;2000;;;;80;84;4000;3000;;;;;;;;1485.00
4923;карниз FLEX;1.50.123;Да;2000;;;;30;30;1000;550;;;;;;;;997.00
4924;карниз FLEX;1.50.124;Да;2000;;;;57;115;1500;1500;;;;;;;;2554.00
4925;карниз FLEX;1.50.125;Да;2000;;;;87;91;2500;2000;;;;;;;;2096.00
4926;карниз FLEX;1.50.126;Да;2000;;;;95;91;2000;1500;;;;;;;;1469.00
4927;карниз FLEX;1.50.127;Да;2000;;;;47;90;2000;1500;;;;;;;;1422.00
4928;карниз FLEX;1.50.128;Да;1970;;;;66;145;1500;2000;;;;;;;;2493.00
4929;карниз FLEX;1.50.129;Да;2000;;;;75;86;2500;1500;;;;;;;;1436.00
4930;карниз FLEX;1.50.130;Да;2000;;;;30;32;1000;550;;;;;;;;1007.00
4931;карниз FLEX;1.50.131;Да;2000;;;;135;60;3000;2500;;;;;;;;2452.00
4932;карниз FLEX;1.50.132;Да;2000;;;;117;216;2500;3000;;;;;;;;3659.00
4933;карниз FLEX;1.50.133;Да;2000;;;;115;120;3500;2500;;;;;;;;2493.00
4934;карниз FLEX;1.50.134;Да;2000;;;;194;150;4500;4000;;;;;;;;3539.00
4935;карниз FLEX;1.50.135;Да;2000;;;;161;41;3300;3300;2500;;;;;;;2576.00
4936;карниз FLEX;1.50.136;Да;2000;;;;62;166;550;550;;;;;;;;2856.00
4937;карниз FLEX;1.50.137;Да;2000;;;;183;190;4500;4000;;;;;;;;3739.00
4938;карниз FLEX;1.50.138;Да;2000;;;;156;161;4000;3500;;;;;;;;3138.00
4939;карниз FLEX;1.50.139;Да;2000;;;;98;98;2500;2000;;;;;;;;2427.00
4940;карниз FLEX;1.50.140;Да;2000;;;;57;58;2000;1500;;;;;;;;1397.00
4941;карниз FLEX;1.50.141;Да;2000;;;;70;70;2000;1500;;;;;;;;1397.00
4942;карниз FLEX;1.50.142;Да;2000;;;;196;45;550;550;2500;;;;;;;3138.00
4943;карниз FLEX;1.50.143;Да;2000;;;;70;73;2000;1500;;;;;;;;1372.00
