IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
5001;карниз FLEX;1.50.251;Да;Интерьерный декор;гибкие карнизы;;985.00
5002;карниз FLEX;1.50.252;Да;Интерьерный декор;гибкие карнизы;;2976.00
5003;карниз FLEX;1.50.253;Да;Интерьерный декор;гибкие карнизы;;1471.00
5004;карниз FLEX;1.50.254;Да;Интерьерный декор;гибкие карнизы;;2221.00
5005;карниз FLEX;1.50.255;Да;Интерьерный декор;гибкие карнизы;;2500.00
5006;карниз FLEX;1.50.256;Да;Интерьерный декор;гибкие карнизы;;2871.00
5007;карниз FLEX;1.50.257;Да;Интерьерный декор;гибкие карнизы;;1017.00
5008;карниз FLEX;1.50.258;Да;Интерьерный декор;гибкие карнизы;;941.00
5009;карниз FLEX;1.50.259;Да;Интерьерный декор;гибкие карнизы;;1349.00
5010;карниз FLEX;1.50.260;Да;Интерьерный декор;гибкие карнизы;;3485.00
5011;карниз FLEX;1.50.261;Да;Интерьерный декор;гибкие карнизы;;2583.00
5012;карниз FLEX;1.50.262;Да;Интерьерный декор;гибкие карнизы;;2900.00
5013;карниз FLEX;1.50.264;Да;Интерьерный декор;гибкие карнизы;;3557.00
5014;карниз FLEX;1.50.265;Да;Интерьерный декор;гибкие карнизы;;1522.00
5015;карниз FLEX;1.50.266;Да;Интерьерный декор;гибкие карнизы;;1368.00
5016;карниз FLEX;1.50.267;Да;Интерьерный декор;гибкие карнизы;;2910.00
5017;карниз FLEX;1.50.268;Да;Интерьерный декор;гибкие карнизы;;2994.00
5018;карниз FLEX;1.50.269;Да;Интерьерный декор;гибкие карнизы;;3154.00
5019;карниз FLEX;1.50.270;Да;Интерьерный декор;гибкие карнизы;;3395.00
5020;молдинг;1.51.311;Нет;Интерьерный декор;молдинги;;977.00
5021;молдинг;1.51.314;Нет;Интерьерный декор;молдинги;;591.00
5022;молдинг;1.51.327;Нет;Интерьерный декор;молдинги;;807.00
5023;молдинг;1.51.301;Нет;Интерьерный декор;молдинги;;559.00
5024;молдинг;1.51.305;Нет;Интерьерный декор;молдинги;;487.00
5025;молдинг;1.51.321;Нет;Интерьерный декор;молдинги;;458.00
5026;молдинг;1.51.400;Нет;Интерьерный декор;молдинги;;489.00
5027;молдинг;1.51.302;Нет;Интерьерный декор;молдинги;;625.00
5028;молдинг;1.51.303;Нет;Интерьерный декор;молдинги;;634.00
5029;молдинг;1.51.304;Нет;Интерьерный декор;молдинги;;603.00
5030;молдинг;1.51.306;Нет;Интерьерный декор;молдинги;;500.00
5031;молдинг;1.51.307;Нет;Интерьерный декор;молдинги;;946.00
5032;молдинг;1.51.324;Нет;Интерьерный декор;молдинги;;458.00
5033;молдинг;1.51.352;Нет;Интерьерный декор;молдинги;;566.00
5034;молдинг;1.51.325;Нет;Интерьерный декор;молдинги;;1009.00
5035;молдинг;1.51.312;Нет;Интерьерный декор;молдинги;;557.00
5036;молдинг;1.51.332;Нет;Интерьерный декор;молдинги;;748.00
5037;молдинг;1.51.350;Нет;Интерьерный декор;молдинги;;1016.00
5038;молдинг;1.51.326;Нет;Интерьерный декор;молдинги;;583.00
5039;молдинг;1.51.308;Нет;Интерьерный декор;молдинги;;557.00
5040;молдинг;1.51.309;Нет;Интерьерный декор;молдинги;;796.00
5041;молдинг;1.51.310;Нет;Интерьерный декор;молдинги;;946.00
5042;молдинг;1.51.313;Нет;Интерьерный декор;молдинги;;591.00
5043;молдинг;1.51.315;Нет;Интерьерный декор;молдинги;;612.00
5044;молдинг;1.51.316;Нет;Интерьерный декор;молдинги;;566.00
5045;молдинг;1.51.317;Нет;Интерьерный декор;молдинги;;896.00
5046;молдинг;1.51.318;Нет;Интерьерный декор;молдинги;;634.00
5047;молдинг;1.51.319;Нет;Интерьерный декор;молдинги;;1025.00
5048;молдинг;1.51.320;Нет;Интерьерный декор;молдинги;;977.00
5049;молдинг;1.51.322;Нет;Интерьерный декор;молдинги;;467.00
5050;молдинг;1.51.328;Нет;Интерьерный декор;молдинги;;583.00
5051;молдинг;1.51.330;Нет;Интерьерный декор;молдинги;;615.00
5052;молдинг;1.51.333;Нет;Интерьерный декор;молдинги;;603.00
5053;молдинг;1.51.340;Нет;Интерьерный декор;молдинги;;577.00
5054;молдинг;1.51.341;Нет;Интерьерный декор;молдинги;;808.00
5055;молдинг;1.51.342;Нет;Интерьерный декор;молдинги;;808.00
5056;молдинг;1.51.343;Нет;Интерьерный декор;молдинги;;748.00
5057;молдинг;1.51.344;Нет;Интерьерный декор;молдинги;;808.00
5058;молдинг;1.51.351;Нет;Интерьерный декор;молдинги;;600.00
5059;молдинг;1.51.380;Нет;Интерьерный декор;молдинги;;1346.00
5060;молдинг;1.51.401;Нет;Интерьерный декор;молдинги;;460.00
5061;молдинг;1.51.323;Нет;Интерьерный декор;молдинги;;475.00
5062;молдинг;1.51.339;Нет;Интерьерный декор;молдинги;;765.00
5063;молдинг;1.51.331;Нет;Интерьерный декор;молдинги;;722.00
5064;молдинг;1.51.336;Нет;Интерьерный декор;молдинги;;748.00
5065;молдинг;1.51.334;Нет;Интерьерный декор;молдинги;;567.00
5066;молдинг;1.51.335;Нет;Интерьерный декор;молдинги;;625.00
5067;молдинг;1.51.337;Нет;Интерьерный декор;молдинги;;882.00
5068;молдинг;1.51.348;Нет;Интерьерный декор;молдинги;;591.00
5069;молдинг;1.51.349;Нет;Интерьерный декор;молдинги;;993.00
5070;молдинг;1.51.329;Нет;Интерьерный декор;молдинги;;484.00
5071;молдинг;1.51.347;Нет;Интерьерный декор;молдинги;;930.00
5072;молдинг;1.51.355;Нет;Интерьерный декор;молдинги;;962.00
5073;молдинг;1.51.354;Нет;Интерьерный декор;молдинги;;613.00
5074;молдинг FLEX;1.51.311;Да;Интерьерный декор;гибкие молдинги;;1952.00
5075;молдинг FLEX;1.51.314;Да;Интерьерный декор;гибкие молдинги;;1182.00
5076;молдинг FLEX;1.51.327;Да;Интерьерный декор;гибкие молдинги;;1612.00
5077;молдинг FLEX;1.51.301;Да;Интерьерный декор;гибкие молдинги;;1117.00
5078;молдинг FLEX;1.51.305;Да;Интерьерный декор;гибкие молдинги;;971.00
5079;молдинг FLEX;1.51.321;Да;Интерьерный декор;гибкие молдинги;;915.00
5080;молдинг FLEX;1.51.400;Да;Интерьерный декор;гибкие молдинги;;977.00
5081;молдинг FLEX;1.51.302;Да;Интерьерный декор;гибкие молдинги;;1249.00
5082;молдинг FLEX;1.51.303;Да;Интерьерный декор;гибкие молдинги;;1265.00
5083;молдинг FLEX;1.51.304;Да;Интерьерный декор;гибкие молдинги;;1205.00
5084;молдинг FLEX;1.51.306;Да;Интерьерный декор;гибкие молдинги;;997.00
5085;молдинг FLEX;1.51.307;Да;Интерьерный декор;гибкие молдинги;;1890.00
5086;молдинг FLEX;1.51.324;Да;Интерьерный декор;гибкие молдинги;;915.00
5087;молдинг FLEX;1.51.352;Да;Интерьерный декор;гибкие молдинги;;1129.00
5088;молдинг FLEX;1.51.325;Да;Интерьерный декор;гибкие молдинги;;2017.00
5089;молдинг FLEX;1.51.312;Да;Интерьерный декор;гибкие молдинги;;1114.00
5090;молдинг FLEX;1.51.332;Да;Интерьерный декор;гибкие молдинги;;1495.00
5091;молдинг FLEX;1.51.350;Да;Интерьерный декор;гибкие молдинги;;2031.00
5092;молдинг FLEX;1.51.326;Да;Интерьерный декор;гибкие молдинги;;1164.00
5093;молдинг FLEX;1.51.308;Да;Интерьерный декор;гибкие молдинги;;1114.00
5094;молдинг FLEX;1.51.309;Да;Интерьерный декор;гибкие молдинги;;1592.00
5095;молдинг FLEX;1.51.310;Да;Интерьерный декор;гибкие молдинги;;1890.00
5096;молдинг FLEX;1.51.313;Да;Интерьерный декор;гибкие молдинги;;1182.00
5097;молдинг FLEX;1.51.315;Да;Интерьерный декор;гибкие молдинги;;1221.00
5098;молдинг FLEX;1.51.316;Да;Интерьерный декор;гибкие молдинги;;1129.00
5099;молдинг FLEX;1.51.317;Да;Интерьерный декор;гибкие молдинги;;1790.00
5100;молдинг FLEX;1.51.318;Да;Интерьерный декор;гибкие молдинги;;1265.00
5101;молдинг FLEX;1.51.319;Да;Интерьерный декор;гибкие молдинги;;2049.00
5102;молдинг FLEX;1.51.320;Да;Интерьерный декор;гибкие молдинги;;1952.00
5103;молдинг FLEX;1.51.322;Да;Интерьерный декор;гибкие молдинги;;932.00
5104;молдинг FLEX;1.51.328;Да;Интерьерный декор;гибкие молдинги;;1164.00
5105;молдинг FLEX;1.51.330;Да;Интерьерный декор;гибкие молдинги;;1229.00
5106;молдинг FLEX;1.51.333;Да;Интерьерный декор;гибкие молдинги;;1205.00
5107;молдинг FLEX;1.51.340;Да;Интерьерный декор;гибкие молдинги;;1153.00
5108;молдинг FLEX;1.51.341;Да;Интерьерный декор;гибкие молдинги;;1615.00
5109;молдинг FLEX;1.51.342;Да;Интерьерный декор;гибкие молдинги;;1615.00
5110;молдинг FLEX;1.51.343;Да;Интерьерный декор;гибкие молдинги;;1495.00
5111;молдинг FLEX;1.51.344;Да;Интерьерный декор;гибкие молдинги;;1615.00
5112;молдинг FLEX;1.51.351;Да;Интерьерный декор;гибкие молдинги;;1198.00
