IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4816;карниз;;;2000;;;;1.50.144;82;80;;;;;;;;ВР000005173;КАРНИЗ 1.50.144;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;751.00
4817;карниз;;;2000;;;;1.50.145;264;90;;;;;;;;ВР000001586;КАРНИЗ 1.50.145;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1991.00
4818;карниз;;;2000;;;;1.50.146;74;148;;;;;;;;ВР000005175;КАРНИЗ 1.50.146;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1269.00
4819;карниз;;;2000;;;;1.50.147;127;173;;;;;;;;ВР000001182;КАРНИЗ 1.50.147;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1569.00
4820;карниз;;;2000;;;;1.50.148;120;115;;;;;;;;ВР000006025;КАРНИЗ 1.50.148;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1335.00
4821;карниз;;;2000;;;;1.50.149;188;185;;;;;;;;ВР001021963;КАРНИЗ 1.50.149;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2021.00
4822;карниз;;;2000;;;;1.50.150;40;41;;;;;;;;ВР000001054;КАРНИЗ 1.50.150;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;514.00
4823;карниз;;;2000;;;;1.50.151;144;170;;;;;;;;ВР001021964;КАРНИЗ 1.50.151;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2021.00
4824;карниз;;;2000;;;;1.50.152;155;172;;;;;;;;ВР001021965;КАРНИЗ 1.50.152;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2021.00
4825;карниз;;;2000;;;;1.50.153;160;170;;;;;;;;ВР001021966;КАРНИЗ 1.50.153;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2021.00
4826;карниз;;;2000;;;;1.50.154;23;23;;;;;;;;ВР001022849;КАРНИЗ 1.50.154;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;469.00
4827;карниз;;;2000;;;;1.50.155;17;26;;;;;;;;ВР001022850;КАРНИЗ 1.50.155;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;465.00
4828;карниз;;;2000;;;;1.50.156;30;30;;;;;;;;ВР001022851;КАРНИЗ 1.50.156;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;516.00
4829;карниз;;;2000;;;;1.50.157;31;33;;;;;;;;ВР001022852;КАРНИЗ 1.50.157;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;480.00
4830;карниз;;;2000;;;;1.50.158;33;33;;;;;;;;ВР001022853;КАРНИЗ 1.50.158;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;484.00
4831;карниз;;;2000;;;;1.50.159;22;45;;;;;;;;ВР001022854;КАРНИЗ 1.50.159;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;499.00
4832;карниз;;;2000;;;;1.50.160;70;51;;;;;;;;ВР000001055;КАРНИЗ 1.50.160;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;660.00
4833;карниз;;;2000;;;;1.50.162;61;84;;;;;;;;ВР000002855;КАРНИЗ 1.50.162;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;687.00
4834;карниз;;;2000;;;;1.50.163;68;148;;;;;;;;ВР000002934;КАРНИЗ 1.50.163;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1317.00
4835;карниз;;;2000;;;;1.50.164;123;130;;;;;;;;ВР000002936;КАРНИЗ 1.50.164;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1448.00
4836;карниз;;;2000;;;;1.50.165;81;83;;;;;;;;ВР000001056;КАРНИЗ 1.50.165;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;689.00
4837;карниз;;;2000;;;;1.50.166;86;142;;;;;;;;ВР000004078;КАРНИЗ 1.50.166;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;1396.00
4838;карниз;;;2000;;;;1.50.167;120;119;;;;;;;;ВР000004319;КАРНИЗ 1.50.167;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1416.00
4839;карниз;;;2000;;;;1.50.168;120;119;;;;;;;;ВР000004036;КАРНИЗ 1.50.168;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1416.00
4840;карниз;;;2000;;;;1.50.169;95;102;;;;;;;;ВР000005325;КАРНИЗ 1.50.169;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1335.00
4841;карниз;;;2000;;;;1.50.170;113;80;;;;;;;;ВР000001057;КАРНИЗ 1.50.170;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;758.00
4842;карниз;;;2000;;;;1.50.171;30;45;;;;;;;;ВР001022855;КАРНИЗ 1.50.171;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;495.00
4843;карниз;;;2000;;;;1.50.172;47;44;;;;;;;;ВР001022856;КАРНИЗ 1.50.172;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;513.00
4844;карниз;;;2000;;;;1.50.173;40;55;;;;;;;;ВР001022857;КАРНИЗ 1.50.173;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;516.00
4845;карниз;;;2000;;;;1.50.174;36;61;;;;;;;;ВР001022858;КАРНИЗ 1.50.174;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;527.00
4846;карниз;;;2000;;;;1.50.175;119;133;;;;;;;;ВР000001355;КАРНИЗ 1.50.175;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1408.00
4847;карниз;;;2000;;;;1.50.176;67;131;;;;;;;;ВР000005000;КАРНИЗ 1.50.176;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1289.00
4848;карниз;;;2000;;;;1.50.177;55;120;;;;;;;;ВР000006024;КАРНИЗ 1.50.177;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;767.00
4849;карниз;;;2000;;;;1.50.180;94;120;;;;;;;;ВР000001451;КАРНИЗ 1.50.180;;4,00;103,00;Нет;;;Интерьерный декор;карнизы;;1307.00
4850;карниз;;;2000;;;;1.50.181;38;75;;;;;;;;ВР001023412;КАРНИЗ 1.50.181;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;736.00
4851;карниз;;;2000;;;;1.50.182;40;67;;;;;;;;ВР001023413;КАРНИЗ 1.50.182;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;723.00
4852;карниз;;;2000;;;;1.50.183;84;96;;;;;;;;ВР001023414;КАРНИЗ 1.50.183;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;786.00
4853;карниз;;;2000;;;;1.50.184;72;74;;;;;;;;ВР001023415;КАРНИЗ 1.50.184;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;786.00
4854;карниз;;;2000;;;;1.50.185;98;115;;;;;;;;ВР001023416;КАРНИЗ 1.50.185;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1377.00
4855;карниз;;;2000;;;;1.50.186;56;83;;;;;;;;ВР001023417;КАРНИЗ 1.50.186;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;786.00
4856;карниз;;;2000;;;;1.50.187;51;51;;;;;;;;ВР001023418;КАРНИЗ 1.50.187;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;698.00
4857;карниз;;;2000;;;;1.50.188;50;53;;;;;;;;ВР001023693;КАРНИЗ 1.50.188;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;698.00
4858;карниз;;;2000;;;;1.50.190;25;40;;;;;;;;ВР001024050;КАРНИЗ 1.50.190;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;523.00
4859;карниз;;;2000;;;;1.50.191;25;40;;;;;;;;ВР001024053;КАРНИЗ 1.50.191;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;512.00
4860;карниз;;;2000;;;;1.50.192;40;70;;;;;;;;ВР002025145;КАРНИЗ 1.50.192;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;711.00
4861;карниз;;;2000;;;;1.50.193;55;91;;;;;;;;ВР002025144;КАРНИЗ 1.50.193;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1256.00
4862;карниз;;;2000;;;;1.50.194;51;52;;;;;;;;ВР002025137;КАРНИЗ 1.50.194;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;677.00
4863;карниз;;;2000;;;;1.50.195;51;55;;;;;;;;ВР002025296;КАРНИЗ 1.50.195;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;736.00
4864;карниз;;;2000;;;;1.50.196;55;70;;;;;;;;ВР002025293;КАРНИЗ 1.50.196;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;711.00
4865;карниз;;;2000;;;;1.50.197;73;76;;;;;;;;ВР002025291;КАРНИЗ 1.50.197;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;786.00
4866;карниз;;;2000;;;;1.50.198;88;92;;;;;;;;ВР002025290;КАРНИЗ 1.50.198;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1256.00
4867;карниз;;;2000;;;;1.50.200;55;55;;;;;;;;ВР002025307;КАРНИЗ 1.50.200;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;698.00
4868;карниз;;;2000;;;;1.50.201;130;170;;;;;;;;ВР002025337;КАРНИЗ 1.50.201;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1740.00
4869;карниз;;;2000;;;;1.50.202;97;103;;;;;;;;ВР002025339;КАРНИЗ 1.50.202;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1256.00
4870;карниз;;;2000;;;;1.50.203;115;129;;;;;;;;ВР002025341;КАРНИЗ 1.50.203;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1416.00
4871;карниз;;;2000;;;;1.50.204;40;36;;;;;;;;ВР002025428;КАРНИЗ 1.50.204;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;686.00
4872;карниз;;;2000;;;;1.50.208;70;70;;;;;;;;ВР002025426;КАРНИЗ 1.50.208;;4,00;103,00;Нет;;;Интерьерный декор;карнизы;;762.00
4873;карниз;;;2000;;;;1.50.209;118;150;;;;;;;;ВР000001058;КАРНИЗ 1.50.209;;4,00;103,00;Нет;;;Интерьерный декор;карнизы;;1630.00
4874;карниз;;;2000;;;;1.50.210;121;155;;;;;;;;ВР000001077;КАРНИЗ 1.50.210;;4,00;103,00;Нет;;;Интерьерный декор;карнизы;;1702.00
4875;карниз;;;2000;;;;1.50.211;177;74;;;;;;;;ВР000004385;КАРНИЗ 1.50.211;;4,00;103,00;Нет;;;Интерьерный декор;карнизы;;1745.00
4876;карниз;;;2000;;;;1.50.212;171;74;;;;;;;;ВР000004386;КАРНИЗ 1.50.212;;4,50;93,00;Нет;;;Интерьерный декор;карнизы;;1745.00
4877;карниз;;;2000;;;;1.50.220;122;126;;;;;;;;ВР000001281;КАРНИЗ 1.50.220;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1510.00
4878;карниз;;;2000;;;;1.50.221;140;150;;;;;;;;ВР000001338;КАРНИЗ 1.50.221;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1769.00
4879;карниз;;;2000;;;;1.50.222;162;170;;;;;;;;ВР000001612;КАРНИЗ 1.50.222;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1951.00
4880;карниз;;;2000;;;;1.50.250;73;164;;;;;;;;ВР000005486;КАРНИЗ 1.50.250;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1294.00
4881;карниз;;;2000;;;;1.50.251;55;70;;;;;;;;ВР000005602;КАРНИЗ 1.50.251;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;493.00
4882;карниз;;;2000;;;;1.50.252;120;119;;;;;;;;ВР000004035;КАРНИЗ 1.50.252;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1489.00
4883;карниз;;;2000;;;;1.50.253;66;108;;;;;;;;ВР000005501;КАРНИЗ 1.50.253;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;736.00
4884;карниз;;;2000;;;;1.50.254;93;130;;;;;;;;ВР000005595;КАРНИЗ 1.50.254;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1111.00
4885;карниз;;;2000;;;;1.50.255;82;127;;;;;;;;ВР000005644;КАРНИЗ 1.50.255;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1250.00
4886;карниз;;;2000;;;;1.50.256;132;175;;;;;;;;ВР000005750;КАРНИЗ 1.50.256;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1436.00
4887;карниз;;;2000;;;;1.50.257;38;38;;;;;;;;ВР000005752;КАРНИЗ 1.50.257;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;511.00
4888;карниз;;;2000;;;;1.50.258;25;27;;;;;;;;ВР000005754;КАРНИЗ 1.50.258;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;471.00
4889;карниз;;;2000;;;;1.50.259;36;81;;;;;;;;ВР000005756;КАРНИЗ 1.50.259;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;675.00
4890;карниз;;;2000;;;;1.50.260;133;166;;;;;;;;ВР000006884;КАРНИЗ 1.50.260;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1743.00
4891;карниз;;;1980;;;;1.50.261;102;101;;;;;;;;ВР001000006;КАРНИЗ 1.50.261;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1292.00
4892;карниз;;;2000;;;;1.50.262;50;120;;;;;;;;ВР001000028;КАРНИЗ 1.50.262;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1450.00
4893;карниз;;;2000;;;;1.50.264;170;170;;;;;;;;ВР001002926;КАРНИЗ 1.50.264;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1778.00
4894;карниз;;;2000;;;;1.50.265;115;21;;;;;;;;ВР001007508;КАРНИЗ 1.50.265;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;762.00
4895;карниз;;;2000;;;;1.50.266;76;21;;;;;;;;ВР001007509;КАРНИЗ 1.50.266;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;686.00
4896;карниз;;;2000;;;;1.50.267;171;33;;;;;;;;ВР001007510;КАРНИЗ 1.50.267;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1456.00
4897;карниз;;;2000;;;;1.50.268;170;33;;;;;;;;ВР001007511;КАРНИЗ 1.50.268;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1498.00
4898;карниз;;;2000;;;;1.50.269;220;47;;;;;;;;ВР001007512;КАРНИЗ 1.50.269;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1579.00
4899;карниз;;;2000;;;;1.50.270;220;47;;;;;;;;ВР001007513;КАРНИЗ 1.50.270;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1699.00
4900;карниз;;;2000;;;;1.50.271;165;226;;;;;;;;ВР002025312;КАРНИЗ 1.50.271;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2176.00
4901;карниз;;;2000;;;;1.50.273;130;198;;;;;;;;ВР002025512;КАРНИЗ 1.50.273;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;2507.00
4902;карниз FLEX;;;2000;;;;1.50.114;30;66;1500;1000;;;;;;ВР000005865;КАРНИЗ-ФЛЕКС 1.50.114;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;1351.00
4903;карниз FLEX;;;2000;;;;1.50.115;46;49;2500;2000;;;;;;ВР000005846;КАРНИЗ-ФЛЕКС 1.50.115;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;1089.00
4904;карниз FLEX;;;2000;;;;1.50.116;100;99;4000;3000;;;;;;ВР000005863;КАРНИЗ-ФЛЕКС 1.50.116;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;2752.00
4905;карниз FLEX;;;2000;;;;1.50.117;105;156;3000;2500;;;;;;ВР000005856;КАРНИЗ-ФЛЕКС 1.50.117;;4,50;103,00;Нет;;;Интерьерный декор;гибкие карнизы;;2896.00
4906;карниз FLEX;;;2000;;;;1.50.118;132;130;3500;2500;;;;;;ВР000005875;КАРНИЗ-ФЛЕКС 1.50.118;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;3056.00
4907;карниз FLEX;;;2000;;;;1.50.119;50;117;2500;2000;;;;;;ВР000005873;КАРНИЗ-ФЛЕКС 1.50.119;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;1500.00
4908;карниз FLEX;;;2000;;;;1.50.120;122;143;4500;4000;;;;;;ВР000005874;КАРНИЗ-ФЛЕКС 1.50.120;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;3138.00
4909;карниз FLEX;;;2000;;;;1.50.121;50;100;1000;1000;;;;;;ВР000005853;КАРНИЗ-ФЛЕКС 1.50.121;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;1471.00
4910;карниз FLEX;;;2000;;;;1.50.122;40;50;1500;1000;;;;;;ВР000005847;КАРНИЗ-ФЛЕКС 1.50.122;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;963.00
4911;карниз FLEX;;;2000;;;;1.50.100;55;64;3000;2500;;;;;;ВР000005843;КАРНИЗ-ФЛЕКС 1.50.100;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;1353.00
4912;карниз FLEX;;;2000;;;;1.50.102;75;72;3500;3500;;;;;;ВР000005914;КАРНИЗ-ФЛЕКС 1.50.102;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;1071.00
4913;карниз FLEX;;;2000;;;;1.50.103;50;50;1500;1000;;;;;;ВР000005908;КАРНИЗ-ФЛЕКС 1.50.103;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;1080.00
4914;карниз FLEX;;;2000;;;;1.50.104;77;114;2500;1500;;;;;;ВР000005862;КАРНИЗ-ФЛЕКС 1.50.104;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;2679.00
4915;карниз FLEX;;;2000;;;;1.50.105;63;60;3000;2500;;;;;;ВР000005897;КАРНИЗ-ФЛЕКС 1.50.105;;4,00;72,50;Нет;;;Интерьерный декор;гибкие карнизы;;1318.00
4916;карниз FLEX;;;2000;;;;1.50.106;90;72;3000;2500;;;;;;ВР000006081;КАРНИЗ-ФЛЕКС 1.50.106;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;1422.00
4917;карниз FLEX;;;2000;;;;1.50.107;108;148;4500;4000;;;;;;ВР000005909;КАРНИЗ-ФЛЕКС 1.50.107;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;2815.00
4918;карниз FLEX;;;2000;;;;1.50.109;188;84;5000;4500;;;;;;ВР000005883;КАРНИЗ-ФЛЕКС 1.50.109;;4,00;93,00;Нет;;;Интерьерный декор;гибкие карнизы;;3056.00
