IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1
4839;карниз 1.50.168;2000;;;;1.50.168;120;119;;;;;Нет;;;;;;2625.00
4840;карниз 1.50.169;2000;;;;1.50.169;96;99;;;;;Нет;;;;;;2475.00
4841;карниз 1.50.170;2000;;;;1.50.170;113;79;;;;;Нет;;;;;;1391.00
4842;карниз 1.50.171;2000;;;;1.50.171;30;45;;;;;Нет;;;;;;919.00
4843;карниз 1.50.172;2000;;;;1.50.172;48;47;;;;;Нет;;;;;;954.00
4844;карниз 1.50.173;2000;;;;1.50.173;40;55;;;;;Нет;;;;;;958.00
4845;карниз 1.50.174;2000;;;;1.50.174;36;62;;;;;Нет;;;;;;973.00
4846;карниз 1.50.175;2000;;;;1.50.175;117;135;;;;;Нет;;;;;;2610.00
4847;карниз 1.50.176;2000;;;;1.50.176;68;131;;;;;Нет;;;;;;2365.00
4848;карниз 1.50.177;2000;;;;1.50.177;56;119;;;;;Нет;;;;;;1424.00
4849;карниз 1.50.180;2000;;;;1.50.180;91;121;;;;;Нет;;;;;;2422.00
4850;карниз 1.50.181;2000;;;;1.50.181;39;75;;;;;Нет;;;;;;1364.00
4851;карниз 1.50.182;2000;;;;1.50.182;41;69;;;;;Нет;;;;;;1344.00
4852;карниз 1.50.183;2000;;;;1.50.183;84;96;;;;;Нет;;;;;;1459.00
4853;карниз 1.50.184;2000;;;;1.50.184;73;73;;;;;Нет;;;;;;1459.00
4854;карниз 1.50.185;2000;;;;1.50.185;98;115;;;;;Нет;;;;;;2553.00
4855;карниз 1.50.186;2000;;;;1.50.186;55;82;;;;;Нет;;;;;;1459.00
4856;карниз 1.50.187;2000;;;;1.50.187;50;52;;;;;Нет;;;;;;1295.00
4857;карниз 1.50.188;2000;;;;1.50.188;50;53;;;;;Нет;;;;;;1295.00
4858;карниз 1.50.190;2000;;;;1.50.190;25;40;;;;;Нет;;;;;;971.00
4859;карниз 1.50.191;2000;;;;1.50.191;25;40;;;;;Нет;;;;;;953.00
4860;карниз 1.50.192;2000;;;;1.50.192;40;70;;;;;Нет;;;;;;1321.00
4861;карниз 1.50.193;2000;;;;1.50.193;57;90;;;;;Нет;;;;;;1361.00
4862;карниз 1.50.194;2000;;;;1.50.194;50;50;;;;;Нет;;;;;;1252.00
4863;карниз 1.50.195;2000;;;;1.50.195;53;53;;;;;Нет;;;;;;1364.00
4864;карниз 1.50.196;2000;;;;1.50.196;53;70;;;;;Нет;;;;;;1321.00
4865;карниз 1.50.197;2000;;;;1.50.197;73;77;;;;;Нет;;;;;;1459.00
4866;карниз 1.50.198;2000;;;;1.50.198;92;87;;;;;Нет;;;;;;1430.00
4867;карниз 1.50.200;2000;;;;1.50.200;55;55;;;;;Нет;;;;;;1295.00
4868;карниз 1.50.201;2000;;;;1.50.201;130;171;;;;;Нет;;;;;;3225.00
4870;карниз 1.50.203;2000;;;;1.50.203;128;116;;;;;Нет;;;;;;2566.00
4871;карниз 1.50.204;2000;;;;1.50.204;40;36;;;;;Нет;;;;;;1252.00
4872;карниз 1.50.208;2000;;;;1.50.208;71;71;;;;;Нет;;;;;;1391.00
4873;карниз 1.50.209;2000;;;;1.50.209;117;152;;;;;Нет;;;;;;3020.00
4874;карниз 1.50.210;2000;;;;1.50.210;121;156;;;;;Нет;;;;;;3156.00
4875;карниз 1.50.211;2000;;;;1.50.211;176;72;;;;;Нет;;;;;;3234.00
4876;карниз 1.50.212;2000;;;;1.50.212;169;74;;;;;Нет;;;;;;3234.00
4877;карниз 1.50.220;2000;;;;1.50.220;122;127;;;;;Нет;;;;;;2801.00
4878;карниз 1.50.221;2000;;;;1.50.221;143;150;;;;;Нет;;;;;;3279.00
4879;карниз 1.50.222;2000;;;;1.50.222;164;166;;;;;Нет;;;;;;3616.00
4880;карниз 1.50.250;2000;;;;1.50.250;72;164;;;;;Нет;;;;;;2365.00
4881;карниз 1.50.251;2000;;;;1.50.251;55;70;;;;;Нет;;;;;;917.00
4882;карниз 1.50.252;2000;;;;1.50.252;120;119;;;;;Нет;;;;;;2760.00
4883;карниз 1.50.253;2000;;;;1.50.253;64;109;;;;;Нет;;;;;;1364.00
4884;карниз 1.50.254;2000;;;;1.50.254;93;130;;;;;Нет;;;;;;2062.00
4885;карниз 1.50.255;2000;;;;1.50.255;81;127;;;;;Нет;;;;;;2318.00
4886;карниз 1.50.256;2000;;;;1.50.256;133;173;;;;;Нет;;;;;;2663.00
4887;карниз 1.50.257;2000;;;;1.50.257;39;39;;;;;Нет;;;;;;952.00
4888;карниз 1.50.258;2000;;;;1.50.258;25;27;;;;;Нет;;;;;;876.00
4889;карниз 1.50.259;2000;;;;1.50.259;37;81;;;;;Нет;;;;;;1252.00
4890;карниз 1.50.260;2000;;;;1.50.260;133;166;;;;;Нет;;;;;;3232.00
4891;карниз 1.50.261;2000;;;;1.50.261;103;100;;;;;Нет;;;;;;1837.00
4892;карниз 1.50.262;2000;;;;1.50.262;50;120;;;;;Нет;;;;;;2689.00
4893;карниз 1.50.264;2000;;;;1.50.264;170;170;;;;;Нет;;;;;;3295.00
4894;карниз 1.50.265;2000;;;;1.50.265;21;114;;;;;Нет;;;;;;1391.00
4895;карниз 1.50.266;2000;;;;1.50.266;75;21;;;;;Нет;;;;;;1252.00
4896;карниз 1.50.267;2000;;;;1.50.267;171;32;;;;;Нет;;;;;;2700.00
4897;карниз 1.50.268;2000;;;;1.50.268;170;32;;;;;Нет;;;;;;2777.00
4898;карниз 1.50.269;2000;;;;1.50.269;220;47;;;;;Нет;;;;;;2927.00
4899;карниз 1.50.270;2000;;;;1.50.270;220;46;;;;;Нет;;;;;;3149.00
4900;карниз 1.50.271;2000;;;;1.50.271;165;226;;;;;Нет;;;;;;4032.00
4901;карниз 1.50.273;2000;;;;1.50.273;130;198;;;;;Нет;;;;;;3369.00
4902;карниз 1.50.114 гибкий;2000;;;;1.50.114;32;65;;;;;Да;;;1500;1000;;2503.00
4903;карниз 1.50.115 гибкий;2000;;;;1.50.115;46;49;;;;;Да;;;2500;2000;;2022.00
4904;карниз 1.50.116 гибкий;2000;;;;1.50.116;99;100;;;;;Да;;;4000;3000;;5106.00
4905;карниз 1.50.117 гибкий;2000;;;;1.50.117;104;154;;;;;Да;;;3000;2500;;4476.00
4906;карниз 1.50.118 гибкий;2000;;;;1.50.118;131;130;;;;;Да;;;3500;2500;;5665.00
4907;карниз 1.50.119 гибкий;2000;;;;1.50.119;56;113;;;;;Да;;;2500;2000;;2781.00
4908;карниз 1.50.120 гибкий;2000;;;;1.50.120;112;142;;;;;Да;;;4500;4000;;5658.00
4909;карниз 1.50.121 гибкий;2000;;;;1.50.121;50;101;;;;;Да;;;1000;1000;;2728.00
4910;карниз 1.50.122 гибкий;2000;;;;1.50.122;40;50;;;;;Да;;;1500;1000;;1794.00
4911;карниз 1.50.100 гибкий;2000;;;;1.50.100;55;64;;;;;Да;;;3000;2500;;2182.00
4912;карниз 1.50.102 гибкий;2000;;;;1.50.102;76;69;;;;;Да;;;3500;3500;;1995.00
4913;карниз 1.50.103 гибкий;2000;;;;1.50.103;50;50;;;;;Да;;;1500;1000;;2012.00
4914;карниз 1.50.104 гибкий;2000;;;;1.50.104;73;116;;;;;Да;;;2500;1500;;4965.00
4915;карниз 1.50.105 гибкий;2000;;;;1.50.105;63;60;;;;;Да;;;2000;1500;;2448.00
4916;карниз 1.50.106 гибкий;2000;;;;1.50.106;90;71;;;;;Да;;;3000;2500;;2642.00
4917;карниз 1.50.107 гибкий;2000;;;;1.50.107;107;148;;;;;Да;;;4500;4000;;5218.00
4918;карниз 1.50.109 гибкий;2000;;;;1.50.109;190;78;;;;;Да;;;5000;4500;;5665.00
4919;карниз 1.50.110 гибкий;2000;;;;1.50.110;189;169;;;;;Да;;;4500;4000;;6412.00
4920;карниз 1.50.111 гибкий;2000;;;;1.50.111;118;112;;;;;Да;;;3500;2500;;5248.00
4921;карниз 1.50.112 гибкий;2000;;;;1.50.112;39;74;;;;;Да;;;1500;1000;;2604.00
4922;карниз 1.50.113 гибкий;2000;;;;1.50.113;80;83;;;;;Да;;;4000;3000;;2484.00
4923;карниз 1.50.123 гибкий;2000;;;;1.50.123;30;30;;;;;Да;;;1000;550;;1855.00
4924;карниз 1.50.124 гибкий;2000;;;;1.50.124;55;115;;;;;Да;;;1500;1500;;4636.00
4925;карниз 1.50.125 гибкий;2000;;;;1.50.125;85;90;;;;;Да;;;2500;2000;;3890.00
4926;карниз 1.50.126 гибкий;2000;;;;1.50.126;90;93;;;;;Да;;;2500;1500;;2726.00
4927;карниз 1.50.127 гибкий;2000;;;;1.50.127;46;89;;;;;Да;;;2000;1500;;2642.00
4928;карниз 1.50.128 гибкий;2000;;;;1.50.128;66;144;;;;;Да;;;1500;2000;;4508.00
4929;карниз 1.50.129 гибкий;2000;;;;1.50.129;74;85;;;;;Да;;;2500;1500;;2667.00
4930;карниз 1.50.130 гибкий;2000;;;;1.50.130;30;32;;;;;Да;;;1000;550;;1870.00
4931;карниз 1.50.131 гибкий;2000;;;;1.50.131;136;63;;;;;Да;;;3000;2500;;4192.00
4932;карниз 1.50.132 гибкий;2000;;;;1.50.132;117;218;;;;;Да;;;2500;3000;;5040.00
4933;карниз 1.50.133 гибкий;2000;;;;1.50.133;115;120;;;;;Да;;;3500;2500;;3664.00
4934;карниз 1.50.134 гибкий;2000;;;;1.50.134;193;150;;;;;Да;;;4500;4000;;6559.00
4935;карниз 1.50.135 гибкий;2000;;;;1.50.135;159;40;;;;;Да;;;3500;3500;;4729.00
4936;карниз 1.50.136 гибкий;2000;;;;1.50.136;61;165;;;;;Да;;;3500;3000;;5301.00
4937;карниз 1.50.137 гибкий;2000;;;;1.50.137;185;190;;;;;Да;;;4500;4000;;6941.00
4938;карниз 1.50.138 гибкий;2000;;;;1.50.138;151;165;;;;;Да;;;4000;3500;;5815.00
4939;карниз 1.50.139 гибкий;2000;;;;1.50.139;99;100;;;;;Да;;;2500;2000;;4451.00
4940;карниз 1.50.140 гибкий;2000;;;;1.50.140;56;56;;;;;Да;;;2000;1500;;2597.00
4941;карниз 1.50.141 гибкий;2000;;;;1.50.141;68;72;;;;;Да;;;2000;1500;;2597.00
4942;карниз 1.50.142 гибкий;2000;;;;1.50.142;195;45;;;;;Да;;;>5000;;;5815.00
4943;карниз 1.50.143 гибкий;2000;;;;1.50.143;69;73;;;;;Да;;;>5000;;;2503.00
4944;карниз 1.50.144 гибкий;2000;;;;1.50.144;82;81;;;;;Да;;;2500;1500;;2781.00
4945;карниз 1.50.145 гибкий;2000;;;;1.50.145;262;92;;;;;Да;;;>5000;;;7383.00
4946;карниз 1.50.146 гибкий;2000;;;;1.50.146;76;149;;;;;Да;;;>5000;;;4704.00
4947;карниз 1.50.147 гибкий;2000;;;;1.50.147;125;173;;;;;Да;;;4500;4500;;5815.00
4948;карниз 1.50.148 гибкий;2000;;;;1.50.148;120;117;;;;;Да;;;3500;3000;;4950.00
4950;карниз 1.50.150 гибкий;2000;;;;1.50.150;40;41;;;;;Да;;;1500;1000;;1908.00
4951;карниз 1.50.151 гибкий;2000;;;;1.50.151;144;171;;;;;Да;;;3500;3500;;7495.00
4952;карниз 1.50.152 гибкий;2000;;;;1.50.152;155;172;;;;;Да;;;3500;3500;;7495.00
4953;карниз 1.50.153 гибкий;2000;;;;1.50.153;159;170;;;;;Да;;;3000;2500;;7495.00
4954;карниз 1.50.154 гибкий;2000;;;;1.50.154;23;23;;;;;Да;;;1000;550;;1742.00
4955;карниз 1.50.155 гибкий;2000;;;;1.50.155;16;25;;;;;Да;;;1000;1000;;1727.00
4956;карниз 1.50.156 гибкий;2000;;;;1.50.156;30;30;;;;;Да;;;1000;1000;;1916.00
4957;карниз 1.50.157 гибкий;2000;;;;1.50.157;31;33;;;;;Да;;;1000;550;;1780.00
4958;карниз 1.50.158 гибкий;2000;;;;1.50.158;34;33;;;;;Да;;;1000;550;;1800.00
4959;карниз 1.50.159 гибкий;2000;;;;1.50.159;28;44;;;;;Да;;;1000;550;;1851.00
4960;карниз 1.50.160 гибкий;2000;;;;1.50.160;70;50;;;;;Да;;;2000;1500;;2448.00
4961;карниз 1.50.162 гибкий;2000;;;;1.50.162;60;85;;;;;Да;;;2000;1500;;2503.00
4962;карниз 1.50.163 гибкий;2000;;;;1.50.163;65;151;;;;;Да;;;2000;2000;;4881.00
4963;карниз 1.50.164 гибкий;2000;;;;1.50.164;126;126;;;;;Да;;;3500;3000;;5368.00
4964;карниз 1.50.165 гибкий;2000;;;;1.50.165;80;82;;;;;Да;;;2500;2000;;2553.00
4965;карниз 1.50.166 гибкий;2000;;;;1.50.166;87;142;;;;;Да;;;2500;2500;;5174.00
4966;карниз 1.50.168 гибкий;2000;;;;1.50.168;120;119;;;;;Да;;;3000;3000;;5248.00
4967;карниз 1.50.169 гибкий;2000;;;;1.50.169;96;99;;;;;Да;;;2500;2000;;4950.00
4968;карниз 1.50.170 гибкий;2000;;;;1.50.170;113;79;;;;;Да;;;2500;2000;;2781.00
4969;карниз 1.50.171 гибкий;2000;;;;1.50.171;30;45;;;;;Да;;;1000;550;;1838.00
4970;карниз 1.50.172 гибкий;2000;;;;1.50.172;48;47;;;;;Да;;;1500;1000;;1906.00
4971;карниз 1.50.173 гибкий;2000;;;;1.50.173;40;55;;;;;Да;;;1500;1000;;1916.00
4972;карниз 1.50.174 гибкий;2000;;;;1.50.174;36;62;;;;;Да;;;1500;1000;;1946.00
4973;карниз 1.50.175 гибкий;2000;;;;1.50.175;117;135;;;;;Да;;;2500;2000;;5218.00
4974;карниз 1.50.176 гибкий;2000;;;;1.50.176;68;131;;;;;Да;;;1500;2000;;4729.00
4975;карниз 1.50.177 гибкий;2000;;;;1.50.177;56;119;;;;;Да;;;1500;1500;;2847.00
4976;карниз 1.50.180 гибкий;2000;;;;1.50.180;91;121;;;;;Да;;;2500;2000;;4843.00
4977;карниз 1.50.181 гибкий;2000;;;;1.50.181;39;75;;;;;Да;;;1500;1000;;2728.00
4978;карниз 1.50.182 гибкий;2000;;;;1.50.182;41;69;;;;;Да;;;1500;1000;;2686.00
