IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP257;IP_PROP258;CV_PRICE_1;IP_PROP565;IP_PROP600;IP_PROP670
4829;карниз 1.50.157;1.50.157;Нет;41,91;5906;369;267;14,28;14,28;891.00;45,2;167239;802
4830;карниз 1.50.158;1.50.158;Нет;42,38;5969;373;270;14,28;14,28;901.00;45,8;169201;809
4831;карниз 1.50.159;1.50.159;Нет;43,56;6119;382;278;14,71;14,71;926.00;47,1;173614;831
4832;карниз 1.50.160;1.50.160;Нет;57,58;8101;507;366;19,48;19,48;1224.00;62,3;229524;1100
4833;карниз 1.50.162;1.50.162;Нет;58,89;8293;528;375;20,35;20,35;1252.00;63,7;234919;1124
4834;карниз 1.50.163;1.50.163;Нет;114,82;16159;1010;729;38,53;38,53;2441.00;124,2;457577;2191
4835;карниз 1.50.164;1.50.164;Нет;126,3;17758;1112;802;42,42;42,42;2685.00;136,5;503187;2407
4836;карниз 1.50.165;1.50.165;Нет;60,07;8464;529;382;20,17;20,17;1277.00;64,9;239333;1146
4837;карниз 1.50.166;1.50.166;Нет;121,74;17119;1071;773;40,69;40,69;2588.00;131,6;485042;2322
4838;карниз 1.50.167;1.50.167;Нет;123,48;17375;1087;785;40,32;40,32;2625.00;133,4;491908;2355
4839;карниз 1.50.168;1.50.168;Нет;123,48;17375;1087;785;40,32;40,32;2625.00;133,4;491908;2355
4840;карниз 1.50.169;1.50.169;Нет;116,42;16373;1024;740;38,96;38,96;2475.00;125,8;463953;2221
4841;карниз 1.50.170;1.50.170;Нет;65,43;9210;582;416;22,08;22,08;1391.00;70,7;260912;1249
4842;карниз 1.50.171;1.50.171;Нет;43,23;6097;380;275;14,71;14,71;919.00;46,7;172634;825
4843;карниз 1.50.172;1.50.172;Нет;44,88;6311;394;286;15,15;15,15;954.00;48,4;179009;858
4844;карниз 1.50.173;1.50.173;Нет;45,06;6353;397;287;15,15;15,15;958.00;48,8;179500;861
4845;карниз 1.50.174;1.50.174;Нет;45,77;6460;404;292;15,38;15,38;973.00;49,5;182442;874
4846;карниз 1.50.175;1.50.175;Нет;122,77;17268;1081;781;41,13;41,13;2610.00;132,6;489455;2342
4847;карниз 1.50.176;1.50.176;Нет;111,25;15648;989;707;37,66;37,66;2365.00;120,3;443355;2121
4848;карниз 1.50.177;1.50.177;Нет;66,98;9423;589;426;22,52;22,52;1424.00;72,3;266798;1278
4849;карниз 1.50.180;1.50.180;Нет;113,93;16032;1002;724;36,63;36,63;2422.00;123,1;454144;2175
4850;карниз 1.50.181;1.50.181;Нет;64,16;9039;565;408;21,65;21,65;1364.00;69,4;256007;1225
4851;карниз 1.50.182;1.50.182;Нет;63,22;8890;555;402;21,21;21,21;1344.00;68,3;252084;1205
4852;карниз 1.50.183;1.50.183;Нет;68,63;9657;604;436;22,93;22,93;1459.00;74,1;273664;1310
4853;карниз 1.50.184;1.50.184;Нет;68,63;9657;604;436;22,93;22,93;1459.00;74,1;273664;1310
4854;карниз 1.50.185;1.50.185;Нет;120,09;16906;1058;763;40,26;40,26;2553.00;129,9;478665;2293
4855;карниз 1.50.186;1.50.186;Нет;68,63;9657;604;436;22,93;22,93;1459.00;74,1;273664;1310
4856;карниз 1.50.187;1.50.187;Нет;60,92;8570;536;388;20,35;20,35;1295.00;65,8;242766;1162
4857;карниз 1.50.188;1.50.188;Нет;60,92;8570;536;388;20,35;20,35;1295.00;65,8;242766;1162
4858;карниз 1.50.190;1.50.190;Нет;45,68;6438;402;290;15,57;15,57;971.00;49,4;181952;874
4859;карниз 1.50.191;1.50.191;Нет;44,83;6311;394;285;15,15;15,15;953.00;48,4;179009;854
4860;карниз 1.50.192;1.50.192;Нет;62,14;8741;547;395;20,78;20,78;1321.00;67,1;247670;1186
4861;карниз 1.50.193;1.50.193;Нет;64,02;9018;563;407;36,8;36,8;1361.00;69,2;255027;1222
4862;карниз 1.50.194;1.50.194;Нет;58,89;8293;519;375;19,92;19,92;1252.00;63,7;234919;1124
4863;карниз 1.50.195;1.50.195;Нет;64,16;9039;565;408;21,65;21,65;1364.00;69,4;256007;1225
4864;карниз 1.50.196;1.50.196;Нет;62,14;8741;547;395;20,78;20,78;1321.00;67,1;247670;1186
4865;карниз 1.50.197;1.50.197;Нет;68,63;9657;604;436;22,93;22,93;1459.00;74,1;273664;1310
4866;карниз 1.50.198;1.50.198;Нет;67,27;9466;592;427;36,8;36,8;1430.00;72,7;268268;1285
4867;карниз 1.50.200;1.50.200;Нет;60,92;8570;536;388;20,35;20,35;1295.00;65,8;242766;1162
4868;карниз 1.50.201;1.50.201;Нет;151,7;21340;1336;963;50,65;50,65;3225.00;164,1;604217;2894
4870;карниз 1.50.203;1.50.203;Нет;123,48;16991;1087;785;41,13;41,13;2566.00;133,4;481118;2355
4871;карниз 1.50.204;1.50.204;Нет;58,89;8293;528;375;20,35;20,35;1252.00;63,7;234919;1124
4872;карниз 1.50.208;1.50.208;Нет;65,43;9210;586;416;22,52;22,52;1391.00;70,7;260912;1249
4873;карниз 1.50.209;1.50.209;Нет;142,06;19975;1251;903;45,79;45,79;3020.00;153,7;565963;2711
4874;карниз 1.50.210;1.50.210;Нет;148,46;20892;1306;943;49,78;49,78;3156.00;160,4;591466;2832
4875;карниз 1.50.211;1.50.211;Нет;152,13;21404;1339;967;;;3234.00;164,5;606180;2901
4876;карниз 1.50.212;1.50.212;Нет;152,13;21404;1339;967;;;3234.00;164,5;606180;2901
4877;карниз 1.50.220;1.50.220;Нет;131,76;18526;1159;837;44,16;44,16;2801.00;142,4;524767;2512
4878;карниз 1.50.221;1.50.221;Нет;154,24;21702;1356;980;51,52;51,52;3279.00;166,7;614516;2943
4879;карниз 1.50.222;1.50.222;Нет;170,1;23919;1498;1080;56,72;56,72;3616.00;184;677782;3245
4880;карниз 1.50.250;1.50.250;Нет;111,25;15648;993;707;37,66;37,66;2365.00;120,3;443355;2121
4881;карниз 1.50.251;1.50.251;Нет;43,14;6076;379;274;14,71;14,71;917.00;46,5;172143;825
4882;карниз 1.50.252;1.50.252;Нет;129,83;18270;1142;825;42,54;42,54;2760.00;140,3;517410;2476
4883;карниз 1.50.253;1.50.253;Нет;64,16;9039;565;408;21,65;21,65;1364.00;69,4;256007;1225
4884;карниз 1.50.254;1.50.254;Нет;97;13644;854;617;31,22;31,22;2062.00;104,8;386463;1853
