Наименование;Артикул;Количество; Сумма,  руб. 
﻿ замковый  камень  4.85.005 ;4.85.005;6;9096
﻿ наличник  4.84.005 ;4.84.005;135;250155
﻿ молдинг  1.51.359 ;1.51.359;4;4300
﻿ молдинг  1.51.359  гибкий ;1.51.359;6;12894
﻿ наличник  4.84.006 ;4.84.006;23;85215
﻿ карниз  4.91.003 ;4.91.003;4;31120
﻿ кронштейн-пьедестал  4.83.002 ;4.83.002;10;6390
﻿ молдинг  1.51.346  гибкий ;1.51.346;1;1838
﻿ угловой  элемент  1.52.322 ;1.52.322;16;12352
﻿ угловой  элемент  1.52.286 ;1.52.286;1;807
﻿ угловой  элемент  1.52.287 ;1.52.287;5;4285
﻿ карниз  1.50.108  гибкий ;1.50.108;1;5602
﻿ карниз  1.50.276 ;1.50.276;181;266531
﻿ карниз  1.50.278 ;1.50.278;50;72950
﻿ розетка  1.56.044 ;1.56.044;16;47679
﻿ молдинг  1.51.360 ;1.51.360;11;12705
﻿ молдинг  1.51.363 ;1.51.363;282;327303
﻿ молдинг  1.51.363  гибкий ;1.51.363;15;34323
﻿ молдинг  1.51.362 ;1.51.362;211;230836
﻿ молдинг  1.51.362  гибкий ;1.51.362;7;15008
﻿ молдинг  1.51.370 ;1.51.370;19;22401
﻿ плинтус  1.53.110 ;1.53.110;146;292647
﻿ плинтус  1.53.110  гибкий ;1.53.110;11;44784
﻿ E03.S.60  /  Клей  Европласт  стыковочный  SMP  60  мл. ;E03.S.60;91;47312
﻿ база  1.54.030 ;1.54.030;6;6188
﻿ квадрат  1.54.013 ;1.54.013;10;3855
﻿ квадрат  1.54.013 ;1.54.013;13;4771
﻿ база  1.54.030 ;1.54.030;2;1996
﻿ угловой  элемент  1.52.285 ;1.52.285;54;45495
﻿ молдинг  1.51.367 ;1.51.367;48;84060
﻿ молдинг  1.51.367  гибкий ;1.51.367;3;10311
﻿ карниз  1.50.280 ;1.50.280;3;10791
﻿ молдинг  1.51.368 ;1.51.368;7;15142
﻿ орнамент  1.60.025 ;1.60.025;1;1443
﻿ орнамент  1.60.032 ;1.60.032;14;35626
﻿ орнамент  1.60.020 ;1.60.020;2;946
﻿ орнамент  1.60.120 ;1.60.120;2;946
﻿ внешний  угол  4.81.011 ;4.81.011;4;5772
﻿ внешний  угол  4.01.113 ;4.01.113;1;8055
﻿ МОНТАЖНЫЙ  КОМПЛЕКТ ;m_comp_b201;35;311500
﻿ полуоснование  4.74.211 ;4.74.211;1;7428
﻿ орнамент  1.60.026 ;1.60.026;4;1940
﻿ карниз  1.50.281 ;1.50.281;39;143091
﻿ молдинг  1.51.374 ;1.51.374;21;37428
﻿ молдинг  1.51.374  гибкий ;1.51.374;1;3325
﻿ орнамент  1.60.021 ;1.60.021;8;22050
﻿ орнамент  1.60.022 ;1.60.022;6;21090
﻿ орнамент  1.60.024 ;1.60.024;5;7140
﻿ орнамент  1.60.028 ;1.60.028;1;1832
﻿ кронштейн  1.19.010 ;1.19.010;12;20972
﻿ карниз  1.50.286 ;1.50.286;61;85163
﻿ молдинг  1.51.387 ;1.51.387;4;7000
﻿ молдинг  1.51.388 ;1.51.388;1;1750
﻿ база  1.54.040 ;1.54.040;2;2258
﻿ база  1.54.050 ;1.54.050;5;5520
﻿ карниз  1.50.288 ;1.50.288;95;125620
﻿ молдинг  1.51.375 ;1.51.375;18;20226
﻿ карниз  1.50.288  гибкий ;1.50.288;4;10956
﻿ орнамент  1.60.034 ;1.60.034;4;5384
﻿ молдинг  1.51.373 ;1.51.373;4;6884
﻿ орнамент  1.60.030 ;1.60.030;3;3741
﻿ карниз  1.50.277 ;1.50.277;18;49932
﻿ орнамент  1.60.031 ;1.60.031;6;7422
﻿ сандрик  4.89.001 ;4.89.001;32;154848
﻿ торцевой  элемент  4.34.132 ;4.34.132;2;862
﻿ торцевой  элемент  4.01.331 ;4.01.331;68;266696
﻿ торцевой  элемент  4.03.331 ;4.03.331;3;1173
﻿ торцевой  элемент  4.04.231 ;4.04.231;24;9384
﻿ торцевой  элемент  4.82.031 ;4.82.031;32;15616
﻿ арочное  обрамление  4.87.033  гибкий ;4.87.033;9;28656
﻿ карниз  1.50.281  гибкий ;1.50.281;1;7337
﻿ элемент  камина  1.64.001 ;1.64.001;3;48735
﻿ элемент  камина  1.64.002 ;1.64.002;3;28443
﻿ элемент  камина  1.64.003 ;1.64.003;3;28443
﻿ розетка  1.56.050 ;1.56.050;37;70374
﻿ розетка  1.56.047 ;1.56.047;6;11082
﻿ молдинг  1.51.369 ;1.51.369;2;2918
﻿ розетка  1.56.045 ;1.56.045;9;39676
﻿ кронштейн  1.19.009 ;1.19.009;1;1719
﻿ орнамент  1.60.037 ;1.60.037;8;12168
﻿ орнамент  1.60.038 ;1.60.038;2;2902
﻿ наличник  1.54.014 ;1.54.014;4;11300
﻿ розетка  1.56.043 ;1.56.043;1;1591
﻿ розетка  1.56.049 ;1.56.049;5;6975
﻿ угловой  элемент  1.52.375 ;1.52.375;16;15652
﻿ кронштейн  1.19.013 ;1.19.013;2;4224
﻿ молдинг  1.51.338 ;1.51.338;34;31691
﻿ угловой  элемент  1.52.283 ;1.52.283;10;8690
﻿ угловой  элемент  1.52.284 ;1.52.284;2;1838
﻿ кронштейн  1.19.012 ;1.19.012;5;8939
﻿ карниз  1.50.225 ;1.50.225;26;33496
﻿ карниз  1.50.226 ;1.50.226;88;120076
﻿ карниз  1.50.289 ;1.50.289;90;109890
﻿ карниз  1.50.206 ;1.50.206;9;9846
﻿ карниз  1.50.295 ;1.50.295;49;45815
﻿ карниз  1.50.293 ;1.50.293;143;209671
﻿ карниз  1.50.294 ;1.50.294;17;16915
﻿ карниз  1.50.293  гибкий ;1.50.293;12;34920
﻿ карниз  1.50.290  гибкий ;1.50.290;4;10324
﻿ карниз  1.50.295  гибкий ;1.50.295;4;7480
﻿ молдинг  1.51.382 ;1.51.382;2;3736
﻿ молдинг  1.51.377 ;1.51.377;214;203808
﻿ молдинг  1.51.379 ;1.51.379;914;868682
﻿ карниз  1.50.272 ;1.50.272;8;7960
﻿ молдинг  1.51.379  гибкий ;1.51.379;9;17900
﻿ молдинг  1.51.371 ;1.51.371;4;5932
﻿ карниз  1.50.292 ;1.50.292;57;54843
﻿ карниз  1.50.292  гибкий ;1.50.292;3;6090
﻿ карниз  1.50.225  гибкий ;1.50.225;2;5262
﻿ молдинг  1.51.378 ;1.51.378;614;553447
﻿ квадрат  1.54.017 ;1.54.017;12;4380
﻿ карниз  1.50.503 ;1.50.503;9;31505
﻿ молдинг  1.51.503 ;1.51.503;15;29805
﻿ молдинг  1.51.504 ;1.51.504;15;20670
﻿ молдинг  1.51.510 ;1.51.510;37;83228
﻿ декоративная  панель  1.59.501 ;1.59.501;13;23569
﻿ декоративная  панель  1.59.503 ;1.59.503;10;24410
﻿ орнамент  1.60.501 ;1.60.501;17;10652
﻿ розетка  1.56.501 ;1.56.501;10;17050
﻿ розетка  1.56.502 ;1.56.502;5;15535
﻿ розетка  1.56.503 ;1.56.503;5;35950
﻿ декоративная  панель  1.59.001 ;1.59.001;20;44120
﻿ плинтус  1.53.112  гибкий ;1.53.112;17;49419
﻿ молдинг  6.51.301 ;6.51.301;43;16388
﻿ молдинг  6.51.322 ;6.51.322;9;1746
﻿ плинтус  6.53.105 ;6.53.105;13;13650
﻿     1.51.711 ;1.51.711;99;232466
﻿     6.50.702 ;6.50.702;3;2100
﻿     6.50.704 ;6.50.704;11;10637
﻿     6.50.705 ;6.50.705;8;6264
﻿     6.50.706 ;6.50.706;5;7255
﻿     6.50.708 ;6.50.708;24;15228
﻿     6.50.709 ;6.50.709;7;9310
﻿     6.51.702 ;6.51.702;85;35412
﻿     6.51.703 ;6.51.703;24;12912
﻿     6.51.704 ;6.51.704;46;35421
﻿     6.51.705 ;6.51.705;49;25284
﻿     6.51.706 ;6.51.706;5;3858
﻿     6.51.707 ;6.51.707;13;10561
﻿     6.51.708 ;6.51.708;43;42163
﻿     6.51.710 ;6.51.710;17;12971
﻿     6.53.701 ;6.53.701;76;77520
﻿     6.53.702 ;6.53.702;92;55568
﻿     6.53.703 ;6.53.703;9;8703
﻿     6.53.705 ;6.53.705;194;159862
﻿ розетка  1.56.702 ;1.56.702;3;5970
﻿ розетка  1.56.703 ;1.56.703;1;803
﻿ розетка  1.56.707 ;1.56.707;2;4048
﻿ розетка  1.56.708 ;1.56.708;4;9912
﻿ розетка  1.56.709 ;1.56.709;2;3194
﻿     6.51.710 ;6.51.710;15;10535
﻿     1.51.711 ;1.51.711;13;28886
﻿     6.53.701 ;6.53.701;37;37740
﻿     6.53.702 ;6.53.702;51;30804
﻿     6.53.703 ;6.53.703;18;17406
﻿     6.53.704 ;6.53.704;11;11913
﻿     6.53.705 ;6.53.705;16;14204
﻿ молдинг  1.51.378  гибкий ;1.51.378;28;49886
﻿ молдинг  1.51.377  гибкий ;1.51.377;3;5619
﻿ база  1.54.070 ;1.54.070;2;2208
﻿ база  1.54.060 ;1.54.060;1;1104
﻿ база  1.54.070 ;1.54.070;6;6624
﻿ декоративная  панель  1.51.518 ;1.51.518;1;7193
﻿ потолочная  панель  1.57.503 ;1.57.503;40;73084
﻿ карниз  1.50.298  (образец) ;1.50.298;2;200
﻿ карниз  1.50.296  (образец) ;1.50.296;2;200
﻿ плинтус  1.53.108  (образец) ;1.53.108;6;600
﻿ карниз  1.50.227  (образец) ;1.50.227;1;100
﻿ карниз  1.50.299  (образец) ;1.50.299;1;100
﻿ молдинг  1.51.383  (образец) ;1.51.383;2;200
﻿ молдинг  1.51.384  (образец) ;1.51.384;1;100
﻿ карниз  1.50.249  (образец) ;1.50.249;1;100
﻿ карниз  1.50.228  (образец) ;1.50.228;1;100
﻿ карниз  1.50.229  (образец) ;1.50.229;2;200
﻿ карниз  1.50.621  (образец) ;1.50.621;2;200
﻿ карниз  1.50.622  (образец) ;1.50.622;1;100
﻿ карниз  1.50.623  (образец) ;1.50.623;1;100
﻿ молдинг  1.51.604  (образец) ;1.51.604;1;100
﻿ молдинг  1.51.606  (образец) ;1.51.606;1;100
﻿ карниз  1.50.116  (образец) ;1.50.116;1;100
﻿ карниз  1.50.117  (образец) ;1.50.117;5;500
﻿ карниз  1.50.121  (образец) ;1.50.121;3;300
﻿ карниз  1.50.122  (образец) ;1.50.122;2;200
﻿ карниз  1.50.100  (образец) ;1.50.100;2;200
﻿ карниз  1.50.102  (образец) ;1.50.102;1;100
﻿ карниз  1.50.103  (образец) ;1.50.103;1;100
﻿ карниз  1.50.104  (образец) ;1.50.104;1;100
﻿ карниз  1.50.106  (образец) ;1.50.106;5;500
﻿ карниз  1.50.113  (образец) ;1.50.113;2;200
﻿ карниз  1.50.126  (образец) ;1.50.126;2;200
﻿ карниз  1.50.129  (образец) ;1.50.129;1;100
﻿ карниз  1.50.132  (образец) ;1.50.132;4;400
﻿ карниз  1.50.133  (образец) ;1.50.133;2;200
﻿ карниз  1.50.134  (образец) ;1.50.134;2;200
﻿ карниз  1.50.135  (образец) ;1.50.135;3;300
﻿ карниз  1.50.138  (образец) ;1.50.138;2;200
﻿ карниз  1.50.139  (образец) ;1.50.139;4;400
﻿ карниз  1.50.141  (образец) ;1.50.141;1;100
﻿ карниз  1.50.142  (образец) ;1.50.142;4;400
﻿ карниз  1.50.143  (образец) ;1.50.143;1;100
﻿ карниз  1.50.144  (образец) ;1.50.144;2;200
﻿ карниз  1.50.145  (образец) ;1.50.145;2;200
﻿ карниз  1.50.146  (образец) ;1.50.146;3;300
﻿ карниз  1.50.147  (образец) ;1.50.147;1;100
﻿ карниз  1.50.148  (образец) ;1.50.148;3;300
﻿ карниз  1.50.150  (образец) ;1.50.150;2;200
﻿ карниз  1.50.154  (образец) ;1.50.154;4;400
﻿ карниз  1.50.155  (образец) ;1.50.155;1;100
﻿ карниз  1.50.160  (образец) ;1.50.160;6;600
﻿ карниз  1.50.165  (образец) ;1.50.165;4;400
﻿ карниз  1.50.168  (образец) ;1.50.168;2;200
﻿ молдинг  1.51.386  (образец) ;1.51.386;1;100
﻿ плинтус  1.53.112  (образец) ;1.53.112;4;400
﻿ карниз  1.50.169  (образец) ;1.50.169;1;100
﻿ карниз  1.50.170  (образец) ;1.50.170;3;300
﻿ карниз  1.50.171  (образец) ;1.50.171;1;100
﻿ карниз  1.50.172  (образец) ;1.50.172;3;300
﻿ карниз  1.50.176  (образец) ;1.50.176;2;200
﻿ карниз  1.50.177  (образец) ;1.50.177;5;500
﻿ карниз  1.50.182  (образец) ;1.50.182;1;100
﻿ карниз  1.50.190  (образец) ;1.50.190;1;100
﻿ карниз  1.50.191  (образец) ;1.50.191;1;100
﻿ карниз  1.50.193  (образец) ;1.50.193;1;100
﻿ карниз  1.50.196  (образец) ;1.50.196;1;100
﻿ карниз  1.50.203  (образец) ;1.50.203;1;100
﻿ карниз  1.50.208  (образец) ;1.50.208;1;100
﻿ карниз  1.50.209  (образец) ;1.50.209;1;100
﻿ карниз  1.50.221  (образец) ;1.50.221;3;300
﻿ карниз  1.50.253  (образец) ;1.50.253;1;100
﻿ карниз  1.50.255  (образец) ;1.50.255;2;200
﻿ карниз  1.50.256  (образец) ;1.50.256;1;100
﻿ карниз  1.50.259  (образец) ;1.50.259;1;100
﻿ карниз  1.50.260  (образец) ;1.50.260;1;100
﻿ карниз  1.50.261  (образец) ;1.50.261;1;100
﻿ карниз  1.50.262  (образец) ;1.50.262;4;400
﻿ карниз  1.50.264  (образец) ;1.50.264;1;100
﻿ карниз  1.50.266  (образец) ;1.50.266;3;300
﻿ карниз  1.50.269  (образец) ;1.50.269;1;100
﻿ карниз  1.50.270  (образец) ;1.50.270;3;300
﻿ карниз  1.50.271  (образец) ;1.50.271;1;100
﻿ карниз  1.50.273  (образец) ;1.50.273;3;300
﻿ молдинг  1.51.327  (образец) ;1.51.327;2;200
﻿ молдинг  1.51.301  (образец) ;1.51.301;5;500
﻿ молдинг  1.51.305  (образец) ;1.51.305;2;200
﻿ молдинг  1.51.321  (образец) ;1.51.321;6;600
﻿ молдинг  1.51.400  (образец) ;1.51.400;4;400
﻿ молдинг  1.51.302  (образец) ;1.51.302;2;200
﻿ молдинг  1.51.303  (образец) ;1.51.303;3;300
﻿ молдинг  1.51.306  (образец) ;1.51.306;3;300
﻿ молдинг  1.51.307  (образец) ;1.51.307;3;300
﻿ молдинг  1.51.325  (образец) ;1.51.325;1;100
﻿ молдинг  1.51.308  (образец) ;1.51.308;2;200
﻿ молдинг  1.51.310  (образец) ;1.51.310;1;100
﻿ молдинг  1.51.317  (образец) ;1.51.317;2;200
﻿ молдинг  1.51.320  (образец) ;1.51.320;1;100
﻿ молдинг  1.51.322  (образец) ;1.51.322;4;400
﻿ молдинг  1.51.342  (образец) ;1.51.342;1;100
﻿ молдинг  1.51.343  (образец) ;1.51.343;1;100
﻿ молдинг  1.51.344  (образец) ;1.51.344;3;300
﻿ молдинг  1.51.351  (образец) ;1.51.351;1;100
﻿ молдинг  1.51.401  (образец) ;1.51.401;3;300
﻿ молдинг  1.51.323  (образец) ;1.51.323;3;300
﻿ молдинг  1.51.331  (образец) ;1.51.331;1;100
﻿ молдинг  1.51.336  (образец) ;1.51.336;1;100
﻿ молдинг  1.51.347  (образец) ;1.51.347;5;500
﻿ молдинг  1.51.355  (образец) ;1.51.355;3;300
﻿ молдинг  1.51.354  (образец) ;1.51.354;2;200
﻿ плинтус  1.53.103  (образец) ;1.53.103;4;400
﻿ плинтус  1.53.104  (образец) ;1.53.104;1;100
﻿ плинтус  1.53.106  (образец) ;1.53.106;1;100
﻿ плинтус  1.53.107  (образец) ;1.53.107;3;300
﻿ плинтус  1.53.101  (образец) ;1.53.101;1;100
﻿ молдинг  1.51.345  (образец) ;1.51.345;4;400
﻿ молдинг  1.51.357  (образец) ;1.51.357;1;100
﻿ молдинг  1.51.381  (образец) ;1.51.381;1;100
﻿ карниз  1.50.101  (образец) ;1.50.101;3;300
﻿ карниз  1.50.199  (образец) ;1.50.199;1;100
﻿ карниз  1.50.108  (образец) ;1.50.108;6;600
﻿ карниз  1.50.161  (образец) ;1.50.161;1;100
﻿ карниз  1.50.179  (образец) ;1.50.179;1;100
﻿ карниз  1.50.275  (образец) ;1.50.275;1;100
﻿ молдинг  1.51.359  (образец) ;1.51.359;1;100
﻿ карниз  1.50.278  (образец) ;1.50.278;1;100
﻿ молдинг  1.51.360  (образец) ;1.51.360;1;100
﻿ молдинг  1.51.363  (образец) ;1.51.363;1;100
﻿ плинтус  1.53.110  (образец) ;1.53.110;1;100
﻿ молдинг  1.51.374  (образец) ;1.51.374;2;200
﻿ карниз  1.50.286  (образец) ;1.50.286;2;200
﻿ карниз  1.50.277  (образец) ;1.50.277;1;100
﻿ молдинг  1.51.338  (образец) ;1.51.338;2;200
﻿ карниз  1.50.225  (образец) ;1.50.225;1;100
﻿ карниз  1.50.289  (образец) ;1.50.289;1;100
﻿ карниз  1.50.293  (образец) ;1.50.293;1;100
﻿ карниз  1.50.294  (образец) ;1.50.294;1;100
﻿ молдинг  1.51.377  (образец) ;1.51.377;2;200
﻿ молдинг  1.51.379  (образец) ;1.51.379;5;500
﻿ молдинг  1.51.378  (образец) ;1.51.378;3;300
﻿ карниз  1.50.501  (образец) ;1.50.501;1;100
﻿ карниз  1.50.503  (образец) ;1.50.503;1;100
﻿ молдинг  1.51.503  (образец) ;1.51.503;1;100
﻿ молдинг  1.51.504  (образец) ;1.51.504;1;100
﻿ молдинг  1.51.513  (образец) ;1.51.513;1;100
﻿     1.50.710  (образец) ;1.50.710;1;100
﻿     6.51.708  (образец) ;6.51.708;1;100
﻿     6.53.701  (образец) ;6.53.701;1;100
﻿     6.53.702  (образец) ;6.53.702;1;100
