Наименование;Артикул;Количество; Сумма,  руб. 
﻿ карниз  1.50.140 ;1.50.140;34;46896
﻿ карниз  1.50.141 ;1.50.141;38;51702
﻿ карниз  1.50.142 ;1.50.142;92;272192
﻿ карниз  1.50.143 ;1.50.143;145;190612
﻿ карниз  1.50.144 ;1.50.144;80;118140
﻿ карниз  1.50.145 ;1.50.145;22;84184
﻿ карниз  1.50.146 ;1.50.146;269;636464
﻿ карниз  1.50.147 ;1.50.147;273;812508
﻿ карниз  1.50.148 ;1.50.148;137;366355
﻿ карниз  1.50.150 ;1.50.150;50;49478
﻿ карниз  1.50.151 ;1.50.151;8;29984
﻿ карниз  1.50.153 ;1.50.153;3;11244
﻿ карниз  1.50.154 ;1.50.154;204;178916
﻿ карниз  1.50.155 ;1.50.155;45;38880
﻿ карниз  1.50.156 ;1.50.156;41;40910
﻿ карниз  1.50.157 ;1.50.157;75;66825
﻿ карниз  1.50.158 ;1.50.158;57;51812
﻿ карниз  1.50.159 ;1.50.159;22;21674
﻿ карниз  1.50.160 ;1.50.160;349;439289
﻿ карниз  1.50.162 ;1.50.162;78;97656
﻿ карниз  1.50.163 ;1.50.163;14;34909
﻿ карниз  1.50.165 ;1.50.165;218;284402
﻿ карниз  1.50.167 ;1.50.167;8;21263
﻿ карниз  1.50.168 ;1.50.168;178;470932
﻿ молдинг  1.51.386 ;1.51.386;28;26427
﻿ плинтус  1.53.112 ;1.53.112;686;1009501
﻿ карниз  1.50.169 ;1.50.169;16;39600
﻿ карниз  1.50.170 ;1.50.170;337;471007
﻿ карниз  1.50.171 ;1.50.171;57;54775
﻿ карниз  1.50.172 ;1.50.172;185;179466
﻿ карниз  1.50.173 ;1.50.173;24;22992
﻿ карниз  1.50.174 ;1.50.174;311;307797
﻿ карниз  1.50.175 ;1.50.175;9;23490
﻿ карниз  1.50.177 ;1.50.177;344;504832
﻿ карниз  1.50.180 ;1.50.180;94;235687
﻿ карниз  1.50.183 ;1.50.183;26;39978
﻿ карниз  1.50.184 ;1.50.184;13;18967
﻿ карниз  1.50.188 ;1.50.188;166;214970
﻿ карниз  1.50.191 ;1.50.191;6;5718
﻿ карниз  1.50.193 ;1.50.193;36;48996
